timestamp,wind_speed
1718838000,4.5
1718841600,1.08
1718845200,1.8
1718848800,3.78
1718852400,2.34
1718856000,3.6
1718859600,5.04
1718863200,5.04
1718866800,4.32
1718870400,2.7
1718874000,0
1718877600,0.9
1718881200,0
1718884800,0.54
1718888400,1.8
1718892000,2.7
1718895600,5.22
1718899200,4.5
1718902800,0
1718906400,0
1718910000,0
1718913600,0
1718917200,0
1718920800,0.36
1718924400,0.18
1718928000,0
1718931600,0
1718935200,0.18
1718938800,2.16
1718942400,0.54
1718946000,2.88
1718949600,2.88
1718953200,1.08
1718956800,0.54
1718960400,3.42
1718964000,5.94
1718967600,5.58
1718971200,5.58
1718974800,2.34
1718978400,1.44
1718982000,4.86
1718985600,5.04
1718989200,1.44
1718992800,3.78
1718996400,3.24
1719000000,2.7
1719003600,5.94
1719007200,2.16
1719010800,6.84
1719014400,0.9
1719018000,1.98
1719021600,3.78
1719025200,1.44
1719028800,2.88
1719032400,5.22
1719036000,4.14
1719039600,4.86
1719043200,11.16
1719046800,10.44
1719050400,13.32
1719054000,11.52
1719057600,10.8
1719061200,9.9
1719064800,11.52
1719068400,10.98
1719072000,12.06
1719075600,12.6
1719079200,12.06
1719082800,9.54
1719086400,11.52
1719090000,8.1
1719093600,10.26
1719097200,4.32
1719100800,4.32
1719104400,3.96
1719108000,3.96
1719111600,3.6
1719115200,0.36
1719118800,4.86
1719122400,3.6
1719126000,2.88
1719129600,1.62
1719133200,1.62
1719136800,1.62
1719140400,0.36
1719144000,1.08
1719147600,2.16
1719151200,2.88
1719154800,1.8
1719158400,1.26
1719162000,0
1719165600,0
1719169200,0
1719172800,0
1719176400,0
1719180000,0.36
1719183600,0
1719187200,0.18
1719190800,0.9
1719194400,0.72
1719198000,0.72
1719201600,0
1719205200,0
1719208800,0
1719212400,1.98
1719216000,4.68
1719219600,3.06
1719223200,3.78
1719226800,5.76
1719230400,5.76
1719234000,5.04
1719237600,3.78
1719241200,5.04
1719244800,4.5
1719248400,4.86
1719252000,5.58
1719255600,4.5
1719259200,3.6
1719262800,0.9
1719266400,2.52
1719270000,1.8
1719273600,3.78
1719277200,5.4
1719280800,5.4
1719284400,3.24
1719288000,3.24
1719291600,3.96
1719295200,6.66
1719298800,6.12
1719302400,6.66
1719306000,4.14
1719309600,1.26
1719313200,3.96
1719316800,5.94
1719320400,7.38
1719324000,6.66
1719327600,3.42
1719331200,6.48
1719334800,3.96
1719338400,4.14
1719342000,2.88
1719345600,3.78
1719349200,2.88
1719352800,0
1719356400,2.34
1719360000,1.08
1719363600,2.88
1719367200,4.86
1719370800,1.98
1719374400,4.68
1719378000,3.6
1719381600,3.78
1719385200,3.78
1719388800,0
1719392400,4.68
1719396000,1.26
1719399600,2.16
1719403200,5.76
1719406800,0
1719410400,7.74
1719414000,1.44
1719417600,1.26
1719421200,1.8
1719424800,0
1719428400,3.06
1719432000,0.54
1719435600,1.8
1719439200,4.5
1719442800,5.22
1719446400,4.5
1719450000,4.86
1719453600,4.32
1719457200,5.94
1719460800,7.74
1719464400,5.94
1719468000,6.66
1719471600,4.68
1719475200,5.58
1719478800,8.82
1719482400,10.44
1719486000,7.2
1719489600,8.28
1719493200,4.86
1719496800,7.02
1719500400,6.48
1719504000,6.66
1719507600,6.66
1719511200,7.74
1719514800,7.38
1719518400,6.84
1719522000,4.5
1719525600,5.04
1719529200,2.52
1719532800,3.96
1719536400,4.14
1719540000,3.24
1719543600,3.6
1719547200,3.06
1719550800,5.04
1719554400,6.12
1719558000,4.86
1719561600,0
1719565200,1.8
1719568800,4.14
1719572400,4.32
1719576000,0.54
1719579600,3.06
1719583200,2.52
1719586800,3.42
1719590400,6.12
1719594000,5.58
1719597600,2.88
1719601200,0
1719604800,0
1719608400,0
1719612000,3.06
1719615600,4.32
1719619200,4.32
1719622800,5.04
1719626400,5.4
1719630000,3.78
1719633600,6.12
1719637200,5.76
1719640800,3.78
1719644400,2.16
1719648000,4.86
1719651600,4.68
1719655200,6.3
1719658800,4.86
1719662400,9.72
1719666000,8.1
1719669600,7.92
1719673200,8.82
1719676800,2.7
1719680400,3.24
1719684000,4.32
1719687600,0
1719691200,0.9
1719694800,0.36
1719698400,0
1719702000,0
1719705600,0
1719709200,0
1719712800,0
1719716400,0
1719720000,2.7
1719723600,7.74
1719727200,6.48
1719730800,7.38
1719734400,7.2
1719738000,6.84
1719741600,8.64
1719745200,13.14
1719748800,9.18
1719752400,11.34
1719756000,12.06
1719759600,11.34
1719763200,11.16
1719766800,12.6
1719770400,9.36
1719774000,6.12
1719777600,5.76
1719781200,3.24
1719784800,5.94
1719788400,4.5
1719792000,1.44
1719795600,4.86
1719799200,1.98
1719802800,1.26
1719806400,3.06
1719810000,0.18
1719813600,1.08
1719817200,3.24
1719820800,3.6
1719824400,7.02
1719828000,9.72
1719831600,5.4
1719835200,8.28
1719838800,5.76
1719842400,9.18
1719846000,7.2
1719849600,3.96
1719853200,2.52
1719856800,4.32
1719860400,2.16
1719864000,6.12
1719867600,3.96
1719871200,0.72
1719874800,0
1719878400,0
1719882000,0
1719885600,1.44
1719889200,0
1719892800,0
1719896400,2.7
1719900000,0.72
1719903600,4.5
1719907200,5.04
1719910800,3.24
1719914400,2.7
1719918000,3.6
1719921600,3.6
1719925200,5.4
1719928800,3.78
1719932400,4.68
1719936000,10.98
1719939600,6.84
1719943200,4.32
1719946800,1.62
1719950400,0
1719954000,0
1719957600,0
1719961200,2.88
1719964800,2.34
1719968400,2.88
1719972000,3.06
1719975600,3.42
1719979200,1.8
1719982800,0.18
1719986400,1.62
1719990000,2.16
1719993600,5.22
1719997200,8.1
1720000800,12.42
1720004400,8.64
1720008000,9
1720011600,7.56
1720015200,2.16
1720018800,3.06
1720022400,5.58
1720026000,0.36
1720029600,0
1720033200,0
1720036800,0
1720040400,2.34
1720044000,0
1720047600,2.16
1720051200,0
1720054800,0
1720058400,0
1720062000,0
1720065600,0.72
1720069200,0.36
1720072800,0
1720076400,0.36
1720080000,0.72
1720083600,0
1720087200,0.72
1720090800,0.54
1720094400,5.94
1720098000,1.8
1720101600,0
1720105200,1.08
1720108800,0
1720112400,2.88
1720116000,4.5
1720119600,1.8
1720123200,0
1720126800,0
1720130400,1.08
1720134000,0.18
1720137600,0
1720141200,1.8
1720144800,1.8
1720148400,0.72
1720152000,2.34
1720155600,2.34
1720159200,5.76
1720162800,2.88
1720166400,2.34
1720170000,6.3
1720173600,6.66
1720177200,9.72
1720180800,11.7
1720184400,7.74
1720188000,15.12
1720191600,10.08
1720195200,9.9
1720198800,8.1
1720202400,9.72
1720206000,2.88
1720209600,0
1720213200,0.18
1720216800,0
1720220400,0.36
1720224000,0
1720227600,0.72
1720231200,4.5
1720234800,4.14
1720238400,3.24
1720242000,0.54
1720245600,0.72
1720249200,3.6
1720252800,3.96
1720256400,6.84
1720260000,7.92
1720263600,5.76
1720267200,7.56
1720270800,8.28
1720274400,9.18
1720278000,5.58
1720281600,9.36
1720285200,3.24
1720288800,3.06
1720292400,0.72
1720296000,0
1720299600,0.18
1720303200,0
1720306800,0
1720310400,0.36
1720314000,0.72
1720317600,0
1720321200,2.34
1720324800,3.6
1720328400,1.44
1720332000,0.36
1720335600,2.52
1720339200,2.7
1720342800,0.36
1720346400,0.18
1720350000,3.6
1720353600,5.04
1720357200,9.54
1720360800,4.32
1720364400,0
1720368000,3.06
1720371600,5.58
1720375200,2.16
1720378800,0
1720382400,0
1720386000,1.62
1720389600,0.72
1720393200,1.62
1720396800,1.98
1720400400,0
1720404000,0
1720407600,0.18
1720411200,0
1720414800,0.9
1720418400,0
1720422000,4.32
1720425600,1.08
1720429200,3.96
1720432800,3.42
1720436400,5.04
1720440000,2.34
1720443600,5.94
1720447200,6.66
1720450800,5.22
1720454400,5.76
1720458000,8.82
1720461600,6.12
1720465200,0
1720468800,0
1720472400,1.8
1720476000,5.22
1720479600,3.24
1720483200,1.8
1720486800,3.06
1720490400,3.96
1720494000,4.86
1720497600,3.24
1720501200,5.58
1720504800,6.84
1720508400,5.4
1720512000,4.32
1720515600,5.76
1720519200,5.22
1720522800,6.12
1720526400,4.86
1720530000,4.5
1720533600,2.7
1720537200,3.24
1720540800,2.34
1720544400,4.32
1720548000,0
1720551600,0
1720555200,2.16
1720558800,3.78
1720562400,4.32
1720566000,6.66
1720569600,7.02
1720573200,6.84
1720576800,8.28
1720580400,5.58
1720584000,7.02
1720587600,7.38
1720591200,7.56
1720594800,5.22
1720598400,5.22
1720602000,2.88
1720605600,4.14
1720609200,6.3
1720612800,2.34
1720616400,0.9
1720620000,3.24
1720623600,4.68
1720627200,5.76
1720630800,2.7
1720634400,0
1720638000,0.36
1720641600,2.7
1720645200,2.7
1720648800,1.8
1720652400,3.6
1720656000,3.78
1720659600,2.7
1720663200,5.04
1720666800,5.22
1720670400,6.3
1720674000,3.42
1720677600,4.5
1720681200,5.58
1720684800,2.34
1720688400,1.44
1720692000,2.88
1720695600,2.34
1720699200,2.34
1720702800,6.84
1720706400,7.56
1720710000,6.48
1720713600,6.84
1720717200,5.4
1720720800,5.22
1720724400,2.88
1720728000,0
1720731600,2.88
1720735200,2.52
1720738800,0.36
1720742400,2.52
1720746000,0.9
1720749600,1.8
1720753200,1.98
1720756800,2.7
1720760400,3.6
1720764000,3.78
1720767600,3.24
1720771200,4.5
1720774800,6.66
1720778400,9.72
1720782000,8.46
1720785600,10.26
1720789200,9.9
1720792800,9
1720796400,7.02
1720800000,6.66
1720803600,4.32
1720807200,3.6
1720810800,1.62
1720814400,0
1720818000,1.98
1720821600,6.3
1720825200,3.6
1720828800,5.58
1720832400,1.8
1720836000,0
1720839600,1.08
1720843200,1.08
1720846800,0
1720850400,3.06
1720854000,5.4
1720857600,7.02
1720861200,6.84
1720864800,8.82
1720868400,9
1720872000,9.9
1720875600,11.16
1720879200,8.82
1720882800,7.92
1720886400,8.1
1720890000,10.08
1720893600,5.4
1720897200,0.18
1720900800,0.72
1720904400,1.44
1720908000,2.52
1720911600,3.96
1720915200,0.36
1720918800,1.08
1720922400,0.18
1720926000,1.08
1720929600,0.18
1720933200,3.78
1720936800,2.7
1720940400,3.96
1720944000,0
1720947600,2.88
1720951200,1.8
1720954800,8.28
1720958400,6.12
1720962000,7.92
1720965600,7.02
1720969200,4.32
1720972800,6.12
1720976400,7.38
1720980000,2.16
1720983600,0
1720987200,0
1720990800,1.08
1720994400,3.96
1720998000,3.06
1721001600,4.5
1721005200,1.98
1721008800,2.88
1721012400,5.94
1721016000,5.94
1721019600,5.4
1721023200,5.76
1721026800,0.9
1721030400,2.7
1721034000,4.5
1721037600,1.98
1721041200,3.6
1721044800,5.58
1721048400,5.4
1721052000,4.32
1721055600,3.42
1721059200,10.98
1721062800,8.64
1721066400,5.58
1721070000,0
1721073600,0
1721077200,1.08
1721080800,3.24
1721084400,2.34
1721088000,3.78
1721091600,2.52
1721095200,5.4
1721098800,2.52
1721102400,2.34
1721106000,1.44
1721109600,2.52
1721113200,3.06
1721116800,1.98
1721120400,1.26
1721124000,3.78
1721127600,6.48
1721131200,5.58
1721134800,9.18
1721138400,6.84
1721142000,9.18
1721145600,8.64
1721149200,6.48
1721152800,7.02
1721156400,8.64
1721160000,6.66
1721163600,6.84
1721167200,2.34
1721170800,0.54
1721174400,1.44
1721178000,0
1721181600,1.08
1721185200,0.72
1721188800,2.7
1721192400,5.58
1721196000,4.86
1721199600,3.6
1721203200,3.6
1721206800,1.8
1721210400,4.86
1721214000,5.76
1721217600,4.68
1721221200,5.04
1721224800,6.48
1721228400,7.92
1721232000,10.08
1721235600,8.28
1721239200,2.7
1721242800,0
1721246400,1.44
1721250000,0.72
1721253600,2.16
1721257200,3.6
1721260800,5.58
1721264400,3.06
1721268000,3.96
1721271600,8.28
1721275200,5.58
1721278800,5.58
1721282400,5.22
1721286000,4.68
1721289600,1.98
1721293200,3.6
1721296800,9
1721300400,7.2
1721304000,9.9
1721307600,5.4
1721311200,6.48
1721314800,10.62
1721318400,8.82
1721322000,9
1721325600,7.38
1721329200,0.36
1721332800,0
1721336400,0
1721340000,2.16
1721343600,0.9
1721347200,2.88
1721350800,4.68
1721354400,5.58
1721358000,5.76
1721361600,5.76
1721365200,5.04
1721368800,3.78
1721372400,3.24
1721376000,2.7
1721379600,6.3
1721383200,5.4
1721386800,3.42
1721390400,8.64
1721394000,6.48
1721397600,4.86
1721401200,2.7
1721404800,3.06
1721408400,1.26
1721412000,1.08
1721415600,0
1721419200,0.72
1721422800,1.08
1721426400,2.16
1721430000,1.08
1721433600,0
1721437200,0
1721440800,5.04
1721444400,6.84
1721448000,6.66
1721451600,0
1721455200,0.36
1721458800,0
1721462400,0.36
1721466000,3.78
1721469600,3.24
1721473200,5.94
1721476800,4.32
1721480400,8.28
1721484000,7.56
1721487600,4.68
1721491200,7.2
1721494800,6.48
1721498400,1.62
1721502000,3.42
1721505600,0
1721509200,0
1721512800,0.72
1721516400,1.08
1721520000,1.08
1721523600,2.16
1721527200,3.96
1721530800,3.24
1721534400,0.72
1721538000,4.5
1721541600,5.22
1721545200,2.34
1721548800,0.36
1721552400,0.72
1721556000,4.5
1721559600,4.86
1721563200,5.94
1721566800,4.14
1721570400,9.36
1721574000,8.28
1721577600,8.64
1721581200,8.28
1721584800,8.1
1721588400,0.72
1721592000,0
1721595600,0
1721599200,4.14
1721602800,1.8
1721606400,0.72
1721610000,3.42
1721613600,4.68
1721617200,2.52
1721620800,1.98
1721624400,3.06
1721628000,5.76
1721631600,3.06
1721635200,7.2
1721638800,4.68
1721642400,4.86
1721646000,6.12
1721649600,5.94
1721653200,9.18
1721656800,7.92
1721660400,7.92
1721664000,5.22
1721667600,3.06
1721671200,3.6
1721674800,1.08
1721678400,3.78
1721682000,1.44
1721685600,4.14
1721689200,3.24
1721692800,3.42
1721696400,3.06
1721700000,3.24
1721703600,5.76
1721707200,4.68
1721710800,4.14
1721714400,3.78
1721718000,2.34
1721721600,2.88
1721725200,2.88
1721728800,8.64
1721732400,5.4
1721736000,7.02
1721739600,6.66
1721743200,5.58
1721746800,6.12
1721750400,4.32
1721754000,6.48
1721757600,4.14
1721761200,0
1721764800,0
1721768400,0
1721772000,1.44
1721775600,1.08
1721779200,2.52
1721782800,1.98
1721786400,3.06
1721790000,7.56
1721793600,4.32
1721797200,0.36
1721800800,4.68
1721804400,2.88
1721808000,1.08
1721811600,5.76
1721815200,3.96
1721818800,2.52
1721822400,3.78
1721826000,8.1
