timestamp,air_humidity
1718838000,60
1718841600,59.45
1718845200,61.2
1718848800,61.15
1718852400,62.7
1718856000,66.1
1718859600,64
1718863200,59.85
1718866800,55.3
1718870400,51
1718874000,45.9
1718877600,47.45
1718881200,53.75
1718884800,49.55
1718888400,49.4
1718892000,49.6
1718895600,48.6
1718899200,50.45
1718902800,52.95
1718906400,52.2
1718910000,67.1
1718913600,74.85
1718917200,77.15
1718920800,77.05
1718924400,79.25
1718928000,80.6
1718931600,80.6
1718935200,80.2
1718938800,81.65
1718942400,82.5
1718946000,82.6
1718949600,78.05
1718953200,72.05
1718956800,63.85
1718960400,56.4
1718964000,57.35
1718967600,56.85
1718971200,63.85
1718974800,65.1
1718978400,63.05
1718982000,59.45
1718985600,61.4
1718989200,63.45
1718992800,59.7
1718996400,55.9
1719000000,60.15
1719003600,60.3
1719007200,57.8
1719010800,51.8
1719014400,52.55
1719018000,63.75
1719021600,65.25
1719025200,64.6
1719028800,68.65
1719032400,66.1
1719036000,57.65
1719039600,51.55
1719043200,50.65
1719046800,49.8
1719050400,47.9
1719054000,47.15
1719057600,45.05
1719061200,40.9
1719064800,39.9
1719068400,38.75
1719072000,40.1
1719075600,42
1719079200,44.45
1719082800,50
1719086400,54.35
1719090000,54.3
1719093600,55.85
1719097200,56.1
1719100800,57.6
1719104400,60
1719108000,62.5
1719111600,65.4
1719115200,68.95
1719118800,65.4
1719122400,62.7
1719126000,70.05
1719129600,78.5
1719133200,79.45
1719136800,78.15
1719140400,75.45
1719144000,70.75
1719147600,75.65
1719151200,72.1
1719154800,72.9
1719158400,71.25
1719162000,71.5
1719165600,70.85
1719169200,74.8
1719172800,80.25
1719176400,83.25
1719180000,84.7
1719183600,84.75
1719187200,84.75
1719190800,85.85
1719194400,87.75
1719198000,88.8
1719201600,89.35
1719205200,89.5
1719208800,88.65
1719212400,87.65
1719216000,82.55
1719219600,80.45
1719223200,78.95
1719226800,79.7
1719230400,80.2
1719234000,77.7
1719237600,81.85
1719241200,84.35
1719244800,83.55
1719248400,83.45
1719252000,83.05
1719255600,83.7
1719259200,84.7
1719262800,85.6
1719266400,85.4
1719270000,83
1719273600,82.4
1719277200,82.45
1719280800,82.8
1719284400,82.8
1719288000,82.85
1719291600,83.2
1719295200,78.1
1719298800,74
1719302400,71.2
1719306000,69.6
1719309600,62.45
1719313200,57.25
1719316800,58.2
1719320400,58.65
1719324000,67.95
1719327600,81.1
1719331200,76.65
1719334800,75.7
1719338400,78.75
1719342000,81.95
1719345600,86
1719349200,88.1
1719352800,89.1
1719356400,89.9
1719360000,90.35
1719363600,90.55
1719367200,90.6
1719370800,90.6
1719374400,90.6
1719378000,90.45
1719381600,89.7
1719385200,86.8
1719388800,81.75
1719392400,75.45
1719396000,69.1
1719399600,63.15
1719403200,59.5
1719406800,57.7
1719410400,64.2
1719414000,65.45
1719417600,74.45
1719421200,75.15
1719424800,73.9
1719428400,75.75
1719432000,80.85
1719435600,84.15
1719439200,84.5
1719442800,83.25
1719446400,82.6
1719450000,82.35
1719453600,82.25
1719457200,81.5
1719460800,81.8
1719464400,80.85
1719468000,74.55
1719471600,66.8
1719475200,59.55
1719478800,54.25
1719482400,52.9
1719486000,51.75
1719489600,51.6
1719493200,48.95
1719496800,47
1719500400,45.3
1719504000,47.4
1719507600,48.7
1719511200,49.9
1719514800,53.3
1719518400,58.8
1719522000,58.45
1719525600,56.95
1719529200,57
1719532800,57.85
1719536400,58.65
1719540000,60.35
1719543600,64.1
1719547200,65.5
1719550800,65.9
1719554400,60.8
1719558000,55.5
1719561600,49.55
1719565200,47.7
1719568800,46.6
1719572400,45.8
1719576000,46.2
1719579600,42.45
1719583200,41.3
1719586800,41.5
1719590400,42.75
1719594000,46.95
1719597600,48.5
1719601200,56.6
1719604800,73.3
1719608400,79.85
1719612000,78.7
1719615600,78.35
1719619200,77.5
1719622800,76.65
1719626400,76.15
1719630000,76.75
1719633600,77.35
1719637200,77
1719640800,72.6
1719644400,64.75
1719648000,58.65
1719651600,57.5
1719655200,54.5
1719658800,53.15
1719662400,50.15
1719666000,49.15
1719669600,50.15
1719673200,55.3
1719676800,55.6
1719680400,54.4
1719684000,58.5
1719687600,63
1719691200,72.75
1719694800,76.8
1719698400,79.35
1719702000,82.3
1719705600,83.75
1719709200,85.15
1719712800,86.05
1719716400,81.2
1719720000,62
1719723600,54.8
1719727200,54.4
1719730800,53.55
1719734400,51.95
1719738000,50.15
1719741600,46.75
1719745200,47.15
1719748800,44.9
1719752400,42.3
1719756000,40.85
1719759600,40.15
1719763200,40.9
1719766800,41.65
1719770400,41.85
1719774000,47.85
1719777600,53.9
1719781200,57.35
1719784800,59.8
1719788400,61.65
1719792000,63.4
1719795600,64.15
1719799200,63.55
1719802800,65
1719806400,64.05
1719810000,60.9
1719813600,56.2
1719817200,49.4
1719820800,45.7
1719824400,44.9
1719828000,44.2
1719831600,46.65
1719835200,47.1
1719838800,45.5
1719842400,43.95
1719846000,44.45
1719849600,46.05
1719853200,47.35
1719856800,49.75
1719860400,53
1719864000,59.55
1719867600,69.4
1719871200,74.7
1719874800,77.55
1719878400,81.5
1719882000,84.6
1719885600,86.05
1719889200,86.75
1719892800,87.4
1719896400,86.6
1719900000,81.8
1719903600,70.45
1719907200,63.5
1719910800,54.25
1719914400,49.8
1719918000,47.35
1719921600,47.05
1719925200,44.45
1719928800,41.1
1719932400,40.05
1719936000,41.05
1719939600,41.85
1719943200,43.15
1719946800,49
1719950400,57.05
1719954000,67.3
1719957600,76.55
1719961200,80.85
1719964800,80.25
1719968400,80.15
1719972000,80.6
1719975600,81.2
1719979200,80.8
1719982800,80.1
1719986400,73.7
1719990000,66.95
1719993600,66.1
1719997200,61.7
1720000800,61.95
1720004400,57.45
1720008000,54.75
1720011600,52.6
1720015200,52.7
1720018800,61.95
1720022400,62.2
1720026000,65.65
1720029600,67.05
1720033200,68.1
1720036800,74.1
1720040400,79.2
1720044000,80.3
1720047600,78.9
1720051200,76.25
1720054800,77.65
1720058400,79
1720062000,81.15
1720065600,82.4
1720069200,81.55
1720072800,79.75
1720076400,74.85
1720080000,68.3
1720083600,66.05
1720087200,62.85
1720090800,53.7
1720094400,49.2
1720098000,47.5
1720101600,46.55
1720105200,46.95
1720108800,42
1720112400,42.3
1720116000,45.05
1720119600,52.25
1720123200,65.65
1720126800,74.15
1720130400,78
1720134000,80.35
1720137600,81.85
1720141200,82.2
1720144800,82.2
1720148400,82.8
1720152000,82.55
1720155600,80.25
1720159200,70.5
1720162800,59.6
1720166400,50.45
1720170000,50.65
1720173600,49.25
1720177200,46.9
1720180800,45.75
1720184400,46.3
1720188000,47.15
1720191600,48.85
1720195200,49.45
1720198800,48.6
1720202400,46.4
1720206000,50.25
1720209600,62.65
1720213200,74.8
1720216800,74.3
1720220400,78.25
1720224000,79.95
1720227600,78.15
1720231200,75.6
1720234800,74.2
1720238400,73.5
1720242000,72.8
1720245600,61.25
1720249200,52.6
1720252800,45.8
1720256400,40
1720260000,36.75
1720263600,34.8
1720267200,33.95
1720270800,35.55
1720274400,37.4
1720278000,35.25
1720281600,35.7
1720285200,37.95
1720288800,39.05
1720292400,44.5
1720296000,51.4
1720299600,61.6
1720303200,70.35
1720306800,75.45
1720310400,66.75
1720314000,58.05
1720317600,60.1
1720321200,58.8
1720324800,51.95
1720328400,52.15
1720332000,50.55
1720335600,45
1720339200,52.6
1720342800,51.65
1720346400,52.2
1720350000,47.7
1720353600,47.45
1720357200,45.95
1720360800,45.4
1720364400,51.5
1720368000,51.35
1720371600,52.95
1720375200,58.65
1720378800,57.05
1720382400,68.5
1720386000,76.15
1720389600,75.5
1720393200,76.15
1720396800,71.45
1720400400,70.3
1720404000,70.6
1720407600,70.6
1720411200,74.85
1720414800,76.85
1720418400,70.25
1720422000,58
1720425600,54.75
1720429200,50.3
1720432800,45.95
1720436400,45.75
1720440000,46.4
1720443600,44.05
1720447200,44.8
1720450800,46.25
1720454400,48.25
1720458000,52.25
1720461600,50.05
1720465200,54.75
1720468800,71.45
1720472400,75.3
1720476000,74.1
1720479600,75
1720483200,75.5
1720486800,76.05
1720490400,76
1720494000,76.45
1720497600,76.7
1720501200,76.3
1720504800,70.65
