timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1718838000,-39.331,-39.321,-39.312,-39.319,-39.358,-39.343,-39.331,-39.346,-39.341,-39.330,-39.321,-39.334
1718841600,-39.328,-39.317,-39.309,-39.313,-39.368,-39.352,-39.339,-39.353,-39.343,-39.331,-39.322,-39.336
1718845200,-39.335,-39.322,-39.313,-39.314,-39.391,-39.372,-39.357,-39.370,-39.356,-39.342,-39.333,-39.347
1718848800,-39.370,-39.353,-39.343,-39.336,-39.452,-39.428,-39.409,-39.419,-39.402,-39.384,-39.373,-39.385
1718852400,-39.393,-39.374,-39.361,-39.350,-39.497,-39.468,-39.446,-39.453,-39.434,-39.413,-39.400,-39.412
1718856000,-39.417,-39.395,-39.381,-39.364,-39.542,-39.510,-39.485,-39.489,-39.467,-39.444,-39.429,-39.440
1718859600,-39.490,-39.462,-39.443,-39.414,-39.655,-39.613,-39.581,-39.578,-39.557,-39.527,-39.507,-39.515
1718863200,-39.603,-39.566,-39.539,-39.493,-39.821,-39.767,-39.722,-39.710,-39.693,-39.653,-39.623,-39.627
1718866800,-39.747,-39.699,-39.662,-39.595,-40.032,-39.962,-39.902,-39.878,-39.866,-39.813,-39.772,-39.769
1718870400,-39.947,-39.883,-39.832,-39.736,-40.320,-40.228,-40.148,-40.106,-40.102,-40.032,-39.975,-39.964
1718874000,-40.202,-40.119,-40.049,-39.917,-40.685,-40.565,-40.459,-40.395,-40.403,-40.311,-40.233,-40.211
1718877600,-40.356,-40.261,-40.180,-40.025,-40.911,-40.774,-40.651,-40.573,-40.588,-40.482,-40.391,-40.363
1718881200,-40.427,-40.326,-40.240,-40.074,-41.020,-40.874,-40.743,-40.659,-40.676,-40.564,-40.467,-40.436
1718884800,-40.599,-40.485,-40.386,-40.195,-41.271,-41.106,-40.957,-40.857,-40.882,-40.755,-40.644,-40.605
1718888400,-40.794,-40.664,-40.551,-40.331,-41.554,-41.367,-41.197,-41.080,-41.114,-40.970,-40.843,-40.796
1718892000,-41.014,-40.867,-40.738,-40.486,-41.874,-41.663,-41.468,-41.331,-41.377,-41.213,-41.068,-41.011
1718895600,-41.325,-41.155,-41.002,-40.706,-42.324,-42.078,-41.849,-41.684,-41.747,-41.555,-41.383,-41.313
1718899200,-41.529,-41.343,-41.175,-40.848,-42.623,-42.353,-42.102,-41.918,-41.992,-41.782,-41.592,-41.513
1718902800,-41.603,-41.411,-41.237,-40.898,-42.738,-42.459,-42.200,-42.008,-42.085,-41.869,-41.673,-41.590
1718906400,-41.654,-41.458,-41.280,-40.931,-42.820,-42.535,-42.269,-42.071,-42.151,-41.930,-41.731,-41.645
1718910000,-41.661,-41.464,-41.286,-40.934,-42.840,-42.553,-42.286,-42.087,-42.167,-41.946,-41.746,-41.660
1718913600,-41.655,-41.459,-41.281,-40.926,-42.840,-42.554,-42.286,-42.087,-42.167,-41.947,-41.748,-41.662
1718917200,-41.650,-41.453,-41.275,-40.919,-42.840,-42.554,-42.287,-42.087,-42.167,-41.948,-41.751,-41.665
1718920800,-41.644,-41.447,-41.270,-40.912,-42.841,-42.554,-42.287,-42.087,-42.168,-41.949,-41.754,-41.667
1718924400,-41.638,-41.442,-41.265,-40.905,-42.841,-42.555,-42.288,-42.087,-42.169,-41.951,-41.756,-41.670
1718928000,-41.632,-41.436,-41.259,-40.898,-42.841,-42.555,-42.288,-42.087,-42.170,-41.953,-41.759,-41.673
1718931600,-41.627,-41.431,-41.255,-40.892,-42.842,-42.556,-42.290,-42.088,-42.173,-41.956,-41.764,-41.677
