timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1654034400,-21.33,-20.75,-27.08,-131.12,-21.04,-22.48,-38.71,-74.90,-23.39,-21.33,-21.62,-58.74
1654038000,-21.33,-20.75,-27.08,-130.08,-21.04,-22.48,-39.05,-74.90,-23.39,-21.33,-21.62,-58.07
1654041600,-21.33,-20.47,-27.08,-129.42,-21.04,-22.48,-39.05,-74.52,-23.39,-21.33,-21.62,-57.40
1654045200,-21.04,-20.47,-27.08,-128.71,-21.04,-22.48,-39.05,-74.19,-23.39,-21.33,-21.62,-56.73
1654048800,-21.04,-20.75,-27.08,-128.00,-21.04,-22.48,-39.05,-73.85,-23.39,-21.33,-21.62,-56.40
1654052400,-21.04,-20.75,-27.08,-127.29,-21.04,-22.48,-39.05,-73.47,-23.10,-21.33,-21.62,-55.78
1654056000,-21.04,-20.47,-26.79,-127.29,-21.04,-22.48,-39.38,-73.14,-23.10,-21.04,-21.33,-55.44
1654059600,-21.04,-20.75,-27.08,-126.62,-21.04,-22.48,-39.38,-72.80,-23.10,-21.33,-21.33,-55.11
1654063200,-21.33,-20.75,-27.08,-126.95,-21.04,-22.77,-39.67,-72.42,-23.39,-21.33,-21.62,-54.77
1654066800,-21.62,-21.04,-27.08,-127.67,-21.04,-22.77,-40.00,-72.80,-23.39,-21.33,-21.62,-54.77
1654070400,-21.62,-21.33,-27.08,-129.42,-21.33,-22.77,-40.34,-73.14,-23.39,-21.62,-21.90,-56.11
1654074000,-21.62,-21.33,-27.37,-132.54,-21.33,-22.77,-40.67,-73.85,-23.73,-21.62,-21.90,-58.07
1654077600,-21.90,-21.62,-27.37,-136.37,-21.33,-23.10,-40.67,-75.57,-23.73,-21.62,-21.90,-60.84
1654081200,-21.90,-21.33,-27.37,-140.20,-21.33,-23.10,-41.01,-77.33,-23.73,-21.62,-21.90,-63.65
1654084800,-21.90,-21.33,-27.70,-144.36,-21.33,-23.10,-41.34,-79.09,-23.73,-21.62,-22.19,-66.80
1654088400,-21.90,-21.62,-27.70,-148.52,-21.33,-23.10,-41.63,-81.19,-23.73,-21.90,-22.19,-70.33
1654092000,-21.90,-21.33,-27.70,-151.30,-21.33,-23.10,-41.63,-83.28,-23.73,-21.62,-21.90,-72.80
1654095600,-21.90,-21.33,-27.70,-153.76,-21.33,-23.10,-41.97,-85.04,-23.73,-21.62,-21.90,-74.90
1654099200,-21.90,-21.62,-27.70,-155.51,-21.33,-23.39,-42.30,-86.47,-23.73,-21.62,-21.90,-76.66
1654102800,-21.90,-21.04,-27.70,-156.17,-21.33,-23.10,-42.64,-87.52,-23.73,-21.62,-21.90,-77.71
1654106400,-21.90,-21.04,-27.99,-155.84,-21.33,-23.10,-42.97,-88.56,-23.73,-21.62,-21.90,-77.71
