timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1654034400,-23.523,-21.081,-27.183,-121.311,-23.458,-23.268,-36.539,-76.629,-23.135,-22.800,-22.518,-54.711
1654038000,-23.395,-21.229,-27.358,-120.537,-23.389,-23.311,-35.924,-76.500,-23.128,-22.763,-22.839,-54.384
1654041600,-23.284,-21.361,-27.497,-119.769,-23.328,-23.353,-35.386,-76.364,-23.120,-22.742,-23.106,-54.070
1654045200,-23.186,-21.481,-27.612,-119.007,-23.273,-23.392,-34.910,-76.221,-23.112,-22.733,-23.337,-53.768
1654048800,-23.101,-21.593,-27.710,-118.251,-23.224,-23.429,-34.485,-76.071,-23.103,-22.731,-23.542,-53.477
1654052400,-23.027,-21.699,-27.796,-117.500,-23.181,-23.464,-34.102,-75.916,-23.094,-22.736,-23.727,-53.195
1654056000,-22.962,-21.799,-27.872,-116.755,-23.142,-23.497,-33.755,-75.755,-23.086,-22.745,-23.897,-52.923
1654059600,-22.946,-21.932,-28.000,-116.468,-23.135,-23.556,-33.487,-75.746,-23.088,-22.768,-24.066,-52.697
1654063200,-22.985,-22.105,-28.202,-116.810,-23.165,-23.648,-33.314,-75.952,-23.104,-22.807,-24.239,-52.530
1654066800,-23.095,-22.339,-28.506,-117.979,-23.243,-23.789,-33.239,-76.438,-23.139,-22.866,-24.427,-52.434
1654070400,-23.274,-22.630,-28.905,-119.731,-23.369,-23.976,-33.272,-77.197,-23.192,-22.944,-24.626,-52.408
1654074000,-23.488,-22.947,-29.345,-121.853,-23.521,-24.186,-33.369,-78.091,-23.255,-23.033,-24.825,-52.420
1654077600,-23.742,-23.299,-29.839,-124.386,-23.703,-24.425,-33.527,-79.148,-23.328,-23.134,-25.030,-52.472
1654081200,-23.981,-23.635,-30.303,-126.703,-23.876,-24.653,-33.677,-80.136,-23.398,-23.232,-25.224,-52.511
1654084800,-24.231,-23.980,-30.778,-129.094,-24.058,-24.888,-33.849,-81.163,-23.470,-23.333,-25.417,-52.560
1654088400,-24.442,-24.285,-31.186,-131.030,-24.216,-25.095,-33.982,-82.023,-23.533,-23.425,-25.596,-52.577
1654092000,-24.598,-24.533,-31.499,-132.354,-24.337,-25.261,-34.055,-82.640,-23.582,-23.503,-25.752,-52.545
1654095600,-24.751,-24.774,-31.802,-133.608,-24.457,-25.424,-34.130,-83.231,-23.630,-23.581,-25.901,-52.512
1654099200,-24.878,-24.986,-32.056,-134.560,-24.559,-25.572,-34.179,-83.696,-23.671,-23.653,-26.038,-52.458
1654102800,-24.952,-25.142,-32.223,-134.966,-24.626,-25.677,-34.172,-83.935,-23.700,-23.712,-26.155,-52.361
1654106400,-24.952,-25.217,-32.264,-134.615,-24.643,-25.720,-34.082,-83.840,-23.711,-23.752,-26.243,-52.203
1654110000,-24.922,-25.257,-32.256,-133.938,-24.638,-25.739,-33.962,-83.614,-23.714,-23.784,-26.320,-52.022
1654113600,-24.896,-25.298,-32.250,-133.261,-24.634,-25.757,-33.850,-83.384,-23.717,-23.816,-26.394,-51.847
1654117200,-24.883,-25.348,-32.257,-132.654,-24.636,-25.780,-33.750,-83.180,-23.723,-23.850,-26.469,-51.681
1654120800,-24.871,-25.394,-32.262,-132.020,-24.636,-25.800,-33.654,-82.961,-23.729,-23.884,-26.540,-51.517
1654124400,-24.859,-25.437,-32.262,-131.344,-24.633,-25.817,-33.558,-82.724,-23.734,-23.917,-26.608,-51.355
1654128000,-24.864,-25.495,-32.286,-130.813,-24.641,-25.844,-33.482,-82.541,-23.743,-23.953,-26.679,-51.207
1654131600,-24.869,-25.550,-32.307,-130.253,-24.648,-25.868,-33.408,-82.344,-23.752,-23.989,-26.747,-51.062
1654135200,-24.885,-25.614,-32.342,-129.779,-24.661,-25.898,-33.347,-82.177,-23.764,-24.026,-26.817,-50.927
1654138800,-24.887,-25.661,-32.354,-129.154,-24.663,-25.917,-33.274,-81.950,-23.772,-24.060,-26.879,-50.784
1654142400,-24.894,-25.709,-32.371,-128.550,-24.668,-25.936,-33.207,-81.728,-23.781,-24.094,-26.941,-50.646
1654146000,-24.942,-25.833,-32.491,-128.613,-24.719,-26.006,-33.213,-81.759,-23.807,-24.146,-27.024,-50.562
1654149600,-20.063,-26.006,-32.704,-129.199,-24.806,-26.120,-33.284,-82.013,-23.848,-24.211,-27.124,-50.526
1654153200,-10.339,-25.689,-33.053,-130.601,-24.950,-26.301,-33.451,-82.604,-23.909,-24.298,-27.250,-50.560
1654156800,-8.310,-23.282,-33.511,-132.657,-25.136,-26.537,-33.699,-83.482,-23.988,-24.403,-27.399,-50.652
1654160400,-8.790,-20.870,-34.043,-135.204,-25.336,-26.819,-34.013,-84.597,-24.080,-24.521,-27.564,-50.790
1654164000,-9.642,-19.601,-34.586,-138.001,-25.501,-27.123,-34.365,-85.849,-24.180,-24.647,-27.738,-50.953
1654167600,-10.352,-19.181,-35.128,-141.059,-25.556,-27.445,-34.756,-87.250,-24.287,-24.782,-27.921,-51.143
1654171200,-11.001,-19.068,-35.711,-144.473,-25.562,-27.791,-35.200,-88.853,-24.405,-24.927,-28.116,-51.366
1654174800,-11.595,-19.109,-36.236,-147.667,-25.500,-28.109,-35.627,-90.400,-24.519,-25.070,-28.304,-51.576
1654178400,-12.148,-19.230,-36.679,-150.505,-25.385,-28.386,-36.019,-91.819,-24.624,-25.206,-28.479,-51.759
1654182000,-12.648,-19.384,-36.978,-152.672,-25.213,-28.588,-36.331,-92.934,-24.713,-25.323,-28.630,-51.888
1654185600,-13.106,-19.553,-37.163,-154.326,-24.997,-28.728,-36.580,-93.804,-24.789,-25.427,-28.761,-51.975
1654189200,-13.516,-19.698,-37.152,-155.058,-24.745,-28.767,-36.707,-94.200,-24.841,-25.507,-28.856,-51.982
1654192800,-13.876,-19.802,-36.920,-154.771,-24.453,-28.690,-36.692,-94.039,-24.864,-25.551,-28.910,-51.898
1654196400,-14.206,-19.902,-36.647,-154.216,-24.177,-28.581,-36.646,-93.753,-24.878,-25.587,-28.954,-51.795
