timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1654034400,0.2619,0.2737,0.2471,0.1352,0.2622,0.2631,0.2190,0.1620,0.2637,0.2652,0.2666,0.1856
1654038000,0.2625,0.2729,0.2464,0.1355,0.2625,0.2629,0.2205,0.1621,0.2637,0.2654,0.2651,0.1861
1654041600,0.2630,0.2722,0.2459,0.1359,0.2628,0.2627,0.2219,0.1622,0.2638,0.2655,0.2638,0.1865
1654045200,0.2635,0.2716,0.2455,0.1362,0.2631,0.2625,0.2231,0.1624,0.2638,0.2656,0.2628,0.1870
1654048800,0.2638,0.2711,0.2452,0.1366,0.2633,0.2624,0.2242,0.1625,0.2638,0.2656,0.2619,0.1874
1654052400,0.2642,0.2705,0.2449,0.1369,0.2635,0.2622,0.2253,0.1626,0.2639,0.2655,0.2610,0.1878
1654056000,0.2645,0.2700,0.2446,0.1372,0.2637,0.2621,0.2262,0.1628,0.2639,0.2655,0.2603,0.1882
1654059600,0.2646,0.2694,0.2441,0.1374,0.2637,0.2618,0.2269,0.1628,0.2639,0.2654,0.2596,0.1885
1654063200,0.2644,0.2685,0.2434,0.1372,0.2636,0.2614,0.2274,0.1626,0.2638,0.2652,0.2588,0.1887
1654066800,0.2639,0.2674,0.2424,0.1367,0.2632,0.2608,0.2276,0.1622,0.2637,0.2649,0.2580,0.1889
1654070400,0.2631,0.2660,0.2410,0.1359,0.2626,0.2599,0.2275,0.1615,0.2634,0.2646,0.2572,0.1889
1654074000,0.2621,0.2646,0.2395,0.1350,0.2619,0.2590,0.2273,0.1608,0.2631,0.2642,0.2563,0.1889
1654077600,0.2610,0.2629,0.2379,0.1339,0.2611,0.2580,0.2268,0.1599,0.2628,0.2637,0.2555,0.1888
1654081200,0.2599,0.2614,0.2364,0.1330,0.2604,0.2570,0.2264,0.1591,0.2625,0.2633,0.2547,0.1888
1654084800,0.2588,0.2599,0.2349,0.1320,0.2596,0.2561,0.2259,0.1583,0.2622,0.2628,0.2539,0.1887
1654088400,0.2579,0.2586,0.2336,0.1313,0.2589,0.2552,0.2256,0.1577,0.2619,0.2624,0.2532,0.1887
1654092000,0.2573,0.2576,0.2327,0.1308,0.2584,0.2545,0.2254,0.1572,0.2617,0.2620,0.2526,0.1887
1654095600,0.2566,0.2565,0.2318,0.1303,0.2579,0.2539,0.2252,0.1567,0.2615,0.2617,0.2520,0.1888
1654099200,0.2561,0.2557,0.2310,0.1299,0.2574,0.2533,0.2251,0.1564,0.2613,0.2614,0.2514,0.1888
1654102800,0.2558,0.2550,0.2305,0.1298,0.2572,0.2529,0.2251,0.1562,0.2612,0.2611,0.2510,0.1890
1654106400,0.2558,0.2547,0.2304,0.1299,0.2571,0.2527,0.2253,0.1563,0.2611,0.2609,0.2506,0.1892
1654110000,0.2559,0.2545,0.2304,0.1302,0.2571,0.2526,0.2256,0.1565,0.2611,0.2608,0.2503,0.1895
1654113600,0.2560,0.2544,0.2305,0.1304,0.2571,0.2525,0.2259,0.1566,0.2611,0.2606,0.2501,0.1898
1654117200,0.2561,0.2542,0.2304,0.1307,0.2571,0.2524,0.2262,0.1568,0.2611,0.2605,0.2498,0.1900
1654120800,0.2561,0.2540,0.2304,0.1309,0.2571,0.2524,0.2265,0.1569,0.2610,0.2603,0.2495,0.1902
1654124400,0.2562,0.2538,0.2304,0.1311,0.2571,0.2523,0.2267,0.1571,0.2610,0.2602,0.2492,0.1905
1654128000,0.2562,0.2536,0.2304,0.1314,0.2571,0.2522,0.2270,0.1573,0.2610,0.2600,0.2490,0.1907
1654131600,0.2561,0.2534,0.2303,0.1316,0.2571,0.2521,0.2272,0.1574,0.2609,0.2599,0.2487,0.1909
1654135200,0.2561,0.2531,0.2302,0.1318,0.2570,0.2520,0.2273,0.1575,0.2609,0.2597,0.2484,0.1911
1654138800,0.2561,0.2529,0.2302,0.1320,0.2570,0.2519,0.2275,0.1577,0.2608,0.2596,0.2482,0.1914
1654142400,0.2560,0.2527,0.2301,0.1322,0.2570,0.2518,0.2277,0.1579,0.2608,0.2594,0.2480,0.1916
