timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657148400,-3.448,-11.237,-36.266,-802.594,-20.919,-34.781,-142.670,-437.337,-273.084,-238.004,-175.516,-250.475
1657152000,-3.468,-10.952,-35.506,-796.183,-20.337,-34.371,-147.749,-433.222,-273.161,-236.878,-173.925,-247.500
1657155600,-3.490,-10.661,-35.297,-791.540,-19.717,-34.097,-147.183,-429.238,-272.879,-235.483,-173.424,-244.551
1657159200,-3.535,-10.421,-35.135,-786.957,-19.153,-33.885,-146.001,-425.466,-272.614,-234.477,-172.515,-241.911
1657162800,-3.598,-10.237,-34.972,-783.519,-18.651,-33.875,-145.025,-421.456,-272.027,-233.118,-171.134,-239.036
1657166400,-3.702,-10.063,-34.824,-782.022,-18.153,-33.656,-143.863,-418.262,-271.758,-232.133,-170.154,-236.783
1657170000,-3.823,-9.915,-34.714,-780.120,-17.681,-33.469,-142.375,-415.245,-271.651,-231.201,-169.249,-234.693
1657173600,-3.903,-9.757,-34.666,-781.258,-17.212,-33.403,-141.725,-412.820,-271.502,-230.614,-168.298,-233.100
1657177200,-4.016,-9.718,-35.018,-784.182,-16.961,-33.811,-141.230,-411.768,-272.314,-230.321,-167.857,-232.365
1657180800,-4.087,-9.646,-34.921,-788.016,-16.614,-33.769,-140.467,-411.951,-273.032,-230.450,-167.494,-232.277
1657184400,-4.274,-9.560,-35.153,-796.705,-16.304,-34.073,-140.875,-415.331,-274.281,-231.766,-168.190,-233.637
1657188000,-4.293,-9.583,-35.319,-808.885,-16.197,-34.716,-141.585,-422.679,-276.199,-235.909,-169.673,-237.369
1657191600,-3.917,-9.541,-35.326,-823.694,-15.501,-32.634,-141.183,-433.004,-277.998,-240.658,-172.296,-242.900
1657195200,-3.520,-9.529,-35.802,-837.187,-15.392,-31.390,-144.516,-441.623,-283.875,-247.415,-175.856,-249.594
1657198800,-3.276,-9.513,-36.530,-845.712,-15.388,-30.478,-147.650,-452.474,-291.209,-254.629,-180.515,-256.234
1657202400,-3.167,-9.452,-37.420,-847.926,-15.390,-30.632,-150.118,-455.915,-296.900,-260.156,-184.764,-261.071
1657206000,-3.122,-9.335,-38.107,-846.713,-15.283,-30.685,-151.851,-456.250,-300.520,-263.624,-188.431,-263.399
1657209600,-3.072,-9.203,-38.265,-843.046,-15.145,-30.552,-152.483,-454.348,-302.591,-264.215,-190.692,-263.589
1657213200,-3.030,-9.042,-38.155,-838.542,-14.923,-30.397,-152.551,-452.133,-304.081,-264.108,-191.999,-263.056
1657216800,-2.989,-8.889,-38.086,-834.466,-14.691,-30.127,-152.555,-450.217,-304.296,-263.827,-193.073,-262.069
1657220400,-2.741,-8.715,-38.007,-829.032,-14.344,-29.492,-151.498,-446.506,-303.898,-262.399,-193.591,-260.720
1657224000,-2.355,-8.165,-37.399,-822.577,-14.015,-28.907,-150.365,-442.311,-303.305,-260.900,-193.665,-258.895
1657227600,-2.353,-7.189,-37.202,-816.705,-13.642,-28.526,-149.756,-438.465,-302.494,-258.926,-193.293,-255.963
1657231200,-2.416,-6.552,-36.968,-811.637,-13.200,-28.187,-148.627,-434.545,-301.137,-257.121,-192.312,-253.360
1657234800,-2.481,-6.263,-36.662,-807.227,-12.754,-27.779,-147.362,-430.994,-300.136,-255.073,-191.243,-250.743
1657238400,-2.548,-6.046,-36.352,-802.850,-12.185,-27.335,-146.294,-427.376,-298.802,-253.315,-190.498,-248.446
1657242000,-2.623,-5.952,-35.991,-800.750,-11.751,-26.963,-145.075,-423.759,-297.834,-251.357,-189.385,-245.851
1657245600,-2.685,-5.888,-35.495,-799.800,-11.304,-26.788,-144.184,-420.609,-296.473,-249.695,-187.986,-243.535
1657249200,-2.721,-5.866,-35.084,-799.229,-10.999,-27.463,-143.536,-418.045,-295.503,-248.210,-186.905,-241.329
1657252800,-2.773,-5.820,-34.104,-799.447,-10.604,-27.338,-142.390,-415.150,-294.477,-246.658,-185.748,-239.087
1657256400,-2.849,-5.829,-33.398,-800.728,-10.375,-27.295,-141.580,-413.401,-293.950,-245.692,-184.775,-237.700
1657260000,-2.944,-5.842,-32.641,-804.874,-10.181,-27.444,-140.912,-412.308,-293.697,-244.660,-183.763,-236.394
1657263600,-3.046,-5.856,-32.147,-810.035,-9.957,-26.935,-139.757,-412.256,-293.794,-243.915,-183.028,-236.059
1657267200,-3.166,-5.871,-31.274,-817.808,-9.749,-26.441,-139.302,-413.892,-294.211,-243.906,-182.276,-236.268
1657270800,-3.266,-5.893,-30.264,-826.445,-9.600,-25.489,-139.009,-417.926,-295.482,-245.426,-183.017,-238.356
1657274400,-3.338,-5.950,-29.051,-838.024,-9.506,-23.832,-138.911,-425.149,-297.638,-248.820,-184.272,-242.269
1657278000,-3.460,-6.016,-28.333,-851.630,-9.462,-21.728,-138.923,-435.953,-302.310,-255.544,-187.691,-248.494
1657281600,-3.674,-6.082,-27.671,-861.788,-9.402,-21.072,-140.813,-446.110,-307.921,-263.239,-191.001,-254.615
1657285200,-3.903,-6.167,-26.899,-867.795,-9.398,-20.631,-141.851,-453.359,-313.573,-269.583,-194.547,-260.430
1657288800,-4.116,-6.255,-24.195,-872.097,-9.400,-19.923,-141.869,-457.960,-317.931,-272.805,-197.809,-264.918
1657292400,-4.344,-6.364,-23.228,-875.007,-9.431,-19.602,-143.633,-460.946,-321.796,-273.229,-201.596,-269.079
1657296000,-4.550,-6.489,-22.513,-876.260,-9.495,-19.486,-144.989,-463.006,-324.926,-270.082,-205.500,-272.300
1657299600,-4.762,-6.595,-21.777,-875.162,-9.529,-19.247,-145.024,-462.461,-327.556,-265.207,-208.520,-273.952
1657303200,-4.943,-6.717,-21.464,-871.509,-9.575,-19.208,-144.973,-460.759,-329.392,-259.751,-211.255,-274.427
1657306800,-5.232,-7.047,-22.234,-865.665,-10.004,-20.336,-144.086,-457.492,-330.281,-253.342,-213.142,-273.599
1657310400,-5.411,-7.149,-19.923,-743.670,-9.866,-19.921,-53.238,-72.681,-75.253,-220.298,-207.480,-49.754
1657314000,-5.582,-7.270,-19.647,-530.264,-9.789,-19.526,-49.674,-78.238,-47.042,-224.295,-208.735,-51.114
1657317600,-5.723,-7.386,-19.519,-437.529,-9.888,-19.409,-48.891,-84.799,-47.253,-229.382,-207.909,-53.374
1657321200,-5.876,-7.503,-19.257,-394.068,-9.997,-19.613,-48.700,-91.593,-48.162,-225.816,-206.464,-56.082
1657324800,-6.022,-7.618,-19.199,-373.837,-10.094,-19.433,-48.526,-98.563,-49.454,-222.108,-205.521,-59.581
1657328400,-6.169,-7.741,-19.200,-364.162,-10.207,-19.505,-48.526,-104.137,-50.550,-218.818,-204.332,-63.768
1657332000,-6.304,-7.860,-19.254,-360.713,-10.320,-19.502,-48.420,-110.471,-52.197,-216.087,-203.497,-69.793
1657335600,-6.429,-7.975,-19.253,-361.724,-10.449,-19.558,-48.302,-118.085,-54.388,-213.454,-201.960,-78.145
1657339200,-6.555,-8.095,-19.491,-364.783,-10.575,-19.874,-48.209,-127.214,-57.438,-211.356,-200.778,-87.643
