timestamp,air_humidity
1657062000,59.3
1657065600,64.9
1657069200,66.4
1657072800,67.0
1657076400,68.9
1657080000,78.5
1657083600,82.0
1657087200,82.7
1657090800,83.2
1657094400,80.2
1657098000,79.9
1657101600,77.9
1657105200,67.7
1657108800,50.2
1657112400,40.6
1657116000,41.5
1657119600,41.8
1657123200,46.1
1657126800,45.4
1657130400,46.5
1657134000,44.1
1657137600,46.5
1657141200,54.2
1657144800,61.7
1657148400,67.3
1657152000,70.6
1657155600,70.1
1657159200,71.8
1657162800,70.7
1657166400,68.1
1657170000,63.6
1657173600,64.8
1657177200,69.0
1657180800,66.0
1657184400,53.7
1657188000,47.2
1657191600,43.5
1657195200,36.7
1657198800,33.9
1657202400,36.1
1657206000,33.7
1657209600,36.7
1657213200,36.1
1657216800,36.5
1657220400,41.5
1657224000,42.7
1657227600,51.6
1657231200,58.1
1657234800,64.6
1657238400,66.1
1657242000,65.4
1657245600,81.8
1657249200,86.2
1657252800,85.3
1657256400,82.4
1657260000,80.8
1657263600,76.6
1657267200,73.7
1657270800,69.3
1657274400,60.3
1657278000,46.2
1657281600,43.4
1657285200,38.0
1657288800,32.0
1657292400,33.6
1657296000,27.5
1657299600,25.4
1657303200,24.5
1657306800,25.6
1657310400,32.8
1657314000,41.4
1657317600,45.4
1657321200,41.9
1657324800,49.4
1657328400,51.8
1657332000,54.5
1657335600,62.1
1657339200,63.1
1657342800,64.8
1657346400,63.8
1657350000,62.6
1657353600,56.7
1657357200,47.7
1657360800,42.4
1657364400,32.1
1657368000,29.1
1657371600,25.3
1657375200,25.0
1657378800,24.9
1657382400,25.0
1657386000,28.5
1657389600,32.2
1657393200,33.4
1657396800,36.0
1657400400,39.8
1657404000,41.6
1657407600,44.4
1657411200,43.3
1657414800,40.4
1657418400,41.7
1657422000,45.6
1657425600,47.0
1657429200,47.0
1657432800,46.7
1657436400,47.1
1657440000,45.9
1657443600,39.4
1657447200,33.1
1657450800,29.9
1657454400,28.3
1657458000,26.6
1657461600,23.9
1657465200,22.0
1657468800,21.5
1657472400,22.7
1657476000,23.4
1657479600,25.4
1657483200,31.5
1657486800,40.8
1657490400,46.1
1657494000,48.0
1657497600,47.8
1657501200,48.8
1657504800,52.2
1657508400,51.3
1657512000,50.3
1657515600,50.1
1657519200,51.6
1657522800,53.8
1657526400,50.4
1657530000,44.0
1657533600,38.5
1657537200,36.8
1657540800,36.1
1657544400,39.6
1657548000,38.9
1657551600,38.8
1657555200,39.6
1657558800,42.3
1657562400,44.7
1657566000,48.6
1657569600,53.7
1657573200,58.1
1657576800,61.6
1657580400,64.4
1657584000,66.9
1657587600,68.6
1657591200,69.7
1657594800,85.8
1657598400,83.0
1657602000,78.7
1657605600,78.2
1657609200,78.2
1657612800,78.7
1657616400,65.0
1657620000,61.5
1657623600,61.0
1657627200,53.1
1657630800,52.0
1657634400,47.2
1657638000,42.6
1657641600,41.3
1657645200,41.8
1657648800,43.8
1657652400,48.4
1657656000,53.9
1657659600,62.4
1657663200,68.5
1657666800,72.1
1657670400,75.7
1657674000,77.8
1657677600,71.2
1657681200,74.5
1657684800,80.1
1657688400,82.3
1657692000,78.5
1657695600,73.2
1657699200,63.9
1657702800,57.7
1657706400,54.0
1657710000,47.7
1657713600,38.8
1657717200,32.0
1657720800,27.3
1657724400,23.4
1657728000,22.5
1657731600,23.1
1657735200,23.4
1657738800,24.0
1657742400,28.0
1657746000,32.8
1657749600,35.4
1657753200,33.5
1657756800,30.5
1657760400,28.9
1657764000,40.7
1657767600,38.1
1657771200,36.8
1657774800,35.8
1657778400,34.8
1657782000,30.8
1657785600,32.3
1657789200,28.6
1657792800,23.6
1657796400,19.0
1657800000,15.5
1657803600,12.2
1657807200,10.7
1657810800,14.6
1657814400,18.3
1657818000,20.2
1657821600,23.0
1657825200,28.7
1657828800,35.1
1657832400,41.8
1657836000,41.4
1657839600,33.2
1657843200,32.1
1657846800,30.7
1657850400,58.8
1657854000,58.0
1657857600,57.2
1657861200,56.5
1657864800,55.7
1657868400,54.9
1657872000,54.1
1657875600,48.7
1657879200,43.2
1657882800,37.8
1657886400,32.4
