timestamp,air_temperature
1657062000,26.5
1657065600,25.6
1657069200,25.1
1657072800,25.2
1657076400,24.6
1657080000,23.7
1657083600,23.1
1657087200,22.6
1657090800,21.7
1657094400,21.8
1657098000,21.7
1657101600,22.2
1657105200,24.4
1657108800,28.0
1657112400,30.2
1657116000,30.4
1657119600,31.1
1657123200,30.1
1657126800,30.6
1657130400,30.4
1657134000,30.2
1657137600,29.0
1657141200,27.1
1657144800,25.8
1657148400,24.7
1657152000,24.0
1657155600,23.6
1657159200,22.8
1657162800,22.3
1657166400,22.1
1657170000,22.2
1657173600,21.9
1657177200,22.2
1657180800,23.6
1657184400,25.7
1657188000,27.8
1657191600,30.3
1657195200,32.1
1657198800,32.4
1657202400,31.9
1657206000,32.8
1657209600,31.6
1657213200,31.8
1657216800,31.4
1657220400,29.7
1657224000,28.6
1657227600,26.9
1657231200,25.8
1657234800,24.9
1657238400,24.7
1657242000,24.3
1657245600,21.1
1657249200,20.7
1657252800,20.6
1657256400,21.0
1657260000,20.9
1657263600,21.7
1657267200,22.2
1657270800,23.5
1657274400,24.6
1657278000,26.5
1657281600,26.6
1657285200,27.8
1657288800,29.1
1657292400,28.9
1657296000,29.7
1657299600,29.2
1657303200,28.7
1657306800,27.9
1657310400,26.4
1657314000,24.5
1657317600,23.4
1657321200,23.0
1657324800,22.6
1657328400,21.9
1657332000,21.5
1657335600,20.9
1657339200,20.5
1657342800,20.3
1657346400,20.0
1657350000,20.4
1657353600,21.9
1657357200,23.8
1657360800,25.3
1657364400,26.7
1657368000,27.6
1657371600,28.3
1657375200,28.9
1657378800,29.2
1657382400,29.1
1657386000,28.7
1657389600,27.8
1657393200,27.0
1657396800,25.9
1657400400,24.2
1657404000,22.9
1657407600,22.0
1657411200,21.6
1657414800,21.5
1657418400,21.2
1657422000,20.7
1657425600,20.3
1657429200,20.1
1657432800,20.1
1657436400,20.4
1657440000,22.2
1657443600,25.0
1657447200,27.3
1657450800,28.9
1657454400,30.3
1657458000,31.5
1657461600,32.4
1657465200,33.2
1657468800,33.8
1657472400,32.8
1657476000,31.7
1657479600,30.6
1657483200,29.0
1657486800,26.9
1657490400,25.4
1657494000,24.4
1657497600,23.7
1657501200,22.8
1657504800,22.4
1657508400,22.6
1657512000,22.4
1657515600,21.7
1657519200,21.2
1657522800,21.3
1657526400,22.7
1657530000,24.6
1657533600,26.9
1657537200,29.1
1657540800,30.9
1657544400,30.0
1657548000,30.6
1657551600,31.0
1657555200,30.8
1657558800,29.9
1657562400,28.6
1657566000,27.0
1657569600,25.6
1657573200,24.5
1657576800,23.9
1657580400,23.5
1657584000,23.2
1657587600,23.0
1657591200,21.3
1657594800,19.7
1657598400,19.9
1657602000,20.5
1657605600,20.8
1657609200,21.2
1657612800,22.0
1657616400,23.4
1657620000,24.2
1657623600,24.5
1657627200,26.5
1657630800,27.7
1657634400,28.6
1657638000,29.6
1657641600,30.0
1657645200,30.1
1657648800,29.4
1657652400,27.9
1657656000,26.5
1657659600,24.7
1657663200,23.6
1657666800,22.7
1657670400,21.9
1657674000,21.3
1657677600,21.5
1657681200,21.0
1657684800,20.3
1657688400,20.0
1657692000,20.0
1657695600,20.3
1657699200,22.0
1657702800,24.1
1657706400,26.3
1657710000,28.3
1657713600,30.1
1657717200,31.3
1657720800,32.7
1657724400,33.4
1657728000,32.6
1657731600,32.1
1657735200,31.4
1657738800,30.4
1657742400,28.8
1657746000,26.7
1657749600,25.4
1657753200,24.6
1657756800,23.9
1657760400,23.6
1657764000,22.3
1657767600,22.7
1657771200,22.5
1657774800,22.3
1657778400,21.8
1657782000,22.6
1657785600,23.9
1657789200,26.8
1657792800,29.5
1657796400,31.9
1657800000,34.1
1657803600,35.7
1657807200,36.9
1657810800,37.0
1657814400,35.6
1657818000,34.7
1657821600,33.5
1657825200,31.7
1657828800,29.9
1657832400,28.1
1657836000,27.4
1657839600,27.5
1657843200,27.0
1657846800,26.7
1657850400,23.7
1657854000,24.1
1657857600,24.5
1657861200,24.9
1657864800,25.2
1657868400,25.6
1657872000,26.0
1657875600,27.6
1657879200,29.3
1657882800,30.9
1657886400,32.6
1657890000,34.2
1657893600,35.9
1657897200,35.0
