timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657148400,-7.093,-11.466,-27.568,-743.774,-18.219,-31.567,-121.444,-435.904,-176.283,-173.688,-169.928,-244.841
1657152000,-7.216,-11.426,-26.887,-739.093,-17.716,-29.482,-127.376,-431.999,-177.050,-170.983,-167.627,-241.741
1657155600,-7.393,-11.445,-26.571,-735.659,-17.377,-28.133,-128.023,-428.034,-175.903,-168.996,-166.984,-238.768
1657159200,-7.802,-11.503,-26.245,-731.755,-17.101,-27.190,-127.439,-424.182,-174.645,-167.647,-166.035,-236.062
1657162800,-8.253,-11.610,-25.974,-728.547,-16.924,-26.516,-127.268,-420.128,-173.411,-167.160,-164.684,-233.153
1657166400,-8.687,-11.744,-25.720,-726.775,-16.782,-25.815,-126.811,-416.855,-172.443,-166.605,-163.683,-230.836
1657170000,-9.091,-11.901,-25.496,-724.471,-16.696,-25.249,-126.147,-413.693,-171.608,-166.307,-162.686,-228.626
1657173600,-9.464,-12.076,-25.364,-724.615,-16.658,-24.765,-126.090,-411.191,-170.658,-166.373,-161.681,-226.924
1657177200,-9.819,-12.285,-25.519,-727.180,-16.705,-24.579,-126.402,-409.946,-170.493,-167.551,-161.039,-225.957
1657180800,-10.153,-12.499,-25.823,-729.418,-16.770,-24.332,-126.783,-410.590,-170.392,-168.699,-160.939,-226.074
1657184400,-10.485,-12.749,-26.623,-736.907,-16.899,-24.271,-128.261,-414.286,-170.668,-170.622,-161.599,-227.373
1657188000,-10.593,-13.041,-27.915,-749.161,-17.095,-24.453,-130.816,-422.242,-172.010,-175.335,-163.234,-231.213
1657191600,-9.295,-13.287,-29.505,-762.973,-17.199,-24.159,-131.562,-433.445,-172.920,-176.788,-166.210,-237.110
1657195200,-7.672,-13.451,-31.041,-772.264,-17.376,-24.216,-133.483,-441.653,-175.585,-180.031,-169.182,-243.243
1657198800,-6.781,-13.391,-32.340,-774.253,-17.501,-24.271,-133.992,-451.133,-178.235,-182.321,-172.516,-248.732
1657202400,-6.425,-13.127,-32.875,-769.052,-17.545,-24.386,-133.627,-453.373,-179.603,-182.830,-175.457,-252.466
1657206000,-6.315,-12.770,-34.409,-760.265,-17.479,-24.495,-132.793,-452.867,-179.824,-181.944,-178.109,-253.988
1657209600,-6.316,-12.485,-36.352,-754.749,-17.357,-24.785,-133.988,-451.381,-181.196,-181.580,-180.352,-254.257
1657213200,-6.354,-12.231,-36.787,-743.289,-17.172,-24.979,-133.690,-448.914,-182.336,-181.973,-181.344,-253.480
1657216800,-6.425,-12.047,-37.641,-737.167,-16.963,-25.133,-133.878,-446.997,-182.662,-182.554,-182.317,-252.450
1657220400,-6.490,-11.875,-37.863,-729.741,-16.698,-25.079,-132.737,-443.109,-181.984,-181.130,-182.600,-250.954
1657224000,-6.584,-11.751,-37.792,-721.696,-16.439,-24.949,-132.007,-438.944,-181.547,-180.398,-182.603,-249.112
1657227600,-6.702,-11.688,-37.631,-718.444,-16.218,-24.849,-132.296,-435.048,-180.689,-180.589,-182.181,-246.158
1657231200,-6.827,-11.656,-37.629,-715.455,-16.030,-24.698,-132.279,-431.150,-179.513,-181.407,-181.231,-243.582
1657234800,-6.965,-11.654,-37.245,-712.656,-15.882,-24.688,-132.247,-427.652,-178.157,-182.346,-180.221,-241.018
1657238400,-7.108,-11.685,-37.468,-709.322,-15.774,-24.595,-132.235,-424.158,-176.325,-183.589,-179.540,-238.789
1657242000,-7.255,-11.728,-37.471,-707.679,-15.703,-24.539,-132.252,-420.684,-174.437,-184.831,-178.511,-236.275
1657245600,-7.510,-11.791,-37.667,-706.476,-15.648,-24.378,-132.359,-417.568,-172.285,-186.156,-177.175,-233.991
1657249200,-7.856,-11.887,-37.541,-705.438,-15.675,-24.599,-132.777,-414.988,-170.765,-189.644,-176.136,-231.802
1657252800,-8.406,-11.999,-36.860,-704.153,-15.684,-24.542,-132.403,-412.133,-168.673,-191.731,-175.040,-229.615
1657256400,-8.837,-12.124,-36.529,-704.614,-15.752,-24.694,-132.480,-410.359,-166.889,-194.153,-174.066,-228.213
1657260000,-9.193,-12.231,-36.332,-707.369,-15.857,-24.810,-132.613,-409.266,-165.223,-196.660,-173.082,-226.914
1657263600,-9.514,-12.346,-36.427,-711.210,-15.952,-24.726,-132.122,-409.241,-163.093,-198.177,-172.359,-226.596
1657267200,-9.816,-12.478,-36.321,-715.529,-16.084,-24.688,-132.084,-410.938,-161.340,-200.237,-171.703,-226.858
1657270800,-10.105,-12.620,-36.172,-719.706,-16.220,-24.627,-131.704,-415.028,-159.842,-202.749,-172.521,-229.036
1657274400,-10.388,-12.777,-35.550,-725.415,-16.371,-24.604,-131.584,-422.497,-158.540,-206.805,-174.082,-233.230
1657278000,-10.657,-12.927,-35.174,-730.722,-16.467,-24.210,-130.465,-432.887,-156.623,-210.980,-177.066,-239.162
1657281600,-10.920,-13.115,-35.879,-735.332,-16.644,-24.252,-131.313,-443.022,-156.648,-216.982,-180.331,-245.284
1657285200,-11.203,-13.336,-36.821,-735.286,-16.859,-24.379,-131.654,-450.600,-157.324,-221.643,-183.972,-251.256
1657288800,-11.472,-13.531,-36.876,-731.562,-17.011,-24.375,-130.253,-455.417,-157.172,-222.328,-187.210,-255.834
1657292400,-11.747,-13.748,-37.064,-726.119,-17.204,-24.499,-129.332,-458.125,-156.852,-220.943,-190.610,-259.734
1657296000,-12.037,-14.006,-37.769,-719.865,-17.481,-24.763,-128.854,-460.146,-157.262,-217.737,-194.189,-262.801
1657299600,-12.324,-14.265,-38.208,-712.888,-17.781,-25.165,-128.836,-460.379,-158.539,-214.256,-197.565,-264.897
1657303200,-12.599,-14.532,-38.655,-707.115,-18.089,-25.610,-129.375,-459.335,-160.453,-210.818,-200.618,-265.771
1657306800,-12.840,-14.770,-38.469,-701.860,-18.356,-26.458,-129.317,-456.424,-161.725,-206.399,-202.623,-265.171
