timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657321200,0.3580,0.3315,0.1574,0.0681,0.3050,0.2299,0.1035,0.0782,0.0903,0.0930,0.0994,0.0910
1657324800,0.3556,0.3301,0.1622,0.0682,0.3043,0.2314,0.1027,0.0784,0.0903,0.0931,0.0996,0.0913
1657328400,0.3536,0.3288,0.1667,0.0683,0.3036,0.2325,0.1028,0.0786,0.0903,0.0933,0.0997,0.0916
1657332000,0.3516,0.3274,0.1702,0.0684,0.3028,0.2336,0.1029,0.0788,0.0904,0.0934,0.0998,0.0918
1657335600,0.3497,0.3261,0.1739,0.0685,0.3020,0.2341,0.1031,0.0789,0.0904,0.0935,0.1000,0.0921
1657339200,0.3480,0.3249,0.1773,0.0685,0.3013,0.2352,0.1032,0.0791,0.0905,0.0936,0.1002,0.0924
1657342800,0.3461,0.3235,0.1805,0.0686,0.3002,0.2355,0.1035,0.0792,0.0905,0.0937,0.1003,0.0926
1657346400,0.3441,0.3222,0.1821,0.0685,0.2993,0.2362,0.1035,0.0793,0.0905,0.0937,0.1004,0.0927
1657350000,0.3424,0.3208,0.1823,0.0685,0.2982,0.2359,0.1035,0.0794,0.0904,0.0937,0.1005,0.0928
1657353600,0.3408,0.3197,0.1840,0.0684,0.2974,0.2366,0.1035,0.0793,0.0904,0.0936,0.1005,0.0928
1657357200,0.3392,0.3184,0.1843,0.0682,0.2963,0.2370,0.1034,0.0792,0.0903,0.0935,0.1004,0.0926
1657360800,0.3468,0.3172,0.1842,0.0680,0.2952,0.2380,0.1033,0.0788,0.0901,0.0930,0.1001,0.0922
1657364400,0.3721,0.3165,0.1848,0.0677,0.2954,0.2422,0.1033,0.0784,0.0904,0.0926,0.0997,0.0917
1657368000,0.3938,0.3156,0.1828,0.0674,0.2942,0.2442,0.1028,0.0780,0.0900,0.0920,0.0992,0.0910
1657371600,0.4072,0.3154,0.1806,0.0673,0.2931,0.2452,0.1023,0.0775,0.0894,0.0915,0.0985,0.0904
1657375200,0.4130,0.3163,0.1748,0.0672,0.2923,0.2445,0.1019,0.0774,0.0891,0.0910,0.0979,0.0900
1657378800,0.4172,0.3178,0.1742,0.0673,0.2918,0.2438,0.1015,0.0774,0.0888,0.0907,0.0974,0.0897
1657382400,0.4201,0.3201,0.1724,0.0673,0.2919,0.2435,0.1014,0.0775,0.0887,0.0906,0.0972,0.0897
1657386000,0.4226,0.3228,0.1778,0.0674,0.2926,0.2435,0.1015,0.0776,0.0887,0.0906,0.0970,0.0898
