timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657321200,-13.959,-16.123,-38.404,-575.527,-20.199,-29.355,-128.323,-465.454,-106.281,-138.361,-182.408,-256.066
1657324800,-14.093,-16.200,-36.492,-629.836,-20.172,-28.751,-129.014,-456.481,-104.015,-136.116,-180.909,-253.622
1657328400,-14.240,-16.320,-35.440,-635.177,-20.224,-28.415,-128.381,-448.576,-102.133,-134.930,-180.360,-250.970
1657332000,-14.388,-16.440,-34.615,-631.530,-20.289,-28.142,-127.597,-444.258,-100.402,-134.030,-179.511,-248.302
1657335600,-14.540,-16.577,-34.013,-627.684,-20.386,-28.004,-127.256,-440.422,-99.288,-133.866,-178.326,-245.420
1657339200,-14.685,-16.705,-33.478,-625.193,-20.469,-27.848,-126.743,-437.372,-97.973,-133.463,-177.442,-243.148
1657342800,-14.839,-16.845,-33.195,-621.469,-20.576,-27.823,-126.070,-434.337,-96.638,-133.038,-176.566,-240.996
1657346400,-15.023,-17.020,-33.302,-618.240,-20.710,-27.986,-125.573,-432.439,-95.000,-132.522,-175.782,-239.360
1657350000,-15.239,-17.248,-33.973,-619.686,-20.929,-28.396,-125.934,-431.219,-94.640,-133.015,-175.335,-238.460
1657353600,-15.447,-17.451,-34.545,-612.725,-21.097,-28.718,-125.357,-431.478,-93.286,-132.511,-175.106,-238.384
1657357200,-15.617,-17.684,-35.367,-611.506,-21.297,-29.161,-125.058,-434.755,-92.071,-132.119,-175.599,-239.466
1657360800,-14.512,-17.949,-36.584,-609.254,-21.566,-29.778,-125.188,-441.565,-91.742,-132.913,-176.967,-242.827
1657364400,-10.741,-18.117,-37.430,-607.431,-21.690,-29.952,-123.400,-451.785,-88.700,-130.149,-179.422,-248.300
1657368000,-7.725,-18.214,-38.682,-608.424,-21.964,-30.544,-123.686,-460.841,-88.688,-130.702,-182.558,-254.356
1657371600,-6.615,-17.806,-40.461,-608.984,-22.231,-31.231,-123.983,-470.842,-89.268,-131.865,-186.400,-260.294
