timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657321200,-15.102,-17.226,-36.948,-729.460,-20.480,-26.600,-128.629,-478.448,-77.246,-123.457,-195.194,-269.347
1657324800,-15.215,-17.287,-35.784,-719.134,-20.464,-26.313,-126.862,-475.515,-75.070,-119.450,-193.449,-266.362
1657328400,-15.345,-17.388,-35.172,-715.684,-20.512,-26.192,-124.983,-471.979,-73.541,-117.159,-192.913,-263.471
1657332000,-15.480,-17.501,-34.690,-712.208,-20.577,-26.114,-123.067,-468.577,-72.234,-115.330,-192.110,-260.854
1657335600,-15.621,-17.626,-34.375,-709.955,-20.670,-26.101,-121.778,-464.971,-71.372,-114.558,-190.968,-258.021
1657339200,-15.749,-17.735,-34.014,-709.245,-20.742,-26.055,-119.951,-462.037,-70.337,-113.183,-190.094,-255.733
1657342800,-15.906,-17.882,-33.825,-708.581,-20.853,-26.074,-118.239,-459.308,-69.447,-111.867,-189.255,-253.607
1657346400,-16.134,-18.122,-34.060,-709.499,-21.056,-26.235,-117.091,-457.533,-68.762,-110.716,-188.590,-252.121
1657350000,-16.420,-18.443,-34.714,-712.873,-21.352,-26.558,-117.291,-456.932,-68.686,-110.840,-188.291,-251.371
1657353600,-16.727,-18.778,-35.218,-714.239,-21.651,-26.844,-115.616,-457.475,-68.159,-109.496,-188.122,-251.387
1657357200,-16.529,-19.188,-36.071,-719.121,-22.018,-27.231,-114.686,-460.913,-67.796,-108.466,-188.760,-252.617
1657360800,-11.148,-19.637,-37.067,-724.975,-22.457,-27.722,-114.431,-468.014,-67.873,-108.649,-190.259,-256.177
1657364400,-7.501,-19.833,-37.672,-731.218,-22.765,-27.971,-111.441,-478.009,-66.581,-104.692,-192.747,-261.679
1657368000,-5.974,-19.612,-38.891,-737.926,-23.169,-28.468,-111.398,-486.385,-66.601,-104.241,-196.058,-267.883
1657371600,-5.402,-18.653,-40.333,-741.536,-23.486,-29.047,-112.113,-496.745,-66.976,-104.432,-200.211,-273.961
1657375200,-5.256,-17.116,-41.715,-742.309,-23.462,-29.572,-112.621,-500.295,-67.227,-104.365,-203.888,-278.216
1657378800,-5.184,-15.640,-42.809,-740.870,-23.020,-30.001,-113.187,-501.034,-67.391,-104.091,-207.139,-280.227
1657382400,-5.197,-14.427,-43.312,-735.178,-22.145,-30.213,-112.291,-499.444,-67.132,-102.841,-209.174,-280.327
1657386000,-5.246,-13.579,-43.431,-727.371,-21.044,-30.206,-111.080,-497.441,-66.848,-101.683,-210.250,-279.648
1657389600,-5.311,-12.929,-43.400,-724.687,-19.972,-30.033,-110.461,-496.011,-66.662,-101.103,-211.482,-278.770
1657393200,-5.499,-12.374,-42.741,-722.117,-18.893,-29.553,-108.502,-492.573,-66.020,-99.475,-211.858,-277.304
1657396800,-5.730,-11.990,-42.001,-716.694,-17.968,-28.940,-105.921,-488.822,-65.457,-98.116,-211.978,-275.481
1657400400,-6.249,-11.792,-41.479,-714.285,-17.263,-28.300,-104.733,-485.370,-65.260,-97.658,-211.786,-272.641
1657404000,-7.010,-11.783,-40.972,-712.912,-16.748,-27.596,-103.782,-481.880,-65.122,-97.440,-211.059,-270.123
1657407600,-7.724,-11.916,-40.501,-711.503,-16.416,-26.883,-103.122,-478.767,-65.046,-97.376,-210.281,-267.627
1657411200,-8.347,-12.121,-39.936,-710.170,-16.221,-26.169,-101.957,-475.585,-65.000,-97.460,-209.773,-265.414
1657414800,-8.864,-12.363,-39.435,-710.854,-16.157,-25.550,-101.513,-472.397,-64.977,-97.654,-208.927,-262.910
1657418400,-9.325,-12.617,-39.003,-712.628,-16.159,-25.032,-101.547,-469.686,-64.949,-97.975,-207.880,-260.683
