timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657062000.0,0.3131,0.3221,0.2977,0.1030,0.3131,0.3022,0.1752,0.1242,0.1416,0.1485,0.1675,0.1479
1657065600.0,0.3131,0.3221,0.2977,0.1032,0.3131,0.3022,0.1756,0.1246,0.1417,0.1488,0.1677,0.1485
1657069200.0,0.3131,0.3194,0.2977,0.1034,0.3131,0.3022,0.1762,0.1249,0.1418,0.1491,0.1678,0.1491
1657072800.0,0.3131,0.3221,0.2977,0.1036,0.3131,0.3022,0.1768,0.1253,0.1418,0.1493,0.1682,0.1496
1657076400.0,0.3131,0.3208,0.2977,0.1037,0.3131,0.3011,0.1774,0.1257,0.1419,0.1496,0.1686,0.1502
1657080000.0,0.3131,0.3208,0.2977,0.1038,0.3117,0.3011,0.1779,0.1260,0.1420,0.1499,0.1690,0.1507
1657083600.0,0.3131,0.3221,0.2977,0.1038,0.3117,0.3011,0.1786,0.1263,0.1421,0.1501,0.1693,0.1512
1657087200.0,0.3131,0.3221,0.2977,0.1038,0.3117,0.3011,0.1789,0.1265,0.1421,0.1502,0.1697,0.1515
1657090800.0,0.3117,0.3208,0.2967,0.1037,0.3117,0.2999,0.1795,0.1267,0.1421,0.1504,0.1700,0.1518
1657094400.0,0.3117,0.3208,0.2967,0.1035,0.3105,0.2999,0.1797,0.1266,0.1419,0.1503,0.1701,0.1518
1657098000.0,0.3105,0.3194,0.2967,0.1032,0.3105,0.2999,0.1797,0.1263,0.1418,0.1501,0.1700,0.1515
1657101600.0,0.3105,0.3194,0.2967,0.1027,0.3105,0.2989,0.1795,0.1257,0.1416,0.1492,0.1696,0.1508
1657105200.0,0.3156,0.3181,0.2967,0.1022,0.3117,0.3032,0.1789,0.1247,0.1411,0.1481,0.1686,0.1496
1657108800.0,0.3156,0.3194,0.2967,0.1017,0.3144,0.3032,0.1783,0.1240,0.1403,0.1468,0.1677,0.1484
1657112400.0,0.3144,0.3208,0.2967,0.1014,0.3156,0.3032,0.1777,0.1232,0.1394,0.1457,0.1665,0.1473
1657116000.0,0.3131,0.3194,0.2967,0.1014,0.3169,0.3032,0.1774,0.1230,0.1387,0.1449,0.1655,0.1466
1657119600.0,0.3131,0.3208,0.2967,0.1014,0.3169,0.3032,0.1772,0.1231,0.1384,0.1444,0.1647,0.1464
1657123200.0,0.3117,0.3208,0.2967,0.1015,0.3169,0.3032,0.1771,0.1232,0.1381,0.1444,0.1640,0.1464
1657126800.0,0.3117,0.3221,0.2977,0.1017,0.3169,0.3032,0.1772,0.1235,0.1379,0.1444,0.1637,0.1465
1657130400.0,0.3117,0.3221,0.2977,0.1018,0.3156,0.3032,0.1774,0.1236,0.1379,0.1445,0.1634,0.1467
1657134000.0,0.3131,0.3221,0.2977,0.1020,0.3169,0.3045,0.1779,0.1240,0.1380,0.1447,0.1633,0.1470
1657137600.0,0.3131,0.3221,0.2989,0.1022,0.3169,0.3056,0.1785,0.1244,0.1382,0.1450,0.1633,0.1473
1657141200.0,0.3131,0.3235,0.2989,0.1025,0.3169,0.3056,0.1789,0.1247,0.1383,0.1454,0.1634,0.1479
