timestamp,air_humidity
1654034400,93.6
1654038000,94.6
1654041600,95.2
1654045200,95.7
1654048800,95.3
1654052400,93.6
1654056000,93.8
1654059600,87.15
1654063200,76.5
1654066800,70.55
1654070400,67.8
1654074000,67.55
1654077600,65.2
1654081200,63.1
1654084800,61.45
1654088400,62.65
1654092000,67.2
1654095600,67.1
1654099200,70.2
1654102800,70
1654106400,72.75
1654110000,82.1
1654113600,89
1654117200,91.05
1654120800,85.6
1654124400,83.1
1654128000,81.85
1654131600,75.6
1654135200,74.55
1654138800,74.6
1654142400,76.7
1654146000,72.4
1654149600,66.9
1654153200,61.45
1654156800,60.75
