timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1654034400,-23.501,-21.119,-27.332,-126.331,-23.455,-22.730,-37.133,-75.953,-23.088,-23.049,-22.443,-56.704
1654038000,-23.361,-21.268,-27.511,-125.684,-23.385,-22.841,-36.476,-75.881,-23.082,-22.960,-22.808,-56.376
1654041600,-23.249,-21.398,-27.650,-125.036,-23.327,-22.931,-35.903,-75.799,-23.076,-22.899,-23.107,-56.063
1654045200,-23.158,-21.515,-27.764,-124.388,-23.280,-23.004,-35.400,-75.710,-23.070,-22.856,-23.360,-55.765
1654048800,-23.084,-21.624,-27.859,-123.740,-23.240,-23.066,-34.952,-75.612,-23.065,-22.825,-23.581,-55.479
1654052400,-23.024,-21.725,-27.941,-123.092,-23.207,-23.120,-34.550,-75.508,-23.059,-22.804,-23.779,-55.204
1654056000,-22.975,-21.820,-28.014,-122.443,-23.178,-23.166,-34.187,-75.397,-23.054,-22.789,-23.959,-54.941
1654059600,-22.976,-21.946,-28.149,-122.090,-23.181,-23.235,-33.917,-75.466,-23.061,-22.792,-24.136,-54.734
1654063200,-23.034,-22.114,-28.364,-122.109,-23.223,-23.336,-33.749,-75.762,-23.082,-22.813,-24.317,-54.595
1654066800,-23.162,-22.341,-28.690,-122.611,-23.311,-23.480,-33.688,-76.357,-23.121,-22.853,-24.512,-54.535
1654070400,-23.359,-22.624,-29.119,-123.591,-23.446,-23.668,-33.744,-77.242,-23.178,-22.915,-24.719,-54.556
1654074000,-23.589,-22.932,-29.593,-124.828,-23.608,-23.876,-33.870,-78.267,-23.244,-22.989,-24.926,-54.619
1654077600,-23.860,-23.275,-30.130,-126.335,-23.799,-24.112,-34.064,-79.474,-23.321,-23.075,-25.139,-54.729
1654081200,-24.115,-23.601,-30.634,-127.715,-23.980,-24.337,-34.249,-80.602,-23.393,-23.160,-25.341,-54.824
1654084800,-24.382,-23.936,-31.149,-129.153,-24.171,-24.572,-34.455,-81.766,-23.469,-23.248,-25.552,-54.931
1654088400,-24.608,-24.232,-31.588,-130.308,-24.336,-24.779,-34.615,-82.734,-23.534,-23.329,-25.740,-54.997
1654092000,-24.778,-24.470,-31.923,-131.080,-24.465,-24.947,-34.709,-83.435,-23.586,-23.396,-25.903,-55.007
1654095600,-24.944,-24.703,-32.245,-131.811,-24.591,-25.111,-34.802,-83.987,-23.637,-23.464,-26.059,-55.015
1654099200,-25.083,-24.908,-32.515,-132.352,-24.699,-25.255,-34.865,-84.423,-23.681,-23.526,-26.202,-54.996
1654102800,-25.168,-25.058,-32.689,-132.549,-24.772,-25.361,-34.865,-84.648,-23.712,-23.576,-26.324,-54.929
1654106400,-25.175,-25.127,-32.719,-132.260,-24.794,-25.409,-34.769,-84.573,-23.725,-23.608,-26.415,-54.786
1654110000,-25.159,-25.168,-32.711,-131.803,-24.798,-25.436,-34.650,-84.396,-23.731,-23.634,-26.496,-54.624
1654113600,-25.143,-25.206,-32.700,-131.317,-24.799,-25.459,-34.533,-84.202,-23.737,-23.660,-26.574,-54.464
1654117200,-21.600,-21.027,-27.623,-147.072,-21.000,-22.748,-42.014,-89.883,-23.745,-23.688,-21.955,-70.996
1654120800,-21.551,-21.159,-27.884,-146.410,-21.208,-22.877,-41.063,-89.903,-23.603,-23.532,-22.482,-70.469
1654124400,-21.519,-21.271,-28.076,-145.752,-21.357,-22.972,-40.254,-89.912,-23.502,-23.421,-22.897,-69.967
1654128000,-21.506,-21.378,-28.239,-145.156,-21.475,-23.053,-39.549,-89.953,-23.429,-23.342,-23.236,-69.493
1654131600,-21.500,-21.473,-28.370,-144.537,-21.569,-23.117,-38.914,-89.972,-23.371,-23.281,-23.523,-69.031
1654135200,-21.507,-21.569,-28.501,-143.973,-21.652,-23.177,-38.364,-90.019,-23.326,-23.237,-23.776,-68.603
1654138800,-21.508,-21.648,-28.589,-143.309,-21.717,-23.220,-37.838,-89.997,-23.285,-23.199,-23.998,-68.162
1654142400,-21.515,-21.725,-28.670,-142.655,-21.776,-23.259,-37.362,-89.977,-23.251,-23.171,-24.200,-67.736
1654146000,-21.553,-21.851,-28.864,-142.409,-21.864,-23.334,-37.016,-90.209,-23.236,-23.161,-24.409,-67.419
1654149600,-20.333,-22.015,-29.144,-142.513,-21.976,-23.438,-36.798,-90.649,-23.238,-23.172,-24.620,-67.198
1654153200,-15.552,-22.238,-29.561,-143.146,-22.127,-23.590,-36.744,-91.409,-23.263,-23.206,-24.842,-67.112
1654156800,-11.486,-22.470,-30.092,-144.204,-22.310,-23.781,-36.827,-92.422,-23.307,-23.262,-25.076,-67.137
