timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1654034400,0.2620,0.2735,0.2465,0.1331,0.2622,0.2656,0.2175,0.1626,0.2639,0.2641,0.2669,0.1830
1654038000,0.2627,0.2727,0.2459,0.1334,0.2626,0.2650,0.2191,0.1626,0.2639,0.2645,0.2652,0.1834
1654041600,0.2632,0.2720,0.2454,0.1336,0.2628,0.2646,0.2206,0.1627,0.2640,0.2648,0.2638,0.1838
1654045200,0.2636,0.2715,0.2450,0.1339,0.2630,0.2643,0.2218,0.1628,0.2640,0.2650,0.2627,0.1842
1654048800,0.2639,0.2709,0.2446,0.1342,0.2632,0.2640,0.2230,0.1629,0.2640,0.2651,0.2617,0.1846
1654052400,0.2642,0.2704,0.2443,0.1345,0.2634,0.2638,0.2241,0.1630,0.2640,0.2652,0.2608,0.1850
1654056000,0.2644,0.2699,0.2441,0.1347,0.2635,0.2636,0.2250,0.1631,0.2641,0.2653,0.2600,0.1853
1654059600,0.2644,0.2693,0.2436,0.1349,0.2635,0.2632,0.2258,0.1630,0.2640,0.2653,0.2592,0.1856
1654063200,0.2642,0.2685,0.2429,0.1349,0.2633,0.2628,0.2262,0.1627,0.2639,0.2652,0.2585,0.1858
1654066800,0.2636,0.2674,0.2417,0.1347,0.2629,0.2621,0.2264,0.1622,0.2638,0.2650,0.2576,0.1859
1654070400,0.2627,0.2661,0.2403,0.1342,0.2623,0.2613,0.2262,0.1615,0.2635,0.2647,0.2568,0.1859
1654074000,0.2616,0.2646,0.2387,0.1337,0.2616,0.2604,0.2259,0.1606,0.2632,0.2644,0.2559,0.1858
1654077600,0.2604,0.2631,0.2370,0.1331,0.2607,0.2593,0.2254,0.1597,0.2629,0.2640,0.2550,0.1856
1654081200,0.2593,0.2616,0.2354,0.1326,0.2599,0.2584,0.2249,0.1588,0.2625,0.2636,0.2542,0.1855
1654084800,0.2582,0.2601,0.2338,0.1320,0.2591,0.2574,0.2243,0.1579,0.2622,0.2632,0.2534,0.1853
1654088400,0.2572,0.2588,0.2324,0.1315,0.2584,0.2565,0.2239,0.1571,0.2619,0.2628,0.2526,0.1852
1654092000,0.2565,0.2578,0.2314,0.1313,0.2578,0.2558,0.2236,0.1566,0.2617,0.2625,0.2520,0.1852
1654095600,0.2558,0.2568,0.2305,0.1310,0.2573,0.2551,0.2234,0.1562,0.2614,0.2622,0.2513,0.1852
1654099200,0.2553,0.2560,0.2297,0.1308,0.2568,0.2546,0.2232,0.1559,0.2612,0.2619,0.2508,0.1852
1654102800,0.2549,0.2554,0.2292,0.1307,0.2565,0.2541,0.2232,0.1557,0.2611,0.2617,0.2503,0.1853
1654106400,0.2549,0.2551,0.2291,0.1308,0.2565,0.2539,0.2235,0.1558,0.2610,0.2616,0.2500,0.1855
1654110000,0.2549,0.2549,0.2291,0.1310,0.2564,0.2538,0.2238,0.1559,0.2610,0.2614,0.2497,0.1858
1654113600,0.2550,0.2548,0.2292,0.1312,0.2564,0.2537,0.2241,0.1560,0.2610,0.2613,0.2494,0.1860
1654117200,0.2710,0.2739,0.2455,0.1256,0.2741,0.2655,0.2068,0.1520,0.2610,0.2612,0.2693,0.1670
1654120800,0.2713,0.2733,0.2445,0.1258,0.2730,0.2649,0.2088,0.1520,0.2616,0.2619,0.2667,0.1675
1654124400,0.2714,0.2727,0.2439,0.1261,0.2723,0.2644,0.2105,0.1520,0.2620,0.2624,0.2648,0.1680
1654128000,0.2715,0.2721,0.2433,0.1263,0.2717,0.2641,0.2120,0.1520,0.2624,0.2628,0.2632,0.1685
1654131600,0.2715,0.2717,0.2428,0.1265,0.2712,0.2638,0.2134,0.1520,0.2626,0.2630,0.2619,0.1689
1654135200,0.2715,0.2712,0.2424,0.1266,0.2708,0.2635,0.2147,0.1519,0.2628,0.2632,0.2608,0.1694
1654138800,0.2715,0.2708,0.2421,0.1269,0.2704,0.2633,0.2159,0.1520,0.2630,0.2634,0.2598,0.1698
1654142400,0.2715,0.2704,0.2418,0.1271,0.2702,0.2631,0.2170,0.1520,0.2632,0.2635,0.2590,0.1702
1654146000,0.2713,0.2698,0.2411,0.1272,0.2697,0.2628,0.2178,0.1518,0.2632,0.2636,0.2581,0.1706
1654149600,0.2776,0.2690,0.2402,0.1271,0.2692,0.2623,0.2184,0.1515,0.2632,0.2635,0.2572,0.1708
1654153200,0.3080,0.2679,0.2388,0.1269,0.2684,0.2616,0.2185,0.1510,0.2631,0.2634,0.2563,0.1709
1654156800,0.3441,0.2668,0.2371,0.1266,0.2676,0.2608,0.2183,0.1504,0.2629,0.2631,0.2553,0.1709
