timestamp,air_humidity
1630447200,93.35
1630450800,92.95
1630454400,92.85
1630458000,92.55
1630461600,92.2
1630465200,91.95
1630468800,91.75
1630472400,91.4
1630476000,85.5
1630479600,79.65
1630483200,76.15
1630486800,71.2
1630490400,66.55
1630494000,63.65
1630497600,58.9
1630501200,55.8
1630504800,57.1
1630508400,57.65
1630512000,59.35
1630515600,66.45
1630519200,79.9
1630522800,86.6
1630526400,89.2
1630530000,88.6
1630533600,89.75
1630537200,90.3
1630540800,91.5
1630544400,92.1
1630548000,92.1
1630551600,91.9
1630555200,91.8
