timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1630450800,-48.897,-23.725,-32.012,-506.552,-21.041,-31.677,-23.102,-23.390,-21.329,-32.012,-21.041,-49.232
1630454400,-50.235,-23.102,-32.012,-503.525,-21.041,-32.300,-23.102,-23.390,-21.329,-32.012,-21.041,-48.897
1630458000,-51.191,-23.390,-32.300,-500.904,-21.041,-32.922,-23.102,-23.725,-21.329,-32.012,-21.041,-48.563
1630461600,-52.528,-23.390,-32.300,-499.412,-21.041,-33.544,-23.102,-23.725,-21.329,-32.012,-21.041,-48.563
1630465200,-53.483,-23.390,-32.300,-496.021,-21.041,-33.832,-23.102,-24.013,-21.329,-32.012,-21.041,-48.228
1630468800,-54.773,-23.390,-32.587,-494.935,-21.041,-34.454,-23.102,-24.013,-21.329,-32.012,-21.041,-48.228
1630472400,-56.110,-23.390,-32.587,-493.035,-21.329,-34.789,-23.102,-24.013,-21.329,-32.012,-21.041,-48.228
1630476000,-57.399,-23.390,-32.922,-491.542,-21.329,-35.459,-23.102,-24.301,-21.329,-32.300,-21.329,-48.228
1630479600,-58.735,-23.725,-33.209,-490.772,-21.329,-35.794,-23.102,-24.301,-21.616,-32.300,-21.329,-48.228
1630483200,-60.167,-23.725,-33.544,-490.048,-21.616,-36.416,-23.102,-24.636,-21.616,-32.587,-21.329,-48.563
1630486800,-61.551,-24.013,-33.544,-489.278,-21.616,-36.751,-23.390,-24.923,-21.616,-32.587,-21.616,-48.563
1630490400,-62.982,-24.013,-33.832,-490.410,-21.616,-37.421,-23.390,-25.259,-21.616,-32.922,-21.616,-48.563
1630494000,-64.366,-24.301,-33.832,-491.542,-21.616,-38.043,-23.390,-25.259,-21.904,-32.922,-21.616,-48.563
1630497600,-66.130,-24.013,-34.167,-493.804,-21.904,-38.713,-23.390,-25.546,-21.904,-32.922,-21.616,-48.563
1630501200,-67.513,-24.013,-34.454,-496.021,-21.904,-39.048,-23.390,-25.834,-21.904,-32.587,-21.616,-48.563
1630504800,-69.277,-24.301,-34.454,-499.050,-21.904,-40.005,-23.390,-25.834,-21.616,-32.922,-21.616,-48.563
1630508400,-71.041,-24.301,-34.789,-501.672,-21.904,-40.339,-23.390,-26.169,-21.904,-32.587,-21.616,-48.563
1630512000,-73.138,-24.301,-34.789,-503.932,-22.192,-41.344,-23.390,-26.169,-21.616,-32.587,-21.616,-48.228
1630515600,-75.568,-24.301,-35.124,-504.293,-22.192,-42.300,-23.390,-26.457,-21.616,-32.587,-21.616,-48.228
1630519200,-77.711,-24.301,-35.124,-503.525,-22.192,-42.970,-23.390,-26.457,-21.616,-32.300,-21.329,-48.228
1630522800,-80.140,-24.301,-35.124,-502.034,-22.192,-43.974,-23.390,-26.457,-21.616,-32.300,-21.329,-48.228
1630526400,-82.234,-24.301,-35.459,-500.542,-22.192,-44.930,-23.390,-26.457,-21.329,-32.300,-21.329,-48.228
1630530000,-84.709,-24.301,-35.794,-499.050,-22.192,-45.599,-23.102,-26.792,-21.329,-32.012,-21.329,-48.228
1630533600,-87.136,-24.301,-35.794,-497.151,-22.192,-46.603,-23.102,-26.792,-21.329,-32.012,-21.329,-47.894
1630537200,-89.228,-24.301,-36.081,-495.297,-22.192,-47.272,-23.102,-26.792,-21.329,-32.012,-21.329,-48.228
1630540800,-91.368,-24.301,-36.416,-493.035,-22.192,-48.563,-23.102,-27.080,-21.329,-32.012,-21.329,-48.228
1630544400,-93.460,-24.013,-36.416,-491.904,-22.479,-49.566,-23.102,-27.367,-21.329,-32.300,-21.329,-48.228
1630548000,-95.552,-24.301,-36.751,-490.410,-22.479,-50.570,-22.767,-27.367,-21.329,-32.300,-21.329,-48.563
1630551600,-97.310,-24.301,-36.751,-488.916,-22.479,-51.191,-22.767,-27.702,-21.329,-32.300,-21.329,-48.563
1630555200,-99.020,-24.636,-37.086,-487.422,-22.479,-52.528,-22.767,-27.990,-21.329,-32.300,-21.041,-48.563
