timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1655463600,0.1969,0.2121,0.2168,0.3123,0.3028,0.2925,0.1392,0.1398,0.3854,0.3050,0.1648,0.1172
1655467200,0.1971,0.2126,0.2142,0.3084,0.2980,0.2882,0.1397,0.1403,0.4066,0.3030,0.1642,0.1170
1655470800,0.1969,0.2129,0.2114,0.3051,0.2943,0.2845,0.1401,0.1407,0.4153,0.3039,0.1635,0.1168
1655474400,0.1969,0.2132,0.2088,0.3020,0.2901,0.2812,0.1405,0.1410,0.4194,0.3069,0.1628,0.1165
1655478000,0.1972,0.2135,0.2068,0.2992,0.2879,0.2785,0.1409,0.1414,0.4223,0.3114,0.1624,0.1164
1655481600,0.1975,0.2138,0.2047,0.2968,0.2875,0.2763,0.1414,0.1418,0.4245,0.3162,0.1622,0.1162
1655485200,0.1982,0.2143,0.2037,0.2948,0.2887,0.2747,0.1420,0.1423,0.4232,0.3213,0.1624,0.1161
1655488800,0.1995,0.2149,0.2043,0.2933,0.2917,0.2740,0.1428,0.1429,0.4208,0.3261,0.1630,0.1161
1655492400,0.2007,0.2156,0.2051,0.2922,0.2949,0.2737,0.1436,0.1435,0.4180,0.3299,0.1638,0.1161
1655496000,0.2020,0.2162,0.2059,0.2911,0.2980,0.2736,0.1444,0.1442,0.4117,0.3326,0.1646,0.1162
1655499600,0.2032,0.2167,0.2066,0.2901,0.3007,0.2738,0.1453,0.1449,0.4031,0.3339,0.1655,0.1162
1655503200,0.2044,0.2173,0.2074,0.2892,0.3029,0.2741,0.1461,0.1455,0.3947,0.3341,0.1665,0.1162
1655506800,0.2056,0.2178,0.2081,0.2884,0.3047,0.2746,0.1469,0.1462,0.3872,0.3336,0.1675,0.1162
1655510400,0.2068,0.2183,0.2088,0.2875,0.3059,0.2752,0.1478,0.1469,0.3806,0.3326,0.1685,0.1162
1655514000,0.2080,0.2188,0.2095,0.2867,0.3068,0.2758,0.1486,0.1477,0.3750,0.3313,0.1696,0.1162
1655517600,0.2091,0.2192,0.2102,0.2860,0.3073,0.2764,0.1495,0.1484,0.3700,0.3299,0.1708,0.1162
1655521200,0.2103,0.2196,0.2109,0.2852,0.3076,0.2770,0.1503,0.1492,0.3657,0.3284,0.1720,0.1162
1655524800,0.2114,0.2200,0.2115,0.2845,0.3077,0.2775,0.1512,0.1501,0.3618,0.3269,0.1732,0.1162
