timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1655463600,-84.029,-68.383,-65.318,-23.761,-25.958,-28.711,-242.409,-251.297,-7.766,-22.102,-147.607,-459.115
1655467200,-80.826,-66.852,-67.122,-25.768,-27.435,-31.190,-233.638,-244.199,-6.935,-20.596,-148.233,-464.268
1655470800,-78.515,-65.962,-68.776,-27.836,-27.374,-33.109,-225.882,-237.620,-6.797,-19.180,-148.996,-469.691
1655474400,-76.859,-65.474,-70.222,-29.545,-26.561,-34.470,-218.939,-231.618,-6.830,-18.158,-149.210,-474.909
1655478000,-75.390,-65.163,-71.210,-30.865,-25.492,-35.158,-212.138,-226.761,-7.305,-17.510,-147.743,-479.125
1655481600,-73.906,-64.891,-71.783,-32.194,-24.575,-35.303,-205.346,-221.654,-7.980,-17.267,-144.723,-482.418
1655485200,-72.334,-64.561,-71.832,-33.242,-23.829,-34.984,-198.317,-215.710,-9.771,-17.528,-139.925,-484.584
1655488800,-70.120,-63.996,-71.273,-33.856,-23.455,-34.259,-190.412,-208.482,-11.551,-18.168,-132.769,-484.988
1655492400,-67.898,-63.419,-70.646,-34.447,-23.457,-33.660,-182.735,-200.990,-12.950,-18.951,-125.419,-485.133
1655496000,-65.766,-62.846,-70.035,-35.043,-23.655,-33.266,-175.440,-193.535,-14.118,-19.745,-118.514,-485.273
1655499600,-63.756,-62.256,-69.453,-35.629,-23.965,-33.073,-168.485,-186.212,-15.090,-20.492,-112.270,-485.396
1655503200,-61.889,-61.651,-68.899,-36.203,-24.316,-32.998,-161.847,-179.183,-15.961,-21.199,-106.699,-485.490
1655506800,-60.185,-61.037,-68.377,-36.766,-24.691,-33.011,-155.530,-172.543,-16.754,-21.869,-101.802,-485.569
1655510400,-58.648,-60.421,-67.887,-37.319,-25.076,-33.089,-149.531,-166.346,-17.487,-22.506,-97.529,-485.635
1655514000,-57.275,-59.810,-67.428,-37.860,-25.466,-33.215,-143.848,-160.621,-18.170,-23.112,-93.819,-485.687
1655517600,-56.058,-59.212,-66.998,-38.391,-25.856,-33.376,-138.480,-155.375,-18.812,-23.692,-90.604,-485.726
1655521200,-54.983,-58.632,-66.596,-38.911,-26.243,-33.564,-133.425,-150.595,-19.419,-24.247,-87.821,-485.753
1655524800,-54.051,-58.085,-66.230,-39.438,-26.640,-33.784,-128.740,-146.341,-20.006,-24.795,-85.473,-485.848
1655528400,-53.341,-57.650,-65.992,-40.103,-27.138,-34.137,-124.878,-143.209,-20.645,-25.439,-83.957,-486.611
1655532000,-52.831,-57.329,-65.888,-40.909,-27.734,-34.621,-121.822,-141.251,-21.352,-26.191,-83.186,-488.043
1655535600,-52.606,-57.227,-66.049,-42.056,-28.566,-35.387,-120.153,-141.326,-22.255,-27.219,-83.745,-490.990
1655539200,-52.563,-57.270,-66.391,-43.402,-29.522,-36.331,-119.332,-142.873,-23.299,-28.418,-85.113,-494.771
