timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1655463600,-87.133,-69.801,-65.158,-21.668,-23.939,-26.589,-255.595,-252.970,-13.220,-23.277,-149.702,-456.252
1655467200,-86.014,-69.126,-67.022,-22.612,-25.188,-27.894,-251.408,-247.837,-10.660,-23.897,-150.309,-458.656
1655470800,-85.508,-68.573,-68.983,-23.450,-26.267,-29.078,-247.593,-243.184,-9.154,-24.160,-151.166,-461.224
1655474400,-84.856,-68.106,-70.890,-24.212,-27.458,-30.166,-243.932,-238.839,-8.801,-23.935,-152.012,-463.719
1655478000,-83.882,-67.656,-72.342,-24.890,-28.103,-31.080,-240.090,-234.545,-8.618,-23.311,-152.265,-465.718
1655481600,-82.774,-67.200,-73.338,-25.497,-28.378,-31.848,-236.060,-230.241,-8.528,-22.579,-151.908,-467.250
1655485200,-81.540,-66.703,-73.752,-26.131,-28.280,-32.435,-231.711,-225.755,-8.390,-21.817,-150.764,-468.203
1655488800,-79.805,-66.062,-73.270,-26.529,-27.726,-32.771,-226.728,-220.765,-8.282,-20.964,-148.372,-468.230
1655492400,-78.111,-65.462,-72.650,-26.873,-27.047,-32.965,-221.729,-215.734,-8.255,-20.203,-145.750,-468.130
1655496000,-76.525,-64.911,-72.032,-27.200,-26.366,-33.075,-216.858,-210.715,-8.342,-19.591,-143.091,-468.037
1655499600,-75.034,-64.401,-71.416,-27.515,-25.715,-33.106,-212.111,-205.706,-8.536,-19.089,-140.390,-467.944
1655503200,-73.626,-63.927,-70.801,-27.819,-25.122,-33.064,-207.482,-200.696,-8.776,-18.718,-137.633,-467.845
1655506800,-72.296,-63.485,-70.196,-28.115,-24.603,-32.961,-202.978,-195.694,-9.178,-18.473,-134.830,-467.746
1655510400,-71.036,-63.072,-69.606,-28.404,-24.174,-32.811,-198.599,-190.712,-9.892,-18.375,-131.985,-467.646
1655514000,-69.838,-62.683,-69.031,-28.686,-23.844,-32.629,-194.342,-185.768,-10.672,-18.418,-129.108,-467.547
1655517600,-68.693,-62.315,-68.475,-28.962,-23.608,-32.432,-190.204,-180.882,-11.427,-18.561,-126.212,-467.448
1655521200,-67.595,-61.965,-67.938,-29.233,-23.457,-32.233,-186.182,-176.077,-12.135,-18.772,-123.313,-467.349
1655524800,-66.563,-61.639,-67.441,-29.505,-23.382,-32.055,-182.310,-171.418,-12.789,-19.031,-120.486,-467.293
1655528400,-65.753,-61.402,-67.133,-29.838,-23.421,-31.984,-178.862,-167.256,-13.408,-19.359,-118.170,-467.600
1655532000,-65.151,-61.252,-67.003,-30.230,-23.563,-32.023,-175.846,-163.685,-14.006,-19.748,-116.383,-468.272
1655535600,-64.953,-61.278,-67.242,-30.761,-23.872,-32.278,-173.657,-161.177,-14.624,-20.258,-115.731,-469.762
1655539200,-64.973,-61.404,-67.696,-31.375,-24.294,-32.663,-172.001,-159.529,-15.256,-20.845,-115.755,-471.709
1655542800,-65.183,-61.622,-68.370,-32.086,-24.821,-33.168,-170.841,-158.559,-14.968,-21.524,-116.445,-474.124
1655546400,-65.660,-61.900,-69.212,-32.854,-25.462,-33.758,-170.066,-158.337,-10.805,-22.188,-117.582,-476.812
