timestamp,air_temperature
1655463600,31.71
1655467200,31.76
1655470800,32.005
1655474400,32.175
1655478000,31.8
1655481600,31.38
1655485200,30.225
1655488800,28.06
1655492400,23.27
1655496000,20.615
1655499600,20.745
1655503200,20.8
1655506800,20.905
1655510400,19.275
1655514000,17.775
1655517600,18.25
1655521200,17.405
1655524800,17.965
1655528400,21.255
1655532000,24.53
1655535600,27.49
1655539200,28.36
1655542800,29.25
1655546400,29.66
1655550000,29.99
1655553600,30.55
1655557200,30.74
1655560800,30.52
1655564400,30.46
1655568000,29.965
1655571600,29.005
1655575200,26.87
1655578800,21.505
1655582400,19.4
1655586000,19.34
1655589600,18.86
1655593200,18.105
1655596800,17.445
1655600400,16.84
1655604000,16.55
1655607600,16.16
1655611200,17.08
1655614800,20.395
1655618400,23.75
1655622000,28.14
1655625600,29.53
1655629200,30.075
1655632800,30.535
1655636400,31
1655640000,31.21
1655643600,31.6
1655647200,31.325
1655650800,30.575
1655654400,29.605
1655658000,28.865
1655661600,26.735
1655665200,22.31
1655668800,19.95
1655672400,20.725
1655676000,20.17
1655679600,19.55
1655683200,20.7
1655686800,21.26
1655690400,20.36
1655694000,19.52
1655697600,21.635
1655701200,25.11
1655704800,27.795
1655708400,30.99
1655712000,32.205
1655715600,32.8
1655719200,33.24
1655722800,33.77
1655726400,34.775
1655730000,35.005
1655733600,35.04
1655737200,34.77
1655740800,33.715
1655744400,32.11
1655748000,29.815
1655751600,28.26
1655755200,27.445
1655758800,26.9
1655762400,26.6
1655766000,26.165
1655769600,25.76
1655773200,25.7
1655776800,25.005
1655780400,23.33
1655784000,22.235
1655787600,24.415
1655791200,28.86
1655794800,30.58
1655798400,31.235
1655802000,32.285
1655805600,33.385
1655809200,34.225
1655812800,35.165
1655816400,36.095
1655820000,36.015
1655823600,35.64
1655827200,34.615
1655830800,32.48
1655834400,30.38
1655838000,29.465
1655841600,28.235
1655845200,26.785
1655848800,27.325
1655852400,25.535
1655856000,21.44
1655859600,19.89
