timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1655463600,0.1562,0.1693,0.1742,0.2596,0.2520,0.2412,0.1091,0.1111,0.2528,0.2533,0.1303,0.0941
1655467200,0.1553,0.1685,0.1719,0.2581,0.2502,0.2393,0.1090,0.1109,0.2686,0.2520,0.1298,0.0940
1655470800,0.1542,0.1677,0.1694,0.2564,0.2483,0.2374,0.1088,0.1107,0.2976,0.2505,0.1294,0.0939
1655474400,0.1534,0.1669,0.1670,0.2548,0.2464,0.2356,0.1086,0.1105,0.3251,0.2491,0.1289,0.0938
1655478000,0.1529,0.1663,0.1650,0.2533,0.2449,0.2341,0.1084,0.1103,0.3432,0.2479,0.1286,0.0938
1655481600,0.1525,0.1659,0.1635,0.2519,0.2436,0.2328,0.1083,0.1102,0.3557,0.2470,0.1283,0.0937
1655485200,0.1523,0.1656,0.1622,0.2508,0.2426,0.2319,0.1083,0.1102,0.3664,0.2464,0.1282,0.0937
1655488800,0.1525,0.1658,0.1622,0.2500,0.2421,0.2315,0.1084,0.1103,0.3742,0.2463,0.1282,0.0937
1655492400,0.1527,0.1659,0.1623,0.2493,0.2418,0.2312,0.1085,0.1104,0.3796,0.2465,0.1283,0.0937
1655496000,0.1529,0.1661,0.1624,0.2488,0.2415,0.2309,0.1085,0.1104,0.3832,0.2470,0.1284,0.0937
1655499600,0.1531,0.1663,0.1625,0.2482,0.2412,0.2306,0.1086,0.1105,0.3866,0.2478,0.1285,0.0937
1655503200,0.1533,0.1665,0.1626,0.2478,0.2410,0.2303,0.1087,0.1106,0.3903,0.2489,0.1286,0.0937
1655506800,0.1535,0.1666,0.1627,0.2474,0.2409,0.2300,0.1088,0.1107,0.3928,0.2504,0.1287,0.0937
1655510400,0.1537,0.1668,0.1628,0.2470,0.2408,0.2297,0.1089,0.1108,0.3948,0.2521,0.1288,0.0937
1655514000,0.1539,0.1670,0.1629,0.2466,0.2408,0.2294,0.1090,0.1108,0.3962,0.2542,0.1289,0.0937
1655517600,0.1541,0.1671,0.1631,0.2463,0.2409,0.2292,0.1091,0.1109,0.3972,0.2565,0.1289,0.0937
1655521200,0.1543,0.1673,0.1632,0.2460,0.2410,0.2289,0.1091,0.1110,0.3981,0.2590,0.1290,0.0937
1655524800,0.1545,0.1674,0.1632,0.2456,0.2412,0.2287,0.1092,0.1111,0.3987,0.2616,0.1291,0.0937
1655528400,0.1546,0.1674,0.1629,0.2452,0.2413,0.2282,0.1093,0.1111,0.3994,0.2642,0.1291,0.0937
1655532000,0.1545,0.1673,0.1621,0.2446,0.2411,0.2276,0.1093,0.1111,0.4002,0.2668,0.1291,0.0937
1655535600,0.1541,0.1668,0.1602,0.2437,0.2403,0.2265,0.1092,0.1110,0.4001,0.2691,0.1288,0.0936
1655539200,0.1535,0.1661,0.1578,0.2425,0.2392,0.2252,0.1090,0.1108,0.3997,0.2712,0.1285,0.0935
1655542800,0.1527,0.1652,0.1548,0.2412,0.2377,0.2236,0.1088,0.1106,0.4019,0.2732,0.1281,0.0935
1655546400,0.1518,0.1642,0.1514,0.2372,0.2361,0.2219,0.1086,0.1103,0.4097,0.2750,0.1276,0.0934
1655550000,0.1509,0.1632,0.1506,0.2334,0.2345,0.2201,0.1084,0.1100,0.4182,0.2768,0.1271,0.0933
1655553600,0.1500,0.1621,0.1497,0.2299,0.2331,0.2184,0.1081,0.1098,0.4243,0.2788,0.1266,0.0932
1655557200,0.1491,0.1611,0.1489,0.2265,0.2320,0.2166,0.1079,0.1095,0.4266,0.2814,0.1261,0.0931
1655560800,0.1483,0.1601,0.1481,0.2238,0.2315,0.2151,0.1077,0.1093,0.4280,0.2843,0.1257,0.0930
1655564400,0.1476,0.1593,0.1475,0.2213,0.2313,0.2137,0.1075,0.1091,0.4291,0.2875,0.1254,0.0929
1655568000,0.1471,0.1586,0.1470,0.2185,0.2320,0.2125,0.1073,0.1089,0.4298,0.2908,0.1251,0.0928
1655571600,0.1467,0.1582,0.1467,0.2169,0.2335,0.2118,0.1073,0.1088,0.4305,0.2942,0.1249,0.0928
1655575200,0.1467,0.1582,0.1466,0.2170,0.2362,0.2115,0.1073,0.1088,0.4308,0.2978,0.1250,0.0928
1655578800,0.1467,0.1583,0.1467,0.2175,0.2394,0.2115,0.1074,0.1089,0.4311,0.3012,0.1250,0.0928
1655582400,0.1468,0.1584,0.1467,0.2180,0.2428,0.2115,0.1074,0.1089,0.4313,0.3046,0.1251,0.0928
1655586000,0.1468,0.1584,0.1467,0.2181,0.2461,0.2114,0.1074,0.1090,0.4312,0.3077,0.1251,0.0928
1655589600,0.1468,0.1584,0.1468,0.2182,0.2496,0.2114,0.1075,0.1090,0.4310,0.3105,0.1252,0.0928
1655593200,0.1468,0.1585,0.1468,0.2183,0.2531,0.2114,0.1075,0.1090,0.4307,0.3132,0.1252,0.0928
1655596800,0.1468,0.1585,0.1468,0.2184,0.2565,0.2114,0.1076,0.1091,0.4304,0.3156,0.1253,0.0928
1655600400,0.1468,0.1586,0.1468,0.2185,0.2599,0.2115,0.1076,0.1091,0.4300,0.3179,0.1253,0.0928
1655604000,0.1469,0.1586,0.1468,0.2185,0.2632,0.2117,0.1077,0.1091,0.4296,0.3199,0.1254,0.0928
1655607600,0.1469,0.1586,0.1468,0.2185,0.2664,0.2119,0.1077,0.1092,0.4292,0.3217,0.1255,0.0928
1655611200,0.1469,0.1587,0.1468,0.2186,0.2694,0.2121,0.1077,0.1092,0.4293,0.3236,0.1255,0.0928
