timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1655463600,0.2391,0.2536,0.2587,0.3431,0.3349,0.3261,0.1792,0.1795,0.4032,0.3378,0.2060,0.1541
1655467200,0.2400,0.2545,0.2572,0.3388,0.3303,0.3216,0.1801,0.1803,0.4203,0.3368,0.2056,0.1539
1655470800,0.2409,0.2552,0.2557,0.3352,0.3259,0.3178,0.1810,0.1811,0.4283,0.3378,0.2050,0.1536
1655474400,0.2417,0.2558,0.2544,0.3322,0.3231,0.3145,0.1818,0.1819,0.4324,0.3407,0.2045,0.1533
1655478000,0.2425,0.2563,0.2530,0.3295,0.3223,0.3119,0.1827,0.1827,0.4351,0.3445,0.2043,0.1531
1655481600,0.2434,0.2568,0.2521,0.3267,0.3229,0.3099,0.1836,0.1836,0.4354,0.3483,0.2043,0.1529
1655485200,0.2445,0.2573,0.2519,0.3246,0.3246,0.3086,0.1846,0.1845,0.4359,0.3522,0.2048,0.1528
1655488800,0.2460,0.2580,0.2522,0.3234,0.3276,0.3081,0.1859,0.1856,0.4350,0.3561,0.2058,0.1528
1655492400,0.2474,0.2586,0.2527,0.3222,0.3308,0.3081,0.1871,0.1867,0.4323,0.3591,0.2070,0.1528
1655496000,0.2489,0.2591,0.2531,0.3212,0.3335,0.3083,0.1883,0.1879,0.4296,0.3612,0.2082,0.1528
1655499600,0.2502,0.2596,0.2536,0.3201,0.3358,0.3087,0.1896,0.1892,0.4234,0.3623,0.2095,0.1528
1655503200,0.2516,0.2601,0.2541,0.3191,0.3376,0.3093,0.1908,0.1904,0.4155,0.3624,0.2110,0.1528
1655506800,0.2529,0.2606,0.2545,0.3182,0.3388,0.3100,0.1921,0.1918,0.4080,0.3616,0.2124,0.1528
1655510400,0.2542,0.2610,0.2550,0.3173,0.3396,0.3107,0.1933,0.1931,0.4015,0.3604,0.2140,0.1528
1655514000,0.2555,0.2614,0.2555,0.3164,0.3400,0.3114,0.1945,0.1945,0.3958,0.3589,0.2156,0.1529
1655517600,0.2567,0.2618,0.2559,0.3155,0.3401,0.3120,0.1958,0.1959,0.3909,0.3573,0.2173,0.1529
1655521200,0.2580,0.2622,0.2564,0.3147,0.3399,0.3124,0.1970,0.1974,0.3867,0.3556,0.2189,0.1529
1655524800,0.2592,0.2626,0.2568,0.3138,0.3396,0.3128,0.1982,0.1988,0.3829,0.3539,0.2206,0.1529
1655528400,0.2602,0.2629,0.2571,0.3128,0.3389,0.3128,0.1994,0.2001,0.3794,0.3521,0.2220,0.1528
1655532000,0.2610,0.2631,0.2573,0.3116,0.3379,0.3126,0.2004,0.2012,0.3761,0.3500,0.2229,0.1528
1655535600,0.2615,0.2632,0.2573,0.3101,0.3365,0.3117,0.2011,0.2020,0.3726,0.3475,0.2229,0.1526
1655539200,0.2617,0.2631,0.2572,0.3083,0.3346,0.3105,0.2016,0.2024,0.3691,0.3446,0.2223,0.1524
1655542800,0.2618,0.2630,0.2569,0.3063,0.3325,0.3091,0.2020,0.2025,0.3753,0.3415,0.2217,0.1521
1655546400,0.2615,0.2628,0.2564,0.3042,0.3301,0.3075,0.2022,0.2024,0.4129,0.3387,0.2208,0.1519
1655550000,0.2612,0.2626,0.2560,0.3020,0.3266,0.3058,0.2024,0.2020,0.4344,0.3382,0.2197,0.1516
1655553600,0.2607,0.2623,0.2553,0.3000,0.3243,0.3041,0.2025,0.2015,0.4428,0.3414,0.2186,0.1513
1655557200,0.2600,0.2620,0.2546,0.2979,0.3233,0.3023,0.2025,0.2009,0.4465,0.3464,0.2175,0.1510
1655560800,0.2595,0.2618,0.2538,0.2958,0.3240,0.3008,0.2027,0.2003,0.4482,0.3521,0.2167,0.1508
1655564400,0.2589,0.2615,0.2531,0.2938,0.3258,0.2996,0.2028,0.1999,0.4486,0.3573,0.2160,0.1506
1655568000,0.2586,0.2613,0.2525,0.2923,0.3286,0.2990,0.2031,0.1997,0.4481,0.3617,0.2158,0.1504
1655571600,0.2585,0.2612,0.2521,0.2912,0.3320,0.2991,0.2036,0.1996,0.4476,0.3653,0.2161,0.1503
1655575200,0.2589,0.2613,0.2520,0.2907,0.3364,0.3001,0.2043,0.1998,0.4473,0.3689,0.2171,0.1503
