timestamp,air_humidity
1655463600,56.3
1655467200,54.95
1655470800,53.1
1655474400,51.35
1655478000,49.55
1655481600,48.25
1655485200,49.7
1655488800,56.5
1655492400,71.25
1655496000,81.85
1655499600,81
1655503200,81.4
1655506800,82.05
1655510400,84.7
1655514000,89.35
1655517600,89.2
1655521200,90.05
1655524800,89.6
1655528400,80.9
1655532000,71.1
1655535600,61.35
1655539200,58.5
1655542800,53.85
1655546400,53.1
1655550000,50.65
1655553600,47.05
1655557200,45.1
1655560800,44.65
1655564400,44.25
1655568000,44.45
1655571600,44.9
1655575200,49.3
1655578800,63.35
1655582400,71.85
1655586000,71.05
1655589600,70.6
1655593200,70.65
1655596800,71
1655600400,71
1655604000,70.3
1655607600,69.45
1655611200,68
1655614800,61.7
1655618400,55.85
1655622000,49.25
1655625600,46.75
1655629200,45.95
1655632800,46.1
1655636400,45.7
1655640000,46.35
1655643600,46
1655647200,46.1
1655650800,48.4
1655654400,50.9
1655658000,53.3
1655661600,57.45
1655665200,67.55
1655668800,78.8
1655672400,79.7
1655676000,80.05
1655679600,82.35
1655683200,77.2
1655686800,73.55
1655690400,74.5
1655694000,76.45
1655697600,73.15
1655701200,66.4
1655704800,61.9
1655708400,49.7
1655712000,44.2
1655715600,41.65
1655719200,39.7
1655722800,39.4
1655726400,37.5
1655730000,35.9
1655733600,35.15
1655737200,35.15
1655740800,36.9
1655744400,37.6
1655748000,37.75
1655751600,40.15
1655755200,42.95
1655758800,44.15
1655762400,44.85
1655766000,46.2
1655769600,48.15
1655773200,49
1655776800,49.9
1655780400,52.65
1655784000,58.65
1655787600,61.8
1655791200,52.3
1655794800,46.35
1655798400,45.4
1655802000,44.65
1655805600,43.3
1655809200,41
1655812800,38.75
1655816400,36.7
1655820000,36.35
1655823600,38.05
1655827200,41.2
1655830800,44.95
1655834400,44.3
1655838000,46.15
1655841600,49
1655845200,52.05
1655848800,53.95
1655852400,58.4
1655856000,70.5
1655859600,76.35
1655863200,74.1
1655866800,68.6
1655870400,64.5
1655874000,69.2
1655877600,65.25
1655881200,57.25
1655884800,48.85
1655888400,43.7
1655892000,42.7
1655895600,40.35
1655899200,41.8
1655902800,42.5
1655906400,44.7
1655910000,49.5
1655913600,57
1655917200,61.2
1655920800,64.9
1655924400,77.9
1655928000,77.9
1655931600,69.9
1655935200,82.45
1655938800,78.35
1655942400,79.55
1655946000,80.5
1655949600,84.3
1655953200,86
1655956800,88.1
1655960400,87.1
1655964000,72.6
1655967600,67.6
1655971200,62.2
1655974800,57
1655978400,51
1655982000,46.5
1655985600,48.6
1655989200,57.2
1655992800,57.4
1655996400,60.8
1656000000,53.4
1656003600,52.3
1656007200,54.8
1656010800,58.9
1656014400,67.3
1656018000,76.7
1656021600,80.9
1656025200,82.15
1656028800,75
1656032400,72.6
1656036000,70.7
1656039600,75.8
1656043200,77.6
1656046800,71.7
1656050400,66.1
1656054000,56.6
1656057600,54
1656061200,50.4
1656064800,45.7
1656068400,44.8
1656072000,41.1
1656075600,38.8
1656079200,35.8
1656082800,34.7
1656086400,36.4
1656090000,33.6
1656093600,36.9
1656097200,47.6
1656100800,48.8
1656104400,54.3
1656108000,56.65
1656111600,60.9
1656115200,65.45
1656118800,70.3
1656122400,74.7
1656126000,80.3
1656129600,82.9
1656133200,83.4
1656136800,69.8
1656140400,63.4
1656144000,55.4
1656147600,49.5
1656151200,46.65
1656154800,43.8
1656158400,42.6
1656162000,40
1656165600,37.6
1656169200,35
1656172800,32.6
1656176400,32.3
1656180000,33.4
1656183600,39.6
1656187200,44.4
1656190800,44.4
1656194400,45.65
1656198000,50.15
1656201600,57
1656205200,61.1
1656208800,64.3
1656212400,68.2
1656216000,70.2
1656219600,64.2
1656223200,57.9
1656226800,52.2
1656230400,45.4
1656234000,44.6
1656237600,44.6
1656241200,43.5
1656244800,44.15
1656248400,45.75
1656252000,45.6
1656255600,44.65
1656259200,46.3
