timestamp,air_temperature
1655463600,31.71
1655467200,31.76
1655470800,32.005
1655474400,32.175
1655478000,31.8
1655481600,31.38
1655485200,30.225
1655488800,28.06
1655492400,23.27
1655496000,20.615
1655499600,20.745
1655503200,20.8
1655506800,20.905
1655510400,19.275
1655514000,17.775
1655517600,18.25
1655521200,17.405
1655524800,17.965
1655528400,21.255
1655532000,24.53
1655535600,27.49
1655539200,28.36
1655542800,29.25
1655546400,29.66
1655550000,29.99
1655553600,30.55
1655557200,30.74
1655560800,30.52
1655564400,30.46
1655568000,29.965
1655571600,29.005
1655575200,26.87
1655578800,21.505
1655582400,19.4
1655586000,19.34
1655589600,18.86
1655593200,18.105
1655596800,17.445
1655600400,16.84
1655604000,16.55
1655607600,16.16
1655611200,17.08
1655614800,20.395
1655618400,23.75
1655622000,28.14
1655625600,29.53
1655629200,30.075
1655632800,30.535
1655636400,31
1655640000,31.21
1655643600,31.6
1655647200,31.325
1655650800,30.575
1655654400,29.605
1655658000,28.865
1655661600,26.735
1655665200,22.31
1655668800,19.95
1655672400,20.725
1655676000,20.17
1655679600,19.55
1655683200,20.7
1655686800,21.26
1655690400,20.36
1655694000,19.52
1655697600,21.635
1655701200,25.11
1655704800,27.795
1655708400,30.99
1655712000,32.205
1655715600,32.8
1655719200,33.24
1655722800,33.77
1655726400,34.775
1655730000,35.005
1655733600,35.04
1655737200,34.77
1655740800,33.715
1655744400,32.11
1655748000,29.815
1655751600,28.26
1655755200,27.445
1655758800,26.9
1655762400,26.6
1655766000,26.165
1655769600,25.76
1655773200,25.7
1655776800,25.005
1655780400,23.33
1655784000,22.235
1655787600,24.415
1655791200,28.86
1655794800,30.58
1655798400,31.235
1655802000,32.285
1655805600,33.385
1655809200,34.225
1655812800,35.165
1655816400,36.095
1655820000,36.015
1655823600,35.64
1655827200,34.615
1655830800,32.48
1655834400,30.38
1655838000,29.465
1655841600,28.235
1655845200,26.785
1655848800,27.325
1655852400,25.535
1655856000,21.44
1655859600,19.89
1655863200,20.7
1655866800,21.45
1655870400,22.32
1655874000,23.15
1655877600,24.025
1655881200,27.6
1655884800,29.665
1655888400,32.01
1655892000,31.44
1655895600,33.29
1655899200,32.98
1655902800,33.93
1655906400,32.34
1655910000,30.91
1655913600,30.07
1655917200,29.69
1655920800,29.39
1655924400,24.65
1655928000,24.32
1655931600,25.71
1655935200,21.965
1655938800,23.565
1655942400,22.825
1655946000,22.48
1655949600,20.71
1655953200,20.38
1655956800,19.69
1655960400,22.37
1655964000,27.62
1655967600,28.73
1655971200,29.89
1655974800,31.32
1655978400,32.95
1655982000,33.86
1655985600,31.94
1655989200,28.48
1655992800,29.1
1655996400,27.91
1656000000,29.85
1656003600,30.9
1656007200,29.09
1656010800,27.4
1656014400,24.59
1656018000,22.54
1656021600,21.45
1656025200,20.79
1656028800,22.95
1656032400,23.16
1656036000,23.55
1656039600,21.15
1656043200,21.14
1656046800,25.12
1656050400,27.51
1656054000,28.52
1656057600,29.36
1656061200,30.15
1656064800,31.31
1656068400,31.77
1656072000,33.25
1656075600,33.94
1656079200,34.09
1656082800,33.88
1656086400,33.035
1656090000,32.3
1656093600,30.63
1656097200,26.76
1656100800,25.36
1656104400,24.67
1656108000,24.315
1656111600,23.16
1656115200,22.015
1656118800,20.54
1656122400,19.99
1656126000,18.74
1656129600,18.97
1656133200,20.1
1656136800,25.75
1656140400,26.9
1656144000,29.04
1656147600,29.73
1656151200,31.63
1656154800,32.67
1656158400,32.4
1656162000,33.81
1656165600,33.8
1656169200,33.64
1656172800,33.7
1656176400,32.67
1656180000,30.57
1656183600,27.42
1656187200,26.13
1656190800,25.49
1656194400,24.97
1656198000,23.27
1656201600,21.1
1656205200,20.32
1656208800,19.96
1656212400,18.73
1656216000,19.35
1656219600,23.52
1656223200,27.2
1656226800,30.07
1656230400,30.23
1656234000,30.79
1656237600,31.68
1656241200,32.77
1656244800,33.23
1656248400,33.25
1656252000,32.97
1656255600,32.665
1656259200,32.035
