timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1655463600,-88.774,-70.241,-65.347,-20.951,-23.146,-25.926,-263.897,-256.968,-6.811,-22.786,-152.929,-456.366
1655467200,-89.627,-70.163,-67.639,-21.570,-24.173,-26.909,-262.784,-255.645,-5.584,-23.014,-155.095,-458.884
1655470800,-90.959,-70.172,-70.248,-22.134,-25.076,-27.852,-261.950,-254.625,-5.042,-22.208,-157.558,-461.581
1655474400,-92.482,-70.211,-72.930,-22.674,-25.775,-28.766,-261.164,-253.714,-4.842,-20.608,-159.956,-464.199
1655478000,-93.197,-70.164,-75.129,-23.169,-26.460,-29.559,-260.031,-252.584,-4.717,-18.771,-161.665,-466.290
1655481600,-93.527,-70.036,-76.790,-23.620,-26.451,-30.237,-258.542,-251.220,-4.965,-17.130,-162.702,-467.885
1655485200,-93.284,-69.784,-78.228,-24.019,-25.812,-30.758,-256.569,-249.500,-5.252,-15.861,-162.885,-468.867
1655488800,-92.063,-69.271,-77.827,-24.326,-24.542,-30.969,-253.763,-247.135,-5.812,-14.996,-161.687,-468.870
1655492400,-90.738,-68.743,-77.182,-24.582,-23.308,-31.056,-250.845,-244.728,-6.716,-14.581,-160.239,-468.739
1655496000,-89.455,-68.241,-76.555,-24.812,-22.292,-31.055,-247.941,-242.370,-7.546,-14.469,-158.729,-468.616
1655499600,-88.205,-67.766,-75.939,-25.021,-21.577,-30.946,-245.042,-240.038,-8.221,-14.566,-157.101,-468.493
1655503200,-86.977,-67.310,-75.323,-25.219,-21.062,-30.768,-242.151,-237.713,-8.818,-14.739,-155.367,-468.363
1655506800,-85.774,-66.873,-74.718,-25.409,-20.699,-30.542,-239.277,-235.392,-9.353,-14.951,-153.535,-468.234
1655510400,-84.597,-66.454,-74.123,-25.592,-20.443,-30.287,-236.420,-233.069,-9.839,-15.187,-151.610,-468.105
1655514000,-83.440,-66.052,-73.539,-25.769,-20.277,-30.020,-233.581,-230.733,-10.282,-15.431,-149.591,-467.976
1655517600,-82.302,-65.666,-72.966,-25.941,-20.176,-29.754,-230.763,-228.375,-10.688,-15.677,-147.484,-467.848
1655521200,-81.180,-65.294,-72.404,-26.108,-20.124,-29.500,-227.964,-225.989,-11.064,-15.920,-145.301,-467.720
1655524800,-80.118,-64.949,-71.903,-26.281,-20.112,-29.276,-225.228,-223.606,-11.417,-16.163,-143.113,-467.637
1655528400,-79.448,-64.732,-71.816,-26.529,-20.169,-29.171,-222.868,-221.493,-11.765,-16.434,-141.402,-467.940
1655532000,-79.144,-64.656,-72.134,-26.847,-20.291,-29.184,-220.900,-219.667,-12.114,-16.736,-140.190,-468.630
1655535600,-79.642,-64.860,-73.365,-27.339,-20.529,-29.428,-219.780,-218.532,-12.494,-17.119,-140.161,-470.187
1655539200,-80.565,-65.184,-75.162,-27.918,-20.848,-29.791,-219.182,-217.832,-12.896,-17.554,-140.820,-472.229
1655542800,-81.918,-65.652,-77.613,-28.612,-21.245,-30.290,-219.093,-217.572,-11.467,-18.053,-142.186,-474.767
1655546400,-83.402,-66.213,-81.872,-29.360,-21.750,-30.878,-219.366,-217.635,-6.035,-18.526,-144.000,-477.595
1655550000,-85.343,-66.813,-86.547,-30.136,-22.299,-31.510,-219.821,-217.878,-4.464,-18.509,-145.989,-480.503
1655553600,-87.590,-67.444,-91.548,-30.902,-22.712,-32.188,-220.368,-218.238,-3.989,-17.457,-148.026,-483.394
1655557200,-90.248,-68.159,-97.188,-31.751,-22.693,-32.953,-221.100,-218.799,-3.823,-15.703,-150.257,-486.360
1655560800,-92.535,-68.741,-96.976,-32.489,-22.030,-33.572,-221.462,-219.091,-3.780,-14.057,-151.824,-488.820
1655564400,-94.858,-69.336,-97.062,-33.457,-20.908,-34.130,-221.785,-219.395,-3.766,-12.845,-153.218,-491.143
1655568000,-96.613,-69.847,-97.218,-34.208,-19.625,-34.437,-221.706,-219.394,-3.785,-11.999,-153.836,-492.949
1655571600,-96.171,-70.134,-97.217,-34.679,-18.386,-34.336,-221.041,-218.924,-3.927,-11.365,-153.393,-494.079
1655575200,-95.392,-70.072,-96.898,-34.729,-17.263,-33.693,-219.541,-217.775,-4.221,-10.918,-151.487,-494.292
1655578800,-94.489,-69.886,-96.445,-34.697,-16.370,-32.747,-217.755,-216.416,-4.615,-10.684,-148.936,-494.190
1655582400,-93.631,-69.710,-95.977,-34.691,-15.737,-31.677,-215.991,-215.105,-5.300,-10.656,-146.183,-494.107
1655586000,-93.015,-69.601,-95.548,-34.744,-15.346,-30.602,-214.358,-213.933,-5.958,-10.789,-143.389,-494.158
1655589600,-92.342,-69.485,-95.106,-34.806,-15.129,-29.531,-212.715,-212.778,-6.561,-11.008,-140.342,-494.193
