"start","end","humidity"
1588802400,1588806000,93.05
1588806000,1588809600,95
1588809600,1588813200,96.7
1588813200,1588816800,95.5
1588816800,1588820400,93.8
1588820400,1588824000,92.25
1588824000,1588827600,95.25
1588827600,1588831200,92.7
1588831200,1588834800,83.15
1588834800,1588838400,70.25
1588838400,1588842000,57.6
1588842000,1588845600,47.95
1588845600,1588849200,46.35
1588849200,1588852800,42.2
1588852800,1588856400,40.9
1588856400,1588860000,41.05
1588860000,1588863600,40.45
1588863600,1588867200,42.85
1588867200,1588870800,44.45
1588870800,1588874400,45.65
1588874400,1588878000,52.75
1588878000,1588881600,71.85
1588881600,1588885200,84.95
1588885200,1588888800,90.5
1588888800,1588892400,93.7
1588892400,1588896000,94.3
1588896000,1588899600,93.8
1588899600,1588903200,95.3
1588903200,1588906800,94.6
1588906800,1588910400,95.7
1588910400,1588914000,97.4
1588914000,1588917600,95.6666666666667
1588917600,1588921200,76.9
1588921200,1588924800,65.65
1588924800,1588928400,60.55
1588928400,1588932000,48.9
1588932000,1588935600,36.4
1588935600,1588939200,38
1588939200,1588942800,43.95
1588942800,1588946400,45.4
1588946400,1588950000,49.25
1588950000,1588953600,52.5
1588953600,1588957200,57.2
1588957200,1588960800,60.5
1588960800,1588964400,69.8
1588964400,1588968000,85.2
1588968000,1588971600,83.3
1588971600,1588975200,81.4
1588975200,1588978800,74.3
1588978800,1588982400,86.2
1588982400,1588986000,91.45
1588986000,1588989600,89.2
1588989600,1588993200,87.3
1588993200,1588996800,90.65
1588996800,1589000400,89.5
1589000400,1589004000,84.4
1589004000,1589007600,66
1589007600,1589011200,52.8
1589011200,1589014800,39.45
1589014800,1589018400,32.75
1589018400,1589022000,30.75
1589022000,1589025600,28.75
1589025600,1589029200,30.4
1589029200,1589032800,28.9
1589032800,1589036400,38.55
1589036400,1589040000,39.55
1589040000,1589043600,42.7
1589043600,1589047200,45.8
1589047200,1589050800,57.25
1589050800,1589054400,77.25
1589054400,1589058000,87.55
1589058000,1589061600,90.1
1589061600,1589065200,92.9
1589065200,1589068800,92.4666666666667
1589068800,1589072400,83.8
1589072400,1589076000,82.85
1589076000,1589079600,88.9
1589079600,1589083200,90.55
1589083200,1589086800,90.05
1589086800,1589090400,80.15
1589090400,1589094000,66
1589094000,1589097600,51.7
1589097600,1589101200,40.25
1589101200,1589104800,42.75
1589104800,1589108400,38.8
1589108400,1589112000,37.1
1589112000,1589115600,41.2
1589115600,1589119200,45.3
1589119200,1589122800,40.7
1589122800,1589126400,43.9
1589126400,1589130000,45.25
1589130000,1589133600,56.2
1589133600,1589137200,55.6
1589137200,1589140800,71.45
1589140800,1589144400,84.3
1589144400,1589148000,86.45
1589148000,1589151600,93.75
1589151600,1589155200,89.45
1589155200,1589158800,89.45
1589158800,1589162400,90.5
1589162400,1589166000,89.65
1589166000,1589169600,89.45
1589169600,1589173200,90.4
1589173200,1589176800,92.1
1589176800,1589180400,87.35
1589180400,1589184000,73.15
1589184000,1589187600,61.65
1589187600,1589191200,57.85
1589191200,1589194800,53.85
1589194800,1589198400,49.35
1589198400,1589202000,47.2
1589202000,1589205600,58.15
1589205600,1589209200,59.2
1589209200,1589212800,70.55
1589212800,1589216400,64.5
1589216400,1589220000,69.95
1589220000,1589223600,75.5
1589223600,1589227200,80.2
1589227200,1589230800,77.35
1589230800,1589234400,70.9
1589234400,1589238000,73.15
1589238000,1589241600,85.2
1589241600,1589245200,82.65
1589245200,1589248800,72.55
1589248800,1589252400,74.2
1589252400,1589256000,77.2
1589256000,1589259600,77.75
1589259600,1589263200,72.75
1589263200,1589266800,69.25
1589266800,1589270400,68.4
1589270400,1589274000,63.55
1589274000,1589277600,63
1589277600,1589281200,60.65
1589281200,1589284800,57
1589284800,1589288400,56.35
1589288400,1589292000,55.95
1589292000,1589295600,54
1589295600,1589299200,53.45
1589299200,1589302800,52.15
1589302800,1589306400,52.4
1589306400,1589310000,57
1589310000,1589313600,65.5
1589313600,1589317200,78.2
1589317200,1589320800,89
1589320800,1589324400,92.05
1589324400,1589328000,94.35
1589328000,1589331600,95.6
1589331600,1589335200,95
