"start","end","wind"
1588802400,1588806000,0
1588806000,1588809600,1.44
1588809600,1588813200,3.42
1588813200,1588816800,3.06
1588816800,1588820400,2.52
1588820400,1588824000,0
1588824000,1588827600,2.7
1588827600,1588831200,0.54
1588831200,1588834800,1.98
1588834800,1588838400,3.6
1588838400,1588842000,7.02
1588842000,1588845600,9.9
1588845600,1588849200,9
1588849200,1588852800,8.64
1588852800,1588856400,10.62
1588856400,1588860000,4.5
1588860000,1588863600,7.74
1588863600,1588867200,7.02
1588867200,1588870800,10.8
1588870800,1588874400,10.62
1588874400,1588878000,3.06
1588878000,1588881600,0
1588881600,1588885200,0
1588885200,1588888800,0
1588888800,1588892400,0
1588892400,1588896000,0.9
1588896000,1588899600,0
1588899600,1588903200,0
1588903200,1588906800,0
1588906800,1588910400,0
1588910400,1588914000,1.44
1588914000,1588917600,2.52
1588917600,1588921200,4.32
1588921200,1588924800,6.66
1588924800,1588928400,3.96
1588928400,1588932000,4.14
1588932000,1588935600,4.32
1588935600,1588939200,8.64
1588939200,1588942800,10.26
1588942800,1588946400,11.7
1588946400,1588950000,10.26
1588950000,1588953600,9.36
1588953600,1588957200,6.48
1588957200,1588960800,3.42
1588960800,1588964400,0
1588964400,1588968000,2.16
1588968000,1588971600,1.62
1588971600,1588975200,0.9
1588975200,1588978800,0
1588978800,1588982400,0
1588982400,1588986000,0
1588986000,1588989600,1.44
1588989600,1588993200,0.36
1588993200,1588996800,2.16
1588996800,1589000400,0
1589000400,1589004000,0.9
1589004000,1589007600,1.98
1589007600,1589011200,2.7
1589011200,1589014800,6.48
1589014800,1589018400,8.46
1589018400,1589022000,13.5
1589022000,1589025600,7.56
1589025600,1589029200,3.78
1589029200,1589032800,8.1
1589032800,1589036400,15.66
1589036400,1589040000,12.6
1589040000,1589043600,10.62
1589043600,1589047200,8.64
1589047200,1589050800,2.7
1589050800,1589054400,0
1589054400,1589058000,0
1589058000,1589061600,0.36
1589061600,1589065200,1.08
1589065200,1589068800,1.98
1589068800,1589072400,1.98
1589072400,1589076000,1.08
1589076000,1589079600,0
1589079600,1589083200,0
1589083200,1589086800,3.42
1589086800,1589090400,3.6
1589090400,1589094000,2.16
1589094000,1589097600,6.66
1589097600,1589101200,8.1
1589101200,1589104800,4.86
1589104800,1589108400,10.08
1589108400,1589112000,9.54
1589112000,1589115600,10.26
1589115600,1589119200,14.58
1589119200,1589122800,13.86
1589122800,1589126400,12.78
1589126400,1589130000,12.6
1589130000,1589133600,7.56
1589133600,1589137200,0
1589137200,1589140800,3.24
1589140800,1589144400,1.26
1589144400,1589148000,0
1589148000,1589151600,1.08
1589151600,1589155200,0.72
1589155200,1589158800,0.36
1589158800,1589162400,1.26
1589162400,1589166000,0
1589166000,1589169600,6.12
1589169600,1589173200,3.06
1589173200,1589176800,5.4
1589176800,1589180400,3.42
1589180400,1589184000,7.02
1589184000,1589187600,3.78
1589187600,1589191200,1.26
1589191200,1589194800,4.86
1589194800,1589198400,9.36
1589198400,1589202000,10.98
1589202000,1589205600,10.98
1589205600,1589209200,7.92
1589209200,1589212800,14.58
1589212800,1589216400,10.08
1589216400,1589220000,2.88
1589220000,1589223600,0.9
1589223600,1589227200,3.06
1589227200,1589230800,5.22
1589230800,1589234400,1.98
1589234400,1589238000,1.08
1589238000,1589241600,1.44
1589241600,1589245200,3.78
1589245200,1589248800,4.32
1589248800,1589252400,5.58
1589252400,1589256000,3.6
1589256000,1589259600,4.5
1589259600,1589263200,8.28
1589263200,1589266800,8.82
1589266800,1589270400,9.18
1589270400,1589274000,13.68
1589274000,1589277600,7.74
1589277600,1589281200,13.14
1589281200,1589284800,15.84
1589284800,1589288400,19.98
1589288400,1589292000,16.92
1589292000,1589295600,13.32
1589295600,1589299200,15.84
1589299200,1589302800,16.56
1589302800,1589306400,9.9
1589306400,1589310000,6.66
1589310000,1589313600,1.44
1589313600,1589317200,1.8
1589317200,1589320800,2.88
1589320800,1589324400,0.54
1589324400,1589328000,2.7
1589328000,1589331600,4.32
1589331600,1589335200,3.06
1589335200,1589338800,2.88
1589338800,1589342400,5.04
1589342400,1589346000,5.04
1589346000,1589349600,0.9
1589349600,1589353200,5.94
1589353200,1589356800,6.12
1589356800,1589360400,2.7
1589360400,1589364000,5.94
1589364000,1589367600,7.74
1589367600,1589371200,1.98
1589371200,1589374800,6.66
1589374800,1589378400,4.5
1589378400,1589382000,5.58
1589382000,1589385600,8.28
1589385600,1589389200,8.28
1589389200,1589392800,6.3
1589392800,1589396400,0.18
1589396400,1589400000,0
1589400000,1589403600,1.44
1589403600,1589407200,0.18
1589407200,1589410800,1.08
1589410800,1589414400,0.54
1589414400,1589418000,0
1589418000,1589421600,0.9
1589421600,1589425200,1.44
1589425200,1589428800,1.08
1589428800,1589432400,2.7
