"start","end","precipitations"
1588802400,1588806000,0
1588806000,1588809600,0
1588809600,1588813200,0
1588813200,1588816800,0
1588816800,1588820400,0
1588820400,1588824000,0
1588824000,1588827600,0
1588827600,1588831200,0
1588831200,1588834800,0
1588834800,1588838400,0
1588838400,1588842000,0
1588842000,1588845600,0
1588845600,1588849200,0
1588849200,1588852800,0
1588852800,1588856400,0
1588856400,1588860000,0
1588860000,1588863600,0
1588863600,1588867200,0
1588867200,1588870800,0
1588870800,1588874400,0
1588874400,1588878000,0
1588878000,1588881600,0
1588881600,1588885200,0
1588885200,1588888800,0
1588888800,1588892400,0
1588892400,1588896000,0
1588896000,1588899600,0
1588899600,1588903200,0
1588903200,1588906800,0
1588906800,1588910400,0
1588910400,1588914000,0
1588914000,1588917600,0
1588917600,1588921200,0
1588921200,1588924800,0
1588924800,1588928400,0
1588928400,1588932000,0
1588932000,1588935600,0
1588935600,1588939200,0
1588939200,1588942800,0
1588942800,1588946400,0
1588946400,1588950000,0
1588950000,1588953600,0
1588953600,1588957200,0
1588957200,1588960800,0
1588960800,1588964400,0
1588964400,1588968000,0
1588968000,1588971600,0
1588971600,1588975200,0
1588975200,1588978800,0
1588978800,1588982400,0
1588982400,1588986000,0
1588986000,1588989600,0
1588989600,1588993200,0
1588993200,1588996800,0
1588996800,1589000400,0
1589000400,1589004000,0
1589004000,1589007600,0
1589007600,1589011200,0
1589011200,1589014800,0
1589014800,1589018400,0
1589018400,1589022000,0
1589022000,1589025600,0
1589025600,1589029200,0
1589029200,1589032800,0
1589032800,1589036400,0
1589036400,1589040000,0
1589040000,1589043600,0
1589043600,1589047200,0
1589047200,1589050800,0
1589050800,1589054400,0
1589054400,1589058000,0
1589058000,1589061600,0
1589061600,1589065200,0
1589065200,1589068800,0
1589068800,1589072400,0
1589072400,1589076000,0
1589076000,1589079600,0
1589079600,1589083200,0
1589083200,1589086800,0
1589086800,1589090400,0
1589090400,1589094000,0
1589094000,1589097600,0
1589097600,1589101200,0
1589101200,1589104800,0
1589104800,1589108400,0
1589108400,1589112000,0
1589112000,1589115600,0
1589115600,1589119200,0
1589119200,1589122800,0
1589122800,1589126400,0
1589126400,1589130000,0
1589130000,1589133600,0
1589133600,1589137200,0
1589137200,1589140800,0
1589140800,1589144400,0
1589144400,1589148000,0
1589148000,1589151600,0
1589151600,1589155200,0
1589155200,1589158800,0
1589158800,1589162400,0
1589162400,1589166000,0
