"start","end","humidity"
1595325600,1595329200,46.6
1595329200,1595332800,44.45
1595332800,1595336400,43.75
1595336400,1595340000,43.85
1595340000,1595343600,47.15
1595343600,1595347200,48.05
1595347200,1595350800,49.55
1595350800,1595354400,51.9
1595354400,1595358000,58.85
1595358000,1595361600,75.35
1595361600,1595365200,79.05
1595365200,1595368800,75.35
1595368800,1595372400,78.8
1595372400,1595376000,78.1
1595376000,1595379600,84.2
1595379600,1595383200,78.2
1595383200,1595386800,77.6
1595386800,1595390400,83.45
1595390400,1595394000,87.75
1595394000,1595397600,82.8
1595397600,1595401200,72.4
1595401200,1595404800,60.4
1595404800,1595408400,59.05
1595408400,1595412000,57
1595412000,1595415600,55
1595415600,1595419200,53.25
1595419200,1595422800,50.9
1595422800,1595426400,51.45
1595426400,1595430000,53.4
1595430000,1595433600,61.35
1595433600,1595437200,62.95
1595437200,1595440800,64.65
1595440800,1595444400,62.45
1595444400,1595448000,75.95
1595448000,1595451600,84.05
1595451600,1595455200,87.1
1595455200,1595458800,88.9
1595458800,1595462400,88.5
1595462400,1595466000,85.05
1595466000,1595469600,86.8
1595469600,1595473200,89.65
1595473200,1595476800,86.45
1595476800,1595480400,87.75
1595480400,1595484000,86.35
1595484000,1595487600,81.6
1595487600,1595491200,78.05
1595491200,1595494800,71.15
1595494800,1595498400,64.8
1595498400,1595502000,60.95
1595502000,1595505600,54.95
1595505600,1595509200,51.8
1595509200,1595512800,50.9
1595512800,1595516400,51.75
1595516400,1595520000,53.95
1595520000,1595523600,62.3
1595523600,1595527200,67.65
1595527200,1595530800,72.35
1595530800,1595534400,79.8
1595534400,1595538000,86.75
1595538000,1595541600,90.75
1595541600,1595545200,92.75
1595545200,1595548800,94.2
1595548800,1595552400,94.05
1595552400,1595556000,94
1595556000,1595559600,95
1595559600,1595563200,96.05
1595563200,1595566800,96.5
1595566800,1595570400,94.35
1595570400,1595574000,86.25
1595574000,1595577600,79.95
1595577600,1595581200,76.3
1595581200,1595584800,71.9
1595584800,1595588400,89.8
1595588400,1595592000,95.75
1595592000,1595595600,95.9
1595595600,1595599200,95.3
1595599200,1595602800,88.25
1595602800,1595606400,91.45
1595606400,1595610000,94.35
1595610000,1595613600,91.2
1595613600,1595617200,89.7
1595617200,1595620800,92.65
1595620800,1595624400,92.5
1595624400,1595628000,94.7
1595628000,1595631600,95.4
1595631600,1595635200,96.2
1595635200,1595638800,95.2
1595638800,1595642400,94.25
1595642400,1595646000,93.1
1595646000,1595649600,92
1595649600,1595653200,91.35
1595653200,1595656800,89.5
1595656800,1595660400,81.45
1595660400,1595664000,70.8
1595664000,1595667600,60.9
1595667600,1595671200,54.75
1595671200,1595674800,50.6
1595674800,1595678400,51.15
1595678400,1595682000,49.1
1595682000,1595685600,46
1595685600,1595689200,43.75
1595689200,1595692800,41.7
1595692800,1595696400,42.4
1595696400,1595700000,45.25
1595700000,1595703600,56.3
1595703600,1595707200,73.5
1595707200,1595710800,79.85
1595710800,1595714400,85.15
1595714400,1595718000,86.15
1595718000,1595721600,87.25
1595721600,1595725200,86.85
1595725200,1595728800,85.65
1595728800,1595732400,89.25
1595732400,1595736000,86.25
1595736000,1595739600,91.2
1595739600,1595743200,87.6
1595743200,1595746800,81.1
1595746800,1595750400,72.3
1595750400,1595754000,56.1
1595754000,1595757600,51.7
1595757600,1595761200,49.95
1595761200,1595764800,47.95
1595764800,1595768400,39.3
1595768400,1595772000,38.7
1595772000,1595775600,39.55
1595775600,1595779200,40.15
1595779200,1595782800,39.7
1595782800,1595786400,41.5
1595786400,1595790000,48.7
1595790000,1595793600,54.95
1595793600,1595797200,67
1595797200,1595800800,80.1
1595800800,1595804400,86
1595804400,1595808000,88.6
1595808000,1595811600,86.55
1595811600,1595815200,86.1
1595815200,1595818800,89.5
1595818800,1595822400,91.1
1595822400,1595826000,89.8
1595826000,1595829600,84.3
1595829600,1595833200,72.3
1595833200,1595836800,63.25
1595836800,1595840400,63.05
1595840400,1595844000,54.85
1595844000,1595847600,54.85
1595847600,1595851200,49.8
1595851200,1595854800,49.3
1595854800,1595858400,50.55
1595858400,1595862000,44.5
1595862000,1595865600,44.55
1595865600,1595869200,44.65
1595869200,1595872800,48.1
1595872800,1595876400,55.2
1595876400,1595880000,70.3
1595880000,1595883600,84.85
1595883600,1595887200,86.5
1595887200,1595890800,87.4
1595890800,1595894400,88.7
1595894400,1595898000,88.8
1595898000,1595901600,88.65
1595901600,1595905200,89.95
1595905200,1595908800,90.4
1595908800,1595912400,91.85
1595912400,1595916000,84.45
1595916000,1595919600,74
1595919600,1595923200,61.45
1595923200,1595926800,60.1
1595926800,1595930400,56.1
1595930400,1595934000,53.65
1595934000,1595937600,52.85
1595937600,1595941200,50.5
1595941200,1595944800,49.45
1595944800,1595948400,52.6
1595948400,1595952000,51.25
1595952000,1595955600,52.1
1595955600,1595959200,53.9
1595959200,1595962800,61.15
1595962800,1595966400,73.5
1595966400,1595970000,84.3
1595970000,1595973600,89.1
1595973600,1595977200,90.4
1595977200,1595980800,90.25
1595980800,1595984400,90.8
1595984400,1595988000,92.4
1595988000,1595991600,88.75
1595991600,1595995200,86.5
1595995200,1595998800,87.95
1595998800,1596002400,88.7
1596002400,1596006000,75.9
1596006000,1596009600,69.2
1596009600,1596013200,65.2
1596013200,1596016800,61
1596016800,1596020400,61.8
1596020400,1596024000,59.5
1596024000,1596027600,56.4
1596027600,1596031200,58.8
1596031200,1596034800,58.6
1596034800,1596038400,57.45
1596038400,1596042000,57.2
1596042000,1596045600,59.05
1596045600,1596049200,65.3
1596049200,1596052800,77.5
1596052800,1596056400,85
1596056400,1596060000,88.8
1596060000,1596063600,91.5
1596063600,1596067200,92.85
1596067200,1596070800,90.9
1596070800,1596074400,93.1
1596074400,1596078000,94.2
1596078000,1596081600,92.5
1596081600,1596085200,91.9
1596085200,1596088800,87
1596088800,1596092400,72.5
1596092400,1596096000,70.1
1596096000,1596099600,66.45
1596099600,1596103200,64.35
1596103200,1596106800,62.9
1596106800,1596110400,60.75
1596110400,1596114000,61.9
1596114000,1596117600,61.05
1596117600,1596121200,59.45
1596121200,1596124800,57.05
1596124800,1596128400,57.4
1596128400,1596132000,59.8
1596132000,1596135600,64.4
1596135600,1596139200,71.85
1596139200,1596142800,79.9
1596142800,1596146400,87.2
1596146400,1596150000,88.35
1596150000,1596153600,90.85
1596153600,1596157200,90.3
1596157200,1596160800,90.5
1596160800,1596164400,90
1596164400,1596168000,89.85
1596168000,1596171600,88.4
1596171600,1596175200,84.55
1596175200,1596178800,77.85
1596178800,1596182400,68.3
1596182400,1596186000,66.55
1596186000,1596189600,62.7
1596189600,1596193200,59.7
1596193200,1596196800,59.25
1596196800,1596200400,55.8
1596200400,1596204000,57.75
1596204000,1596207600,58.55
1596207600,1596211200,66.85
1596211200,1596214800,56.25
1596214800,1596218400,48.6
1596218400,1596222000,55.75
1596222000,1596225600,72.2
1596225600,1596229200,80.95
1596229200,1596232800,85.6
1596232800,1596236400,87.45
1596236400,1596240000,84.9
1596240000,1596243600,84.1
1596243600,1596247200,88
1596247200,1596250800,85.1
1596250800,1596254400,86.35
1596254400,1596258000,84.55
1596258000,1596261600,81.15
1596261600,1596265200,74.45
1596265200,1596268800,64.25
1596268800,1596272400,60.5
1596272400,1596276000,62.4
1596276000,1596279600,60.05
1596279600,1596283200,56
1596283200,1596286800,52.8
1596286800,1596290400,54
1596290400,1596294000,53.15
1596294000,1596297600,54.45
1596297600,1596301200,58.9
1596301200,1596304800,61.9
1596304800,1596308400,65.3
1596308400,1596312000,75.2
1596312000,1596315600,81.95
1596315600,1596319200,86.7
1596319200,1596322800,89.6
1596322800,1596326400,89.15
1596326400,1596330000,85.3
1596330000,1596333600,80.9
1596333600,1596337200,79.2
1596337200,1596340800,82.1
1596340800,1596344400,87.3
1596344400,1596348000,88.85
1596348000,1596351600,87
1596351600,1596355200,72.8
1596355200,1596358800,74.45
1596358800,1596362400,73.7
1596362400,1596366000,70.5
1596366000,1596369600,67.6
1596369600,1596373200,66.1
1596373200,1596376800,65.05
1596376800,1596380400,64.2
1596380400,1596384000,64.6
1596384000,1596387600,68.1
1596387600,1596391200,71.25
1596391200,1596394800,77.15
1596394800,1596398400,83.5
1596398400,1596402000,87.85
1596402000,1596405600,92.45
1596405600,1596409200,94.65
1596409200,1596412800,95.05
1596412800,1596416400,95.15
1596416400,1596420000,95.75
1596420000,1596423600,93.5
1596423600,1596427200,90.55
1596427200,1596430800,93.15
1596430800,1596434400,92.65
1596434400,1596438000,88.9
1596438000,1596441600,81.75
1596441600,1596445200,79.3
1596445200,1596448800,78.05
1596448800,1596452400,80.2
1596452400,1596456000,79.45
1596456000,1596459600,79.35
1596459600,1596463200,80.95
1596463200,1596466800,83.15
1596466800,1596470400,80.8
1596470400,1596474000,77.9
1596474000,1596477600,82.45
1596477600,1596481200,84.4
1596481200,1596484800,90.4
1596484800,1596488400,92.45
1596488400,1596492000,87
1596492000,1596495600,87.9
1596495600,1596499200,90.6
1596499200,1596502800,91.3
1596502800,1596506400,91.45
1596506400,1596510000,92.25
1596510000,1596513600,94.55
1596513600,1596517200,96.35
1596517200,1596520800,97.4
1596520800,1596524400,89.95
1596524400,1596528000,73.3
1596528000,1596531600,86.65
1596531600,1596535200,94.05
1596535200,1596538800,95.6
1596538800,1596542400,95.75
1596542400,1596546000,92.55
1596546000,1596549600,81.35
1596549600,1596553200,73.5
1596553200,1596556800,72.75
1596556800,1596560400,76.55
1596560400,1596564000,79.55
1596564000,1596567600,79.4
