"start","end","precipitations"
1595325600,1595329200,0
1595329200,1595332800,0
1595332800,1595336400,0
1595336400,1595340000,0
1595340000,1595343600,0
1595343600,1595347200,0
1595347200,1595350800,0
1595350800,1595354400,0
1595354400,1595358000,0
1595358000,1595361600,0
1595361600,1595365200,0
1595365200,1595368800,0
1595368800,1595372400,0
1595372400,1595376000,0
1595376000,1595379600,0
1595379600,1595383200,0
1595383200,1595386800,0
1595386800,1595390400,0
1595390400,1595394000,0
1595394000,1595397600,0
1595397600,1595401200,0
1595401200,1595404800,0
1595404800,1595408400,0
1595408400,1595412000,0
1595412000,1595415600,0
1595415600,1595419200,0
1595419200,1595422800,0
1595422800,1595426400,1.8
1595426400,1595430000,0
1595430000,1595433600,0
1595433600,1595437200,0
1595437200,1595440800,0
1595440800,1595444400,0
1595444400,1595448000,0
1595448000,1595451600,0
1595451600,1595455200,0
1595455200,1595458800,0
1595458800,1595462400,0
1595462400,1595466000,0
1595466000,1595469600,0
1595469600,1595473200,0
1595473200,1595476800,0
1595476800,1595480400,0
1595480400,1595484000,0
1595484000,1595487600,0
1595487600,1595491200,0
1595491200,1595494800,0
1595494800,1595498400,0
1595498400,1595502000,0
1595502000,1595505600,0
1595505600,1595509200,0
1595509200,1595512800,0
1595512800,1595516400,0
1595516400,1595520000,0
1595520000,1595523600,0
1595523600,1595527200,0
1595527200,1595530800,0
1595530800,1595534400,0
1595534400,1595538000,0
1595538000,1595541600,0
1595541600,1595545200,0
1595545200,1595548800,0
1595548800,1595552400,0
1595552400,1595556000,0
1595556000,1595559600,0
1595559600,1595563200,0
1595563200,1595566800,0
1595566800,1595570400,0
1595570400,1595574000,0
1595574000,1595577600,0
1595577600,1595581200,0
1595581200,1595584800,0
1595584800,1595588400,7.4
1595588400,1595592000,1.8
1595592000,1595595600,0.4
1595595600,1595599200,0.6
1595599200,1595602800,0.2
1595602800,1595606400,0.4
1595606400,1595610000,0.4
1595610000,1595613600,0
1595613600,1595617200,0
1595617200,1595620800,0
1595620800,1595624400,0
1595624400,1595628000,0
1595628000,1595631600,0
1595631600,1595635200,0
1595635200,1595638800,0
