"start","end","temperature"
1595325600,1595329200,31.395
1595329200,1595332800,32.43
1595332800,1595336400,32.985
1595336400,1595340000,33.395
1595340000,1595343600,33.345
1595343600,1595347200,32.71
1595347200,1595350800,31.395
1595350800,1595354400,30.23
1595354400,1595358000,28.23
1595358000,1595361600,24.58
1595361600,1595365200,22.48
1595365200,1595368800,21.995
1595368800,1595372400,20.46
1595372400,1595376000,20.095
1595376000,1595379600,18.64
1595379600,1595383200,19.825
1595383200,1595386800,20.01
1595386800,1595390400,18.94
1595390400,1595394000,18.81
1595394000,1595397600,21.005
1595397600,1595401200,24.54
1595401200,1595404800,27.87
1595404800,1595408400,29.26
1595408400,1595412000,30.525
1595412000,1595415600,31.725
1595415600,1595419200,32.285
1595419200,1595422800,32.955
1595422800,1595426400,33.175
1595426400,1595430000,32.04
1595430000,1595433600,30.875
1595433600,1595437200,30.415
1595437200,1595440800,29.31
1595440800,1595444400,29.165
1595444400,1595448000,25.985
1595448000,1595451600,23.72
1595451600,1595455200,22.74
1595455200,1595458800,22.66
1595458800,1595462400,22.81
1595462400,1595466000,22.995
1595466000,1595469600,20.64
1595469600,1595473200,20.205
1595473200,1595476800,20.185
1595476800,1595480400,19.765
1595480400,1595484000,20.89
1595484000,1595487600,22.65
1595487600,1595491200,23.79
1595491200,1595494800,25.73
1595494800,1595498400,27.27
1595498400,1595502000,28.595
1595502000,1595505600,29.43
1595505600,1595509200,30.105
1595509200,1595512800,30.78
1595512800,1595516400,30.3
1595516400,1595520000,29.725
1595520000,1595523600,28.905
1595523600,1595527200,27.925
1595527200,1595530800,26.43
1595530800,1595534400,24.25
1595534400,1595538000,22.255
1595538000,1595541600,21.075
1595541600,1595545200,20.22
1595545200,1595548800,20.02
1595548800,1595552400,20.03
1595552400,1595556000,19.9
1595556000,1595559600,19.115
1595559600,1595563200,18.88
1595563200,1595566800,19.92
1595566800,1595570400,21.61
1595570400,1595574000,23.645
1595574000,1595577600,24.995
1595577600,1595581200,26.04
1595581200,1595584800,27.345
1595584800,1595588400,19.445
1595588400,1595592000,18.51
1595592000,1595595600,18.775
1595595600,1595599200,19.74
1595599200,1595602800,21.16
1595602800,1595606400,20.95
1595606400,1595610000,20.74
1595610000,1595613600,21.38
1595613600,1595617200,21.22
1595617200,1595620800,19.775
1595620800,1595624400,18.745
1595624400,1595628000,17.725
1595628000,1595631600,17.01
1595631600,1595635200,16.78
1595635200,1595638800,16.79
1595638800,1595642400,16.73
