"start","end","radiations"
1588802400,1588806000,0
1588806000,1588809600,0
1588809600,1588813200,0
1588813200,1588816800,0
1588816800,1588820400,0
1588820400,1588824000,0
1588824000,1588827600,27.3
1588827600,1588831200,171.64
1588831200,1588834800,238
1588834800,1588838400,378.7
1588838400,1588842000,552.44
1588842000,1588845600,706.58
1588845600,1588849200,789.6
1588849200,1588852800,818.44
1588852800,1588856400,780.22
1588856400,1588860000,713.86
1588860000,1588863600,581.14
1588863600,1588867200,407.54
1588867200,1588870800,228.2
1588870800,1588874400,67.48
1588874400,1588878000,13.86
1588878000,1588881600,0
1588881600,1588885200,0
1588885200,1588888800,0
1588888800,1588892400,0
1588892400,1588896000,0
1588896000,1588899600,0
1588899600,1588903200,0
1588903200,1588906800,0
1588906800,1588910400,0
1588910400,1588914000,29.12
1588914000,1588917600,104.546666666667
1588917600,1588921200,228.9
1588921200,1588924800,373.52
1588924800,1588928400,567
1588928400,1588932000,715.12
1588932000,1588935600,781.62
1588935600,1588939200,778.4
1588939200,1588942800,779.52
1588942800,1588946400,685.44
1588946400,1588950000,352.66
1588950000,1588953600,392.42
1588953600,1588957200,264.46
1588957200,1588960800,70.56
1588960800,1588964400,14.14
1588964400,1588968000,0
1588968000,1588971600,0
1588971600,1588975200,0
1588975200,1588978800,0
1588978800,1588982400,0
1588982400,1588986000,0
1588986000,1588989600,0
1588989600,1588993200,0
1588993200,1588996800,0
1588996800,1589000400,12.88
1589000400,1589004000,88.34
1589004000,1589007600,139.3
1589007600,1589011200,315.96
1589011200,1589014800,567.98
1589014800,1589018400,729.54
1589018400,1589022000,781.06
1589022000,1589025600,800.66
1589025600,1589029200,753.62
1589029200,1589032800,721.84
1589032800,1589036400,581.84
1589036400,1589040000,417.48
1589040000,1589043600,176.68
1589043600,1589047200,91.28
1589047200,1589050800,14.7
1589050800,1589054400,0
1589054400,1589058000,0
1589058000,1589061600,0
1589061600,1589065200,0
1589065200,1589068800,0
1589068800,1589072400,0
1589072400,1589076000,0
1589076000,1589079600,0
1589079600,1589083200,0
1589083200,1589086800,17.22
1589086800,1589090400,92.96
1589090400,1589094000,164.36
1589094000,1589097600,406.14
1589097600,1589101200,499.94
1589101200,1589104800,710.22
1589104800,1589108400,804.44
1589108400,1589112000,821.66
1589112000,1589115600,783.72
1589115600,1589119200,609.28
1589119200,1589122800,584.64
1589122800,1589126400,408.38
1589126400,1589130000,201.74
