"start","end","wind"
1595325600,1595329200,5.04
1595329200,1595332800,7.74
1595332800,1595336400,6.66
1595336400,1595340000,2.7
1595340000,1595343600,7.56
1595343600,1595347200,12.24
1595347200,1595350800,10.44
1595350800,1595354400,6.84
1595354400,1595358000,0
1595358000,1595361600,0.72
1595361600,1595365200,1.44
1595365200,1595368800,0.9
1595368800,1595372400,2.7
1595372400,1595376000,0
1595376000,1595379600,2.88
1595379600,1595383200,1.98
1595383200,1595386800,1.08
1595386800,1595390400,0
1595390400,1595394000,0
1595394000,1595397600,0.36
1595397600,1595401200,0.9
1595401200,1595404800,1.98
1595404800,1595408400,4.68
1595408400,1595412000,9.18
1595412000,1595415600,9
1595415600,1595419200,8.64
1595419200,1595422800,1.008
1595422800,1595426400,1.56
1595426400,1595430000,5.22
1595430000,1595433600,8.28
1595433600,1595437200,1.8
1595437200,1595440800,6.12
1595440800,1595444400,2.88
1595444400,1595448000,0
1595448000,1595451600,0
1595451600,1595455200,0
1595455200,1595458800,1.26
1595458800,1595462400,10.62
1595462400,1595466000,15.84
1595466000,1595469600,7.2
1595469600,1595473200,1.98
1595473200,1595476800,2.88
1595476800,1595480400,2.52
1595480400,1595484000,1.62
1595484000,1595487600,4.86
1595487600,1595491200,1.8
1595491200,1595494800,3.24
1595494800,1595498400,6.12
1595498400,1595502000,5.22
1595502000,1595505600,8.28
1595505600,1595509200,9.18
1595509200,1595512800,3.96
1595512800,1595516400,1.62
1595516400,1595520000,2.34
1595520000,1595523600,5.76
1595523600,1595527200,6.84
1595527200,1595530800,3.24
1595530800,1595534400,0
1595534400,1595538000,0
1595538000,1595541600,0
1595541600,1595545200,1.08
1595545200,1595548800,0
1595548800,1595552400,0.72
1595552400,1595556000,0
1595556000,1595559600,0.9
1595559600,1595563200,1.08
1595563200,1595566800,1.08
1595566800,1595570400,1.98
1595570400,1595574000,6.12
1595574000,1595577600,7.2
1595577600,1595581200,1.8
1595581200,1595584800,9.54
1595584800,1595588400,12.24
1595588400,1595592000,9.18
1595592000,1595595600,4.68
1595595600,1595599200,7.92
1595599200,1595602800,10.8
1595602800,1595606400,5.94
1595606400,1595610000,5.76
1595610000,1595613600,7.74
1595613600,1595617200,3.42
1595617200,1595620800,1.44
1595620800,1595624400,0
1595624400,1595628000,1.08
1595628000,1595631600,1.62
1595631600,1595635200,3.24
1595635200,1595638800,3.78
1595638800,1595642400,5.76
1595642400,1595646000,7.2
1595646000,1595649600,5.4
1595649600,1595653200,6.66
