timestamp,z,x,H
1595372400,-60,0,-13.1754891324
1595372400,-60,30,-49.5184199511
1595372400,-60,60,-44.0695700679
1595372400,-60,90,-34.166775
1595372400,-40,0,-14.2790397975
1595372400,-40,30,-77.2823984439
1595372400,-40,60,-155.1749383836
1595372400,-40,90,-188.2370867184
1595372400,-20,0,-13.1754891324
1595372400,-20,30,-12.0238080924
1595372400,-20,60,-169.2258675456
1595372400,-20,90,-307.1862214239
1595376000,-60,0,-13.1754891324
1595376000,-60,30,-48.1326366144
1595376000,-60,60,-44.0695700679
1595376000,-60,90,-34.166775
1595376000,-40,0,-14.2790397975
1595376000,-40,30,-72.2799699384
1595376000,-40,60,-153.7590776751
1595376000,-40,90,-187.5320000919
1595376000,-20,0,-12.59966775
1595376000,-20,30,-12.0238080924
1595376000,-20,60,-169.2258675456
1595376000,-20,90,-310.10424816
1595379600,-60,0,-12.59966775
1595379600,-60,30,-47.128992279
1595379600,-60,60,-44.0695700679
1595379600,-60,90,-33.8316922758
1595379600,-40,0,-14.2790397975
1595379600,-40,30,-68.0377425951
1595379600,-40,60,-152.3430375516
1595379600,-40,90,-187.5320000919
1595379600,-20,0,-12.8875784412
1595379600,-20,30,-12.0238080924
1595379600,-20,60,-168.1893510843
1595379600,-20,90,-313.78488253275
1595383200,-60,0,-12.59966775
1595383200,-60,30,-46.7944268016
1595383200,-60,60,-44.0695700679
1595383200,-60,90,-33.4966095516
1595383200,-40,0,-14.2790397975
1595383200,-40,30,-65.8919343216
1595383200,-40,60,-152.3430375516
1595383200,-40,90,-187.5320000919
1595383200,-20,0,-12.59966775
1595383200,-20,30,-12.0238080924
1595383200,-20,60,-167.8595319975
1595383200,-20,90,-318.1580795676
1595386800,-60,0,-12.59966775
1595386800,-60,30,-45.4082040975
1595386800,-60,60,-43.3523589744
1595386800,-60,90,-33.4966095516
1595386800,-40,0,-14.2790397975
1595386800,-40,30,-61.95648726435
1595386800,-40,60,-151.28082056835
1595386800,-40,90,-186.47425054215
1595386800,-20,0,-12.59966775
1595386800,-20,30,-12.0238080924
1595386800,-20,60,-167.8595319975
1595386800,-20,90,-320.3784099804
1595390400,-60,0,-12.59966775
1595390400,-60,30,-43.71096452115
1595390400,-60,60,-43.0176334854
1595390400,-60,90,-32.8742664159
1595390400,-40,0,-14.2790397975
1595390400,-40,30,-59.4512800311
1595390400,-40,60,-150.9267283056
1595390400,-40,90,-186.1216474239
1595390400,-20,0,-12.59966775
1595390400,-20,30,-12.0238080924
1595390400,-20,60,-167.152719
1595390400,-20,90,-324.74776394595
1595394000,-60,0,-12.59966775
1595394000,-60,30,-42.6829079964
1595394000,-60,60,-43.3523589744
1595394000,-60,90,-32.8742664159
1595394000,-40,0,-14.2790397975
1595394000,-40,30,-57.3987951516
1595394000,-40,60,-150.2184839751
1595394000,-40,90,-186.1216474239
1595394000,-20,0,-12.59966775
1595394000,-20,30,-12.0238080924
1595394000,-20,60,-166.4458461975
1595394000,-20,90,-328.4219740656
1595397600,-60,0,-12.59966775
1595397600,-60,30,-41.34384975
1595397600,-60,60,-42.6829079964
1595397600,-60,90,-32.8742664159
1595397600,-40,0,-14.2790397975
1595397600,-40,30,-54.79665947895
1595397600,-40,60,-150.2184839751
1595397600,-40,90,-184.7110555359
1595397600,-20,0,-12.59966775
1595397600,-20,30,-12.0238080924
1595397600,-20,60,-166.4458461975
1595397600,-20,90,-330.5932804839
1595401200,-60,0,-12.59966775
1595401200,-60,30,-40.339412799
1595401200,-60,60,-42.6829079964
1595401200,-60,90,-32.8742664159
1595401200,-40,0,-14.2790397975
1595401200,-40,30,-52.81472991
1595401200,-40,60,-150.2184839751
1595401200,-40,90,-184.0056698844
1595401200,-20,0,-13.1754891324
1595401200,-20,30,-12.0238080924
1595401200,-20,60,-166.79928259875
1595401200,-20,90,-336.0880055964
1595404800,-60,0,-13.1754891324
1595404800,-60,30,-39.3827099151
1595404800,-60,60,-42.6829079964
1595404800,-60,90,-32.25187836
1595404800,-40,0,-14.2790397975
1595404800,-40,30,-51.5250201999
1595404800,-40,60,-150.2184839751
1595404800,-40,90,-184.0056698844
1595404800,-20,0,-13.1754891324
1595404800,-20,30,-12.0238080924
1595404800,-20,60,-165.73891359
1595404800,-20,90,-338.6266234959
1595408400,-60,0,-13.1754891324
1595408400,-60,30,-38.7129500775
1595408400,-60,60,-42.6829079964
1595408400,-60,90,-32.8742664159
1595408400,-40,0,-14.2790397975
1595408400,-40,30,-50.21119985055
1595408400,-40,60,-150.2184839751
1595408400,-40,90,-184.0056698844
1595408400,-20,0,-13.1754891324
1595408400,-20,30,-12.0238080924
1595408400,-20,60,-165.73891359
1595408400,-20,90,-340.8413019375
1595412000,-60,0,-12.59966775
1595412000,-60,30,-37.73213070675
1595412000,-60,60,-42.6829079964
1595412000,-60,90,-32.56307238795
1595412000,-40,0,-12.0238080924
1595412000,-40,30,-48.8494490079
1595412000,-40,60,-150.9267283056
1595412000,-40,90,-184.7110555359
1595412000,-20,0,-13.1754891324
1595412000,-20,30,-12.0238080924
1595412000,-20,60,-165.38541738375
1595412000,-20,90,-342.29431992075
1595415600,-60,0,-13.1754891324
1595415600,-60,30,-36.7512108636
1595415600,-60,60,-42.6829079964
1595415600,-60,90,-33.4966095516
1595415600,-40,0,-12.0238080924
1595415600,-40,30,-47.4635577564
1595415600,-40,60,-151.6349128311
1595415600,-40,90,-185.4163813824
1595415600,-20,0,-13.1754891324
1595415600,-20,30,-12.59966775
1595415600,-20,60,-165.0319211775
1595415600,-20,90,-342.2712896256
1595419200,-60,0,-12.59966775
1595419200,-60,30,-36.7512108636
1595419200,-60,60,-42.0134049216
1595419200,-60,90,-33.4966095516
1595419200,-40,0,-12.0238080924
1595419200,-40,30,-46.10131544955
1595419200,-40,60,-152.69707000935
1595419200,-40,90,-186.47425054215
1595419200,-20,0,-12.59966775
1595419200,-20,30,-12.0238080924
1595419200,-20,60,-163.6177569375
1595419200,-20,90,-340.1031438351
1595422800,-60,0,-12.59966775
1595422800,-60,30,-35.77016808795
1595422800,-60,60,-42.6829079964
1595422800,-60,90,-34.47789991995
1595422800,-40,0,-12.0238080924
1595422800,-40,30,-44.7389131311
1595422800,-40,60,-153.7591075776
1595422800,-40,90,-187.5320000919
1595422800,-20,0,-12.59966775
1595422800,-20,30,-12.3117379212
1595422800,-20,60,-161.4960321375
1595422800,-20,90,-333.89490272655
1595426400,-60,0,-12.59966775
1595426400,-60,30,-35.4590898159
1595426400,-60,60,-42.6829079964
1595426400,-60,90,-34.7890248399
1595426400,-40,0,-12.59966775
1595426400,-40,30,-44.0695700679
1595426400,-40,60,-154.4670528831
1595426400,-40,90,-188.2370867184
1595426400,-20,0,-12.59966775
1595426400,-20,30,-12.0238080924
1595426400,-20,60,-159.3738288975
1595426400,-20,90,-326.2038636144
1595430000,-60,0,-12.59966775
1595430000,-60,30,-34.7890248399
1595430000,-60,60,-43.3523589744
1595430000,-60,90,-34.7890248399
1595430000,-40,0,-13.72726446495
1595430000,-40,30,-43.0176334854
1595430000,-40,60,-154.4670528831
1595430000,-40,90,-188.58960012915
1595430000,-20,0,-12.59966775
1595430000,-20,30,-12.59966775
1595430000,-20,60,-157.9587077775
1595430000,-20,90,-322.5518901111
1595433600,-60,0,-12.59966775
1595433600,-60,30,-34.166775
1595433600,-60,60,-43.3523589744
1595433600,-60,90,-34.7890248399
1595433600,-40,0,-14.2790397975
1595433600,-40,30,-42.0134049216
1595433600,-40,60,-154.4670528831
1595433600,-40,90,-189.6470805564
1595433600,-20,0,-12.59966775
1595433600,-20,30,-12.59966775
1595433600,-20,60,-156.9207937398
1595433600,-20,90,-320.0083208892
1595437200,-60,0,-12.59966775
1595437200,-60,30,-33.4966095516
1595437200,-60,60,-43.3523589744
1595437200,-60,90,-34.7890248399
1595437200,-40,0,-14.2790397975
1595437200,-40,30,-42.0134049216
1595437200,-40,60,-153.7591075776
1595437200,-40,90,-189.6470805564
1595437200,-20,0,-12.59966775
1595437200,-20,30,-12.59966775
1595437200,-20,60,-155.8827640791
1595437200,-20,90,-318.1580795676
1595440800,-60,0,-12.59966775
1595440800,-60,30,-32.8742664159
1595440800,-60,60,-43.3523589744
1595440800,-60,90,-34.7890248399
1595440800,-40,0,-14.2790397975
1595440800,-40,30,-41.0090461158
1595440800,-40,60,-152.69707000935
1595440800,-40,90,-190.3049958144
1595440800,-20,0,-12.59966775
1595440800,-20,30,-12.0238080924
1595440800,-20,60,-154.4670528831
1595440800,-20,90,-315.9834126399
1595444400,-60,0,-12.59966775
1595444400,-60,30,-32.56307238795
1595444400,-60,60,-42.6829079964
1595444400,-60,90,-34.166775
1595444400,-40,0,-14.2790397975
1595444400,-40,30,-40.0045831164
1595444400,-40,60,-150.9267283056
1595444400,-40,90,-190.3049958144
1595444400,-20,0,-12.59966775
1595444400,-20,30,-12.0238080924
1595444400,-20,60,-152.69701020435
1595444400,-20,90,-314.8727094543
1595448000,-60,0,-12.59966775
1595448000,-60,30,-32.25187836
1595448000,-60,60,-42.6829079964
1595448000,-60,90,-34.166775
1595448000,-40,0,-14.2790397975
1595448000,-40,30,-38.7129500775
1595448000,-40,60,-150.9267283056
1595448000,-40,90,-188.9421135399
1595448000,-20,0,-13.1754891324
1595448000,-20,30,-12.0238080924
1595448000,-20,60,-150.2184839751
1595448000,-20,90,-314.5024523775
1595451600,-60,0,-12.59966775
1595451600,-60,30,-31.6294453839
1595451600,-60,60,-42.6829079964
1595451600,-60,90,-33.4966095516
1595451600,-40,0,-14.2790397975
1595451600,-40,30,-38.06703667395
1595451600,-40,60,-149.86433190735
1595451600,-40,90,-188.58960012915
1595451600,-20,0,-13.1754891324
1595451600,-20,30,-12.0238080924
1595451600,-20,60,-149.5101798396
1595451600,-20,90,-314.5024523775
1595455200,-60,0,-12.59966775
1595455200,-60,30,-30.69570607935
1595455200,-60,60,-42.348156459
1595455200,-60,90,-33.4966095516
1595455200,-40,0,-14.2790397975
1595455200,-40,30,-36.7512108636
1595455200,-40,60,-148.8018158991
1595455200,-40,90,-186.8268536604
1595455200,-20,0,-13.1754891324
1595455200,-20,30,-12.0238080924
1595455200,-20,60,-148.0933921536
1595455200,-20,90,-315.6131215407
1595458800,-60,0,-12.59966775
1595458800,-60,30,-29.7139852479
1595458800,-60,60,-42.0134049216
1595458800,-60,90,-33.4966095516
1595458800,-40,0,-14.2790397975
1595458800,-40,30,-36.08124636
1595458800,-40,60,-147.3849086031
1595458800,-40,90,-186.1216474239
1595458800,-20,0,-12.59966775
1595458800,-20,30,-12.0238080924
1595458800,-20,60,-146.6763652476
1595458800,-20,90,-317.4178333404
1595462400,-60,0,-12.59966775
1595462400,-60,30,-29.7139852479
1595462400,-60,60,-42.0134049216
1595462400,-60,90,-32.8742664159
1595462400,-40,0,-14.2790397975
1595462400,-40,30,-35.1240573279
1595462400,-40,60,-146.6763652476
1595462400,-40,90,-185.4163813824
1595462400,-20,0,-12.59966775
1595462400,-20,30,-12.0238080924
1595462400,-20,60,-146.0150041584
1595462400,-20,90,-318.89825775
1595466000,-60,0,-12.59966775
1595466000,-60,30,-29.0913691356
1595466000,-60,60,-41.34384975
1595466000,-60,90,-32.8742664159
1595466000,-40,0,-14.2790397975
1595466000,-40,30,-34.166775
1595466000,-40,60,-146.0150041584
1595466000,-40,90,-184.7110555359
1595466000,-20,0,-13.1754891324
1595466000,-20,30,-12.0238080924
1595466000,-20,60,-144.95198578815
1595466000,-20,90,-323.2916302551
1595469600,-60,0,-12.59966775
1595469600,-60,30,-28.4687081031
1595469600,-60,60,-41.34384975
1595469600,-60,90,-32.8742664159
1595469600,-40,0,-14.2790397975
1595469600,-40,30,-32.8742664159
1595469600,-40,60,-145.3063451799
1595469600,-40,90,-183.3002244279
1595469600,-20,0,-12.59966775
1595469600,-20,30,-12.0238080924
1595469600,-20,60,-144.5976263964
1595469600,-20,90,-326.2038636144
1595473200,-60,0,-12.59966775
1595473200,-60,30,-27.8460021504
1595473200,-60,60,-41.34384975
1595473200,-60,90,-32.8742664159
1595473200,-40,0,-14.2790397975
1595473200,-40,30,-32.56307238795
1595473200,-40,60,-144.5976263964
1595473200,-40,90,-182.24193663315
1595473200,-20,0,-12.59966775
1595473200,-20,30,-12.0238080924
1595473200,-20,60,-143.8888478079
1595473200,-20,90,-328.4219740656
1595476800,-60,0,-12.59966775
1595476800,-60,30,-27.53462671395
1595476800,-60,60,-41.34384975
1595476800,-60,90,-32.25187836
1595476800,-40,0,-14.2790397975
1595476800,-40,30,-31.6294453839
1595476800,-40,60,-144.5976263964
1595476800,-40,90,-181.8891540999
1595476800,-20,0,-12.59966775
1595476800,-20,30,-12.0238080924
1595476800,-20,60,-142.82556031515
1595476800,-20,90,-330.9627295287
1595480400,-60,0,-12.59966775
1595480400,-60,30,-27.2232512775
1595480400,-60,60,-40.6742424816
1595480400,-60,90,-32.25187836
1595480400,-40,0,-14.2790397975
1595480400,-40,30,-31.0069674876
1595480400,-40,60,-143.8888478079
1595480400,-40,90,-181.1835292284
1595480400,-20,0,-12.59966775
1595480400,-20,30,-12.0238080924
1595480400,-20,60,-142.4711112159
1595480400,-20,90,-334.9802985084
1595484000,-60,0,-12.59966775
1595484000,-60,30,-26.6004554844
1595484000,-60,60,-40.6742424816
1595484000,-60,90,-32.25187836
1595484000,-40,0,-14.2790397975
1595484000,-40,30,-30.3844446711
1595484000,-40,60,-143.1800094144
1595484000,-40,90,-180.12497231115
1595484000,-20,0,-12.59966775
1595484000,-20,30,-12.0238080924
1595484000,-20,60,-142.4711112159
1595484000,-20,90,-337.1959848636
1595487600,-60,0,-12.59966775
1595487600,-60,30,-26.2650787854
1595487600,-60,60,-40.6742424816
1595487600,-60,90,-31.94066187195
1595487600,-40,0,-14.2790397975
1595487600,-40,30,-29.7139852479
1595487600,-40,60,-143.1800094144
1595487600,-40,90,-179.0662957839
1595487600,-20,0,-13.1754891324
1595487600,-20,30,-12.0238080924
1595487600,-20,60,-141.7621233099
1595487600,-20,90,-342.29421997995
1595491200,-60,0,-12.59966775
1595491200,-60,30,-25.9297020864
1595491200,-60,60,-40.6742424816
1595491200,-60,90,-32.25187836
1595491200,-40,0,-14.2790397975
1595491200,-40,30,-29.7139852479
1595491200,-40,60,-143.1800094144
1595491200,-40,90,-179.0662957839
1595491200,-20,0,-13.1754891324
1595491200,-20,30,-12.0238080924
1595491200,-20,60,-139.6349203719
1595491200,-20,90,-344.4849601536
1595494800,-60,0,-12.59966775
1595494800,-60,30,-25.3068129975
1595494800,-60,60,-40.6742424816
1595494800,-60,90,-31.6294453839
1595494800,-40,0,-14.2790397975
1595494800,-40,30,-29.0913691356
1595494800,-40,60,-143.1800094144
1595494800,-40,90,-178.7368934715
1595494800,-20,0,-13.1754891324
1595494800,-20,30,-12.0238080924
1595494800,-20,60,-139.6349203719
1595494800,-20,90,-346.6519191471
1595498400,-60,0,-12.59966775
1595498400,-60,30,-24.99534599295
1595498400,-60,60,-40.6742424816
1595498400,-60,90,-32.25187836
1595498400,-40,0,-14.2790397975
1595498400,-40,30,-28.4687081031
1595498400,-40,60,-143.8888478079
1595498400,-40,90,-179.7721000704
1595498400,-20,0,-13.1754891324
1595498400,-20,30,-12.0238080924
1595498400,-20,60,-139.6349203719
