timestamp,air_temperature
1641002400,7.6
1641006000,7.4
1641009600,7.2
1641013200,7.0
1641016800,6.9
1641020400,6.7
1641024000,6.5
1641027600,6.9
1641031200,7.3
1641034800,7.7
1641038400,8.0
1641042000,8.4
1641045600,8.8
1641049200,8.4
1641052800,8.1
1641056400,7.8
1641060000,7.4
1641063600,7.0
1641067200,6.7
1641070800,6.5
1641074400,6.2
1641078000,6.0
1641081600,5.8
1641085200,5.5
1641088800,5.3
1641092400,5.2
1641096000,5.2
1641099600,5.1
1641103200,5.0
1641106800,5.0
1641110400,4.9
1641114000,5.5
1641117600,6.1
1641121200,6.7
1641124800,7.3
1641128400,7.9
1641132000,8.5
1641135600,8.3
1641139200,8.0
1641142800,7.8
1641146400,7.6
1641150000,7.3
1641153600,7.1
1641157200,7.0
1641160800,7.0
1641164400,6.9
1641168000,6.8
1641171600,6.8
1641175200,6.7
1641178800,6.7
1641182400,6.6
1641186000,6.5
1641189600,6.5
1641193200,6.5
1641196800,6.4
1641200400,6.9
1641204000,7.4
1641207600,7.9
1641211200,8.4
1641214800,8.9
1641218400,9.4
1641222000,9.0
1641225600,8.7
1641229200,8.3
1641232800,7.9
1641236400,7.6
1641240000,7.2
1641243600,7.2
1641247200,7.2
1641250800,7.2
1641254400,7.1
1641258000,7.1
1641261600,7.1
1641265200,7.0
1641268800,7.0
1641272400,6.9
1641276000,6.8
1641279600,6.8
1641283200,6.7
1641286800,7.0
1641290400,7.3
1641294000,7.6
1641297600,7.9
1641301200,8.2
1641304800,8.5
1641308400,8.2
1641312000,7.8
1641315600,7.5
1641319200,7.1
1641322800,6.8
1641326400,6.4
1641330000,6.5
1641333600,6.7
1641337200,6.8
1641340800,7.0
1641344400,7.2
1641348000,7.3
1641351600,7.3
1641355200,7.3
1641358800,7.3
1641362400,7.4
1641366000,7.4
1641369600,7.4
1641373200,7.7
1641376800,8.0
1641380400,8.3
1641384000,8.7
1641387600,9.0
1641391200,9.3
1641394800,8.8
1641398400,8.4
1641402000,8.0
1641405600,7.5
1641409200,7.0
1641412800,6.6
1641416400,5.8
1641420000,5.1
1641423600,4.3
1641427200,3.6
1641430800,2.8
1641434400,2.1
1641438000,1.8
1641441600,1.4
1641445200,1.1
1641448800,0.7
1641452400,0.4
1641456000,0.0
1641459600,1.2
1641463200,2.5
1641466800,3.7
1641470400,4.9
1641474000,6.2
1641477600,7.4
1641481200,6.4
1641484800,5.5
1641488400,4.5
1641492000,3.5
1641495600,2.6
1641499200,1.6
1641502800,1.7
1641506400,1.8
1641510000,2.0
1641513600,2.1
1641517200,2.2
1641520800,2.3
1641524400,2.1
1641528000,1.8
1641531600,1.6
1641535200,1.4
1641538800,1.1
1641542400,0.9
1641546000,2.4
1641549600,3.9
1641553200,5.3
1641556800,6.8
1641560400,8.3
1641564000,9.8
1641567600,8.9
1641571200,8.0
1641574800,7.0
1641578400,6.1
1641582000,5.2
1641585600,4.3
1641589200,3.8
1641592800,3.3
1641596400,2.8
1641600000,2.3
1641603600,1.8
1641607200,1.3
1641610800,0.9
1641614400,0.9
1641618000,0.5
1641621600,0.6
1641625200,0.3
1641628800,0.3
1641632400,0.4
1641636000,0.5
1641639600,0.8
1641643200,1.7
1641646800,2.4
1641650400,2.8
1641654000,3.5
1641657600,3.5
1641661200,2.5
1641664800,1.5
1641668400,1.4
1641672000,1.4
1641675600,1.4
1641679200,1.1
1641682800,0.9
1641686400,0.9
1641690000,1.0
1641693600,1.1
1641697200,1.4
1641700800,1.9
1641704400,2.1
1641708000,1.8
1641711600,1.5
1641715200,1.2
1641718800,1.2
1641722400,0.9
1641726000,0.1
1641729600,0.3
1641733200,0.3
1641736800,0.4
1641740400,0.5
1641744000,0.5
1641747600,0.6
1641751200,0.8
1641754800,0.9
1641758400,0.9
1641762000,0.9
1641765600,0.7
1641769200,0.6
1641772800,0.7
1641776400,0.8
1641780000,1.6
1641783600,0.9
1641787200,1.0
1641790800,1.1
1641794400,1.0
1641798000,1.1
1641801600,1.2
1641805200,1.2
1641808800,1.4
1641812400,2.1
1641816000,2.9
1641819600,3.5
1641823200,4.2
1641826800,4.6
1641830400,4.5
1641834000,3.9
1641837600,2.7
1641841200,2.0
1641844800,1.9
1641848400,1.3
1641852000,0.8
1641855600,0.6
1641859200,0.6
1641862800,0.4
1641866400,1.4
1641870000,0.4
1641873600,0.5
1641877200,0.7
1641880800,0.2
1641884400,0.5
1641888000,0.6
1641891600,0.1
1641895200,0.0
1641898800,0.6
1641902400,1.7
1641906000,2.5
1641909600,3.0
1641913200,4.1
1641916800,3.9
1641920400,2.9
1641924000,2.2
1641927600,1.4
1641931200,1.1
1641934800,1.4
1641938400,1.5
1641942000,1.3
1641945600,0.8
1641949200,0.2
1641952800,1.7
1641956400,1.7
1641960000,1.8
1641963600,1.6
1641967200,0.1
1641970800,-0.6
1641974400,-0.6
1641978000,-0.9
1641981600,-0.8
1641985200,-0.3
1641988800,0.6
1641992400,1.7
1641996000,2.2
1641999600,2.5
1642003200,2.3
1642006800,1.5
1642010400,0.7
1642014000,0.6
1642017600,0.2
1642021200,-0.2
1642024800,-0.3
1642028400,-0.4
1642032000,-0.7
1642035600,-0.7
1642039200,0.2
1642042800,-0.2
1642046400,-0.2
1642050000,-0.6
1642053600,-0.8
1642057200,-1.0
1642060800,-0.8
1642064400,-0.7
1642068000,-0.6
1642071600,0.1
1642075200,1.5
1642078800,2.3
1642082400,2.7
1642086000,2.9
1642089600,2.4
1642093200,1.7
1642096800,1.4
1642100400,1.5
1642104000,1.4
1642107600,1.3
1642111200,1.4
1642114800,1.4
1642118400,1.0
1642122000,0.8
1642125600,1.9
1642129200,1.9
1642132800,2.1
1642136400,1.7
1642140000,1.5
1642143600,1.3
1642147200,1.4
1642150800,2.8
1642154400,3.3
1642158000,4.3
1642161600,5.2
1642165200,6.1
1642168800,6.9
1642172400,7.3
1642176000,7.1
1642179600,6.8
1642183200,6.4
1642186800,6.1
1642190400,5.4
1642194000,4.9
1642197600,4.7
1642201200,5.1
1642204800,5.2
1642208400,4.8
1642212000,5.2
1642215600,6.6
1642219200,6.3
1642222800,7.3
1642226400,6.4
1642230000,5.1
1642233600,4.9
1642237200,4.5
1642240800,4.2
1642244400,5.0
1642248000,5.1
1642251600,6.4
1642255200,7.4
1642258800,7.6
1642262400,7.3
1642266000,6.4
1642269600,5.4
1642273200,5.0
1642276800,4.3
1642280400,3.6
1642284000,3.4
1642287600,3.3
1642291200,2.7
1642294800,2.4
1642298400,3.9
1642302000,3.4
1642305600,3.5
1642309200,3.1
1642312800,2.8
1642316400,2.8
1642320000,2.7
1642323600,3.1
1642327200,3.2
1642330800,3.2
1642334400,3.8
1642338000,5.0
1642341600,6.3
1642345200,7.1
1642348800,7.3
1642352400,6.9
1642356000,6.4
1642359600,5.5
1642363200,5.2
1642366800,5.1
1642370400,5.0
1642374000,5.0
1642377600,4.9
1642381200,4.1
1642384800,4.9
1642388400,4.7
1642392000,4.1
1642395600,3.1
1642399200,2.7
1642402800,3.0
1642406400,2.8
1642410000,2.1
1642413600,2.4
1642417200,3.6
1642420800,4.9
1642424400,6.2
1642428000,7.3
1642431600,7.9
1642435200,7.7
1642438800,7.0
1642442400,6.2
1642446000,6.3
1642449600,5.6
1642453200,5.4
1642456800,4.7
1642460400,4.7
1642464000,4.4
1642467600,4.4
1642471200,5.2
1642474800,4.0
1642478400,4.4
1642482000,2.9
1642485600,2.8
1642489200,3.0
1642492800,2.6
1642496400,2.7
1642500000,3.1
1642503600,3.9
1642507200,3.4
1642510800,4.7
1642514400,5.8
1642518000,6.4
1642521600,6.3
1642525200,5.6
1642528800,4.6
1642532400,4.1
1642536000,4.1
1642539600,3.8
1642543200,2.7
1642546800,2.2
1642550400,1.8
1642554000,1.8
1642557600,3.1
1642561200,2.2
1642564800,2.3
1642568400,2.8
1642572000,2.4
1642575600,2.5
1642579200,1.9
1642582800,1.3
1642586400,1.7
1642590000,2.5
1642593600,3.6
1642597200,3.9
1642600800,5.0
1642604400,5.5
1642608000,5.6
1642611600,5.1
1642615200,4.2
1642618800,4.0
1642622400,4.0
1642626000,3.6
1642629600,3.6
1642633200,3.7
1642636800,3.1
1642640400,3.7
1642644000,2.1
1642647600,1.6
1642651200,2.0
1642654800,1.9
1642658400,2.3
1642662000,2.9
1642665600,2.3
1642669200,2.3
1642672800,2.4
1642676400,2.4
1642680000,3.5
1642683600,4.9
1642687200,6.2
1642690800,6.3
1642694400,6.4
1642698000,6.0
1642701600,5.6
1642705200,5.4
1642708800,5.0
1642712400,4.5
1642716000,4.1
1642719600,3.6
1642723200,3.4
1642726800,3.3
1642730400,2.1
1642734000,2.8
1642737600,1.5
1642741200,1.9
1642744800,1.9
1642748400,2.1
1642752000,1.7
1642755600,1.8
1642759200,2.1
1642762800,3.1
1642766400,4.2
1642770000,5.1
1642773600,5.5
1642777200,5.6
1642780800,5.5
1642784400,5.1
1642788000,3.7
1642791600,2.5
1642795200,1.7
1642798800,1.3
1642802400,1.2
1642806000,1.2
1642809600,1.1
1642813200,1.0
1642816800,-1.3
1642820400,-1.5
1642824000,-1.7
1642827600,-1.9
1642831200,-2.2
1642834800,-2.4
1642838400,-2.6
1642842000,-0.6
1642845600,1.4
1642849200,3.4
1642852800,5.4
1642856400,7.4
1642860000,9.4
1642863600,8.2
1642867200,7.0
1642870800,5.8
1642874400,4.6
1642878000,3.4
1642881600,2.2
1642885200,1.8
1642888800,1.3
1642892400,0.9
1642896000,0.5
1642899600,0.0
1642903200,3.6
1642906800,2.4
1642910400,1.7
1642914000,2.1
1642917600,2.1
1642921200,1.6
1642924800,1.9
1642928400,2.0
1642932000,1.7
1642935600,2.3
1642939200,3.2
1642942800,3.7
1642946400,4.5
1642950000,5.2
1642953600,5.3
1642957200,4.7
1642960800,3.7
1642964400,2.9
1642968000,2.3
1642971600,1.7
1642975200,1.7
1642978800,1.6
1642982400,1.6
1642986000,1.5
1642989600,1.5
1642993200,1.7
1642996800,1.5
1643000400,0.9
1643004000,1.1
1643007600,1.1
1643011200,1.4
1643014800,1.3
1643018400,1.4
1643022000,1.8
1643025600,2.9
1643029200,3.4
1643032800,4.2
1643036400,5.0
1643040000,5.4
1643043600,5.2
1643047200,4.9
1643050800,4.6
1643054400,4.1
1643058000,3.8
1643061600,3.7
1643065200,3.5
1643068800,3.0
1643072400,2.6
1643076000,2.7
1643079600,2.8
1643083200,2.6
1643086800,2.3
1643090400,1.6
1643094000,0.2
1643097600,-0.5
1643101200,-0.9
1643104800,-0.8
1643108400,-0.3
1643112000,0.7
1643115600,1.7
1643119200,3.1
1643122800,3.9
1643126400,4.0
1643130000,3.6
1643133600,2.5
1643137200,1.7
1643140800,1.8
1643144400,1.8
1643148000,1.7
1643151600,1.7
1643155200,1.8
1643158800,1.9
1643162400,1.9
1643166000,1.0
1643169600,1.2
1643173200,0.6
1643176800,0.3
1643180400,0.2
1643184000,-0.2
1643187600,-0.2
1643191200,0.4
1643194800,0.7
1643198400,1.8
1643202000,2.7
1643205600,3.6
1643209200,4.6
1643212800,5.0
1643216400,4.8
1643220000,4.0
1643223600,3.7
1643227200,3.9
1643230800,3.9
1643234400,3.0
1643238000,2.9
1643241600,2.9
1643245200,3.1
1643248800,1.6
1643252400,2.2
1643256000,1.9
1643259600,1.7
1643263200,0.9
1643266800,0.9
1643270400,0.6
1643274000,0.3
1643277600,0.6
1643281200,1.0
1643284800,2.2
1643288400,2.9
1643292000,3.8
1643295600,5.1
1643299200,5.6
1643302800,5.2
1643306400,4.2
1643310000,3.5
1643313600,3.5
1643317200,3.9
1643320800,4.5
1643324400,4.3
1643328000,4.2
1643331600,4.5
1643335200,1.1
1643338800,1.1
1643342400,0.9
1643346000,0.9
1643349600,1.2
1643353200,1.3
1643356800,1.2
1643360400,0.9
1643364000,1.1
1643367600,1.9
1643371200,3.2
1643374800,5.8
1643378400,7.2
1643382000,8.0
1643385600,7.8
1643389200,7.0
1643392800,5.5
1643396400,4.4
1643400000,4.2
1643403600,3.8
1643407200,4.0
1643410800,3.6
1643414400,3.7
1643418000,4.0
1643421600,2.7
1643425200,3.2
1643428800,2.6
1643432400,3.2
1643436000,3.1
1643439600,3.2
1643443200,3.0
1643446800,3.0
1643450400,3.0
1643454000,3.9
1643457600,5.2
1643461200,7.0
1643464800,7.5
1643468400,7.9
1643472000,7.8
1643475600,7.2
1643479200,6.5
1643482800,5.4
1643486400,4.9
1643490000,4.4
1643493600,4.3
1643497200,4.1
1643500800,3.8
1643504400,3.9
