Date,TAVG,PREC,RAD,RHAVG,W_SCAL_INT
2022-01-01 00:00,7.6,0,0,90.9,1.6
2022-01-01 01:00,7.4,0,0,91.7,1.5
2022-01-01 02:00,7.2,0,0,92.4,1.4
2022-01-01 03:00,7,0,0,93.2,1.4
2022-01-01 04:00,6.9,0,0,94,1.3
2022-01-01 05:00,6.7,0,0,94.7,1.2
2022-01-01 06:00,6.5,0,0,95.5,1.1
2022-01-01 07:00,6.9,0,0,94.7,1.2
2022-01-01 08:00,7.3,0,43.7,93.9,1.2
2022-01-01 09:00,7.7,0,140.7,93.1,1.3
2022-01-01 10:00,8,0,232.8,92.3,1.4
2022-01-01 11:00,8.4,0,290.9,91.5,1.4
2022-01-01 12:00,8.8,0,303.5,90.7,1.5
2022-01-01 13:00,8.4,0,267.8,91.9,1.4
2022-01-01 14:00,8.1,0,190.3,93,1.4
2022-01-01 15:00,7.8,0,90,94.2,1.4
2022-01-01 16:00,7.4,0,11.7,95.4,1.3
2022-01-01 17:00,7,0,0,96.5,1.2
2022-01-01 18:00,6.7,0,0,97.7,1.2
2022-01-01 19:00,6.5,0,0,97.7,1.1
2022-01-01 20:00,6.2,0,0,97.6,1.1
2022-01-01 21:00,6,0,0,97.5,1.1
2022-01-01 22:00,5.8,0,0,97.5,1
2022-01-01 23:00,5.5,0,0,97.5,1
2022-01-02 00:00,5.3,0,0,97.4,0.9
2022-01-02 01:00,5.2,0,0,97.2,0.9
2022-01-02 02:00,5.2,0,0,97,0.8
2022-01-02 03:00,5.1,0,0,96.8,0.8
2022-01-02 04:00,5,0,0,96.7,0.8
2022-01-02 05:00,5,0,0,96.5,0.7
2022-01-02 06:00,4.9,0,0,96.3,0.7
2022-01-02 07:00,5.5,0,0,95,0.7
2022-01-02 08:00,6.1,0,43.8,93.7,0.8
2022-01-02 09:00,6.7,0,140.8,92.4,0.8
2022-01-02 10:00,7.3,0,233.1,91.1,0.8
2022-01-02 11:00,7.9,0,291,89.8,0.9
2022-01-02 12:00,8.5,0,303.1,88.5,0.9
2022-01-02 13:00,8.3,0,267.3,89.7,0.9
2022-01-02 14:00,8,0,189.9,90.9,0.9
2022-01-02 15:00,7.8,0,90.5,92.1,0.9
2022-01-02 16:00,7.6,0,12.3,93.3,0.9
2022-01-02 17:00,7.3,0,0,94.5,0.9
2022-01-02 18:00,7.1,0,0,95.7,0.9
2022-01-02 19:00,7,0,0,95.8,0.9
2022-01-02 20:00,7,0,0,95.9,0.9
2022-01-02 21:00,6.9,0,0,96,1
2022-01-02 22:00,6.8,0,0,96,1
2022-01-02 23:00,6.8,0,0,96.1,1
2022-01-03 00:00,6.7,0,0,96.2,1
2022-01-03 01:00,6.7,0,0,95.9,1
2022-01-03 02:00,6.6,0,0,95.6,1
2022-01-03 03:00,6.5,0,0,95.3,1.1
2022-01-03 04:00,6.5,0,0,95.1,1.1
2022-01-03 05:00,6.5,0,0,94.8,1.1
2022-01-03 06:00,6.4,0,0,94.5,1.1
2022-01-03 07:00,6.9,0,0,93.7,1.2
2022-01-03 08:00,7.4,0,26.1,92.8,1.2
2022-01-03 09:00,7.9,0,61.7,92,1.3
2022-01-03 10:00,8.4,0,89.5,91.2,1.4
2022-01-03 11:00,8.9,0,78.1,90.3,1.4
2022-01-03 12:00,9.4,0,92.5,89.5,1.5
2022-01-03 13:00,9,0,72.6,90.8,1.5
2022-01-03 14:00,8.7,0,72.7,92.1,1.4
2022-01-03 15:00,8.3,0,36.3,93.5,1.4
2022-01-03 16:00,7.9,0,7.5,94.8,1.4
2022-01-03 17:00,7.6,0,0,96.1,1.3
2022-01-03 18:00,7.2,0,0,97.4,1.3
2022-01-03 19:00,7.2,0,0,97.2,1.4
2022-01-03 20:00,7.2,0,0,97,1.4
2022-01-03 21:00,7.2,0,0,96.8,1.4
2022-01-03 22:00,7.1,0,0,96.6,1.5
2022-01-03 23:00,7.1,0,0,96.4,1.6
2022-01-04 00:00,7.1,0,0,96.2,1.6
2022-01-04 01:00,7,0,0,95.9,1.6
2022-01-04 02:00,7,0,0,95.5,1.5
2022-01-04 03:00,6.9,0,0,95.2,1.4
2022-01-04 04:00,6.8,0,0,94.9,1.4
2022-01-04 05:00,6.8,0,0,94.5,1.4
2022-01-04 06:00,6.7,0,0,94.2,1.3
2022-01-04 07:00,7,0,0,93.1,1.3
2022-01-04 08:00,7.3,0,7.1,92,1.3
2022-01-04 09:00,7.6,0,29.1,90.8,1.3
2022-01-04 10:00,7.9,0,88.2,89.7,1.3
2022-01-04 11:00,8.2,0,117.4,88.6,1.3
2022-01-04 12:00,8.5,0,77,87.5,1.3
2022-01-04 13:00,8.2,0,160.9,89,1.3
2022-01-04 14:00,7.8,0,166.1,90.4,1.4
2022-01-04 15:00,7.5,0,75.2,91.9,1.4
2022-01-04 16:00,7.1,0,12.5,93.4,1.4
2022-01-04 17:00,6.8,0,0,94.8,1.5
2022-01-04 18:00,6.4,0,0,96.3,1.5
2022-01-04 19:00,6.5,0,0,96.3,1.4
2022-01-04 20:00,6.7,0,0,96.2,1.2
2022-01-04 21:00,6.8,0,0,96.2,1.1
2022-01-04 22:00,7,0,0,96.2,0.9
2022-01-04 23:00,7.2,0,0,96.1,0.8
2022-01-05 00:00,7.3,0,0,96.1,0.6
2022-01-05 01:00,7.3,0,0,95.7,0.7
2022-01-05 02:00,7.3,0,0,95.3,0.8
2022-01-05 03:00,7.3,0,0,94.8,0.8
2022-01-05 04:00,7.4,0,0,94.4,0.9
2022-01-05 05:00,7.4,0,0,94,1
2022-01-05 06:00,7.4,0,0,93.6,1.1
2022-01-05 07:00,7.7,0.2,0,93.2,1.2
2022-01-05 08:00,8,0.2,34,92.9,1.3
2022-01-05 09:00,8.3,0.2,116.7,92.5,1.4
2022-01-05 10:00,8.7,0.2,212.2,92.2,1.4
2022-01-05 11:00,9,0.2,221.3,91.8,1.5
2022-01-05 12:00,9.3,0.2,281.4,91.5,1.6
2022-01-05 13:00,8.8,0,246.4,91.7,1.7
2022-01-05 14:00,8.4,0,157.8,91.9,1.8
2022-01-05 15:00,8,0,64.7,92.2,1.9
2022-01-05 16:00,7.5,0,7.9,92.4,2
2022-01-05 17:00,7,0,0,92.6,2.1
2022-01-05 18:00,6.6,0,0,92.8,2.2
2022-01-05 19:00,5.8,0,0,91.2,2.1
2022-01-05 20:00,5.1,0,0,89.6,2
2022-01-05 21:00,4.3,0,0,88,1.8
2022-01-05 22:00,3.6,0,0,86.5,1.7
2022-01-05 23:00,2.8,0,0,84.9,1.6
2022-01-06 00:00,2.1,0,0,83.3,1.5
2022-01-06 01:00,1.8,0,0,84.6,1.5
2022-01-06 02:00,1.4,0,0,85.8,1.5
2022-01-06 03:00,1.1,0,0,87.1,1.6
2022-01-06 04:00,0.7,0,0,88.4,1.6
2022-01-06 05:00,0.4,0,0,89.6,1.6
2022-01-06 06:00,0,0,0,90.9,1.6
2022-01-06 07:00,1.2,0,0,86.8,1.5
2022-01-06 08:00,2.5,0,5.5,82.7,1.4
2022-01-06 09:00,3.7,0,24.5,78.5,1.3
2022-01-06 10:00,4.9,0,55.5,74.4,1.2
2022-01-06 11:00,6.2,0,89.2,70.3,1.1
2022-01-06 12:00,7.4,0,100.5,66.2,1
2022-01-06 13:00,6.4,0,102.5,69.4,1.1
