timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657062000,-10.691,-17.942,-28.265,-808.888,-22.639,-26.323,-125.101,-421.734,-268.166,-231.002,-162.151,-236.750
1657065600,-11.191,-17.722,-28.669,-805.271,-22.482,-26.833,-122.889,-421.654,-263.459,-227.754,-162.207,-236.793
1657069200,-11.660,-17.620,-28.995,-801.660,-22.354,-27.199,-120.699,-421.573,-258.695,-224.480,-162.261,-236.836
1657072800,-12.091,-17.595,-29.264,-798.053,-22.264,-27.460,-118.532,-421.492,-253.868,-221.182,-162.313,-236.878
1657076400,-12.490,-17.622,-29.506,-794.480,-22.214,-27.653,-116.433,-421.442,-248.996,-217.879,-162.378,-236.932
1657080000,-12.859,-17.683,-29.722,-790.931,-22.196,-27.796,-114.389,-421.409,-244.077,-214.570,-162.449,-236.994
1657083600,-13.213,-17.789,-29.999,-787.555,-22.228,-27.940,-112.593,-421.544,-239.194,-211.336,-162.594,-237.130
1657087200,-13.576,-17.969,-30.462,-784.596,-22.340,-28.151,-111.335,-422.073,-234.479,-208.301,-162.915,-237.440
1657090800,-13.943,-18.202,-31.055,-781.987,-22.512,-28.411,-110.485,-422.875,-229.905,-205.428,-163.357,-237.869
1657094400,-14.367,-18.575,-32.106,-780.299,-22.830,-28.865,-110.744,-424.501,-225.781,-203.006,-164.169,-238.662
1657098000,-14.780,-18.948,-33.128,-778.737,-23.153,-29.301,-111.022,-426.047,-221.711,-200.630,-164.945,-239.420
1657101600,-14.953,-19.419,-34.477,-777.706,-23.568,-29.863,-111.930,-428.056,-217.977,-198.546,-165.932,-240.384
1657105200,-11.285,-19.925,-35.989,-777.047,-24.035,-30.482,-113.179,-430.230,-214.442,-196.640,-166.994,-241.422
1657108800,-8.120,-20.224,-37.235,-776.166,-24.433,-30.992,-113.989,-431.941,-210.824,-194.627,-167.846,-242.255
1657112400,-6.761,-20.084,-38.130,-774.954,-24.715,-31.369,-114.264,-433.142,-207.093,-192.470,-168.466,-242.860
1657116000,-6.404,-19.323,-38.816,-773.608,-24.839,-31.668,-114.267,-434.054,-203.269,-190.242,-168.954,-243.336
1657119600,-6.165,-18.299,-39.350,-772.116,-24.799,-31.903,-114.034,-434.746,-199.432,-187.971,-169.340,-243.714
1657123200,-6.108,-17.265,-40.386,-771.261,-24.652,-32.306,-114.578,-436.042,-195.937,-186.040,-170.001,-244.361
1657126800,-6.229,-16.300,-41.101,-770.135,-24.206,-32.574,-114.688,-436.941,-192.349,-183.999,-170.480,-244.831
1657130400,-6.409,-15.465,-41.202,-768.413,-23.499,-32.598,-113.969,-437.141,-188.506,-181.683,-170.637,-244.987
1657134000,-6.859,-14.855,-41.050,-766.455,-22.698,-32.482,-112.931,-437.070,-184.575,-179.276,-170.668,-245.020
1657137600,-7.602,-14.508,-40.878,-764.498,-21.949,-32.297,-111.894,-436.991,-180.686,-176.896,-170.695,-245.049
1657141200,-8.338,-14.379,-40.711,-762.568,-21.319,-32.048,-110.892,-436.934,-176.856,-174.561,-170.731,-245.088
1657144800,-8.993,-14.399,-40.556,-760.677,-20.831,-31.741,-109.942,-436.911,-173.098,-172.277,-170.781,-245.142
1657148400,-9.528,-14.311,-27.705,-818.016,-20.413,-25.167,-119.535,-412.040,-287.232,-245.701,-175.834,-234.170
